seed,child,group,n_channels,source,auc_base,auc_drop
11,1,periocular_eog,6,non-CI,0.46004034761018003,0.013811297330850403
11,4,periocular_eog,6,non-CI,0.48466588050314463,0.0003380503144653213
11,7,periocular_eog,6,non-CI,0.49393939393939396,-0.007386363636363635
11,14,periocular_eog,6,non-CI,0.5893663074514138,-0.003223726627981982
11,19,periocular_eog,6,non-CI,0.6274185463659148,-0.002979323308270665
11,22,periocular_eog,6,CI,0.5122742300767257,-0.007311840099373246
11,32,periocular_eog,6,non-CI,0.5112797246558198,-0.01860450563203997
11,33,periocular_eog,6,CI,0.5060398008157185,0.0036521122784255455
11,36,periocular_eog,6,non-CI,0.5118804755944931,-0.006070087609511776
11,37,periocular_eog,6,CI,0.5156120287407323,-0.00031488850084449016
11,1,frontal_polar,8,non-CI,0.46004034761018003,-0.004345127250155234
11,4,frontal_polar,8,non-CI,0.48466588050314463,0.007130503144654021
11,7,frontal_polar,8,non-CI,0.49393939393939396,0.016666666666666663
11,14,frontal_polar,8,non-CI,0.5893663074514138,0.01169752233582022
11,19,frontal_polar,8,non-CI,0.6274185463659148,0.009871553884711726
11,22,frontal_polar,8,CI,0.5122742300767257,0.004055859823461794
11,32,frontal_polar,8,non-CI,0.5112797246558198,0.008047559449311681
11,33,frontal_polar,8,CI,0.5060398008157185,0.0014896773767262284
11,36,frontal_polar,8,non-CI,0.5118804755944931,0.005547559449311623
11,37,frontal_polar,8,CI,0.5156120287407323,0.0032705464746801693
11,1,left_temporal,8,non-CI,0.46004034761018003,-0.014509621353196778
11,4,left_temporal,8,non-CI,0.48466588050314463,0.0012106918238993236
11,7,left_temporal,8,non-CI,0.49393939393939396,-0.05587121212121199
11,14,left_temporal,8,non-CI,0.5893663074514138,0.01862853458598146
11,19,left_temporal,8,non-CI,0.6274185463659148,-0.003020050125313256
11,22,left_temporal,8,CI,0.5122742300767257,-0.000621082942803941
11,32,left_temporal,8,non-CI,0.5112797246558198,-0.00407384230287855
11,33,left_temporal,8,CI,0.5060398008157185,0.00019822319932250032
11,36,left_temporal,8,non-CI,0.5118804755944931,0.007115143929912415
11,37,left_temporal,8,CI,0.5156120287407323,-0.004386969341310443
11,1,right_temporal,8,non-CI,0.46004034761018003,0.014897579143389239
11,4,right_temporal,8,non-CI,0.48466588050314463,-0.014827044025157221
11,7,right_temporal,8,non-CI,0.49393939393939396,0.03162878787878792
11,14,right_temporal,8,non-CI,0.5893663074514138,0.00803628995118355
11,19,right_temporal,8,non-CI,0.6274185463659148,0.039291979949874656
11,22,right_temporal,8,CI,0.5122742300767257,-0.010900319324462449
11,32,right_temporal,8,non-CI,0.5112797246558198,-0.011702127659574346
11,33,right_temporal,8,CI,0.5060398008157185,-0.012845463992455453
11,36,right_temporal,8,non-CI,0.5118804755944931,0.042794117647058816
11,37,right_temporal,8,CI,0.5156120287407323,0.009521798872126674
11,1,vertex_ring,6,non-CI,0.46004034761018003,-0.021260086902544995
11,4,vertex_ring,6,non-CI,0.48466588050314463,0.001391509433962268
11,7,vertex_ring,6,non-CI,0.49393939393939396,0.004545454545454575
11,14,vertex_ring,6,non-CI,0.5893663074514138,0.0019802892143317985
11,19,vertex_ring,6,non-CI,0.6274185463659148,-0.0003195488721804418
11,22,vertex_ring,6,CI,0.5122742300767257,-0.010345108814986292
11,32,vertex_ring,6,non-CI,0.5112797246558198,-0.0009856070087609359
11,33,vertex_ring,6,CI,0.5060398008157185,0.0031355306074639655
11,36,vertex_ring,6,non-CI,0.5118804755944931,-0.0017521902377971577
11,37,vertex_ring,6,CI,0.5156120287407323,0.0017318867546446404
11,1,frontocentral,11,non-CI,0.46004034761018003,-0.016759776536312887
11,4,frontocentral,11,non-CI,0.48466588050314463,-0.009524371069182469
11,7,frontocentral,11,non-CI,0.49393939393939396,0.03768939393939397
