endpoint,literal_value,scope,unique_numeric_sources
IT_MAIS_or_MAIS,40.0,expanded_CI_scope,2
MUSS,25.0,expanded_CI_scope,1
MUSS,29.0,expanded_CI_scope,1
CAP,5.0,expanded_CI_scope,1
CAP,7.0,expanded_CI_scope,1
SIR,3.0,expanded_CI_scope,1
SIR,4.0,expanded_CI_scope,1
IT_MAIS_or_MAIS,2.0,all_canonical_MFF,2
IT_MAIS_or_MAIS,6.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,13.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,18.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,19.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,22.0,all_canonical_MFF,2
IT_MAIS_or_MAIS,29.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,31.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,34.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,35.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,36.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,37.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,38.0,all_canonical_MFF,1
IT_MAIS_or_MAIS,40.0,all_canonical_MFF,31
MUSS,0.0,all_canonical_MFF,1
MUSS,2.0,all_canonical_MFF,2
MUSS,3.0,all_canonical_MFF,1
MUSS,4.0,all_canonical_MFF,1
MUSS,5.0,all_canonical_MFF,1
MUSS,6.0,all_canonical_MFF,2
MUSS,7.0,all_canonical_MFF,1
MUSS,8.0,all_canonical_MFF,1
MUSS,10.0,all_canonical_MFF,1
MUSS,12.0,all_canonical_MFF,1
MUSS,15.0,all_canonical_MFF,1
MUSS,19.0,all_canonical_MFF,1
MUSS,21.0,all_canonical_MFF,2
MUSS,24.0,all_canonical_MFF,1
MUSS,25.0,all_canonical_MFF,2
MUSS,26.0,all_canonical_MFF,2
MUSS,27.0,all_canonical_MFF,1
MUSS,28.0,all_canonical_MFF,1
MUSS,29.0,all_canonical_MFF,1
MUSS,30.0,all_canonical_MFF,1
MUSS,31.0,all_canonical_MFF,1
MUSS,34.0,all_canonical_MFF,1
MUSS,35.0,all_canonical_MFF,2
MUSS,37.0,all_canonical_MFF,6
MUSS,38.0,all_canonical_MFF,2
MUSS,40.0,all_canonical_MFF,9
CAP,0.0,all_canonical_MFF,3
CAP,2.0,all_canonical_MFF,4
CAP,3.0,all_canonical_MFF,1
CAP,4.0,all_canonical_MFF,2
CAP,5.0,all_canonical_MFF,9
CAP,6.0,all_canonical_MFF,13
CAP,7.0,all_canonical_MFF,12
SIR,1.0,all_canonical_MFF,8
SIR,2.0,all_canonical_MFF,8
SIR,3.0,all_canonical_MFF,9
SIR,4.0,all_canonical_MFF,9
SIR,5.0,all_canonical_MFF,10
