event_code,half_b_minus_a_uv_median,half_b_minus_a_uv_q25,half_b_minus_a_uv_q75,measured_records,records,scope,source_cohort_evidence,split,variant,waveform_r_median,waveform_r_q25,waveform_r_q75,waveform_rmse_uv_median,waveform_rmse_uv_q25,waveform_rmse_uv_q75
devt,0.6660453352000026,-0.8098604512829907,1.5872604496998373,19,19,expanded_CI_scope,CI,alternating_30s_blocks,primary,0.10182149961795042,-0.0991609413575487,0.4015736884962276,3.0852708642535536,2.0629660202720523,4.026865284955261
devt,0.5883559457486908,-0.18538996748172176,1.5513580523009334,19,19,expanded_CI_scope,CI,early_late_time,primary,0.24441585624978593,-0.371949212565727,0.548831527952656,2.74341816938191,2.1943958646376442,3.7483673220306644
stad,-0.14553791201230032,-0.8034456769418125,0.5248015439956135,20,20,expanded_CI_scope,CI,alternating_30s_blocks,primary,0.5802046077017179,0.284689441733632,0.7189252497610273,1.5429809048369654,1.2488320798928527,2.2447540175451586
stad,-0.08895523200863331,-1.146659551658523,0.36997366992298975,20,20,expanded_CI_scope,CI,early_late_time,primary,0.5878643285118327,0.19161629921435808,0.7921055864034386,1.1957021064247535,0.9009608478090938,2.441796094997438
devt,-0.9106995223772287,-1.6244555709452835,0.0647969218654898,6,8,expanded_CI_scope,CI,alternating_30s_blocks,strict,0.08105845840139089,-0.05419123481394472,0.1155338151124001,3.4494137010138752,1.5305025128410579,4.594685592454969
devt,-1.7944818382220344,-2.2257068343427875,-1.0905057877645594,5,8,expanded_CI_scope,CI,early_late_time,strict,0.4276317843405151,0.31575398577635866,0.6552661027764515,2.4930002633750585,1.854245515121951,2.567418027641007
stad,0.5632568534101234,-0.9743926095621281,1.1037209235104275,13,14,expanded_CI_scope,CI,alternating_30s_blocks,strict,0.47177932758828367,0.42269293215942183,0.6409584964354331,1.8880296171720041,1.2237233131126306,2.2159584033211956
stad,0.3539868706084701,-0.05511292469261647,1.0059912706308098,12,14,expanded_CI_scope,CI,early_late_time,strict,0.1722746457176948,-0.038583662515670046,0.4647543170122772,1.4695037403044249,1.2471430063326046,2.1797139422520173
devt,-0.7634693384445936,-2.1991865278541036,0.027292009538325307,18,18,expanded_CI_scope,CIHA_label,alternating_30s_blocks,primary,0.5854653296389621,0.23752966704865225,0.7151506016957647,2.652207282835387,1.9403038606662906,3.826435479574487
devt,0.11815456274751357,-2.8708956013085682,0.5017530798091037,17,18,expanded_CI_scope,CIHA_label,early_late_time,primary,0.26914366530813316,-0.30871266225601623,0.7359617459090069,2.8113559063622744,2.2415780480789578,4.21630976660468
stad,0.5169382892524745,-0.10893842266446555,1.3456599939274148,18,18,expanded_CI_scope,CIHA_label,alternating_30s_blocks,primary,0.8377682076496259,0.32456149631912734,0.8950885494804692,1.6532575676325998,1.1853858144268266,2.082935607252548
stad,0.12636831436625867,-1.1091766701972419,0.8326276426597001,18,18,expanded_CI_scope,CIHA_label,early_late_time,primary,0.735213744590291,0.2546344690544956,0.8722775802473344,1.5297467567218213,1.2256923539551519,2.144242265626642
devt,0.008017919570503462,0.008017919570503462,0.008017919570503462,1,1,expanded_CI_scope,CIHA_label,alternating_30s_blocks,strict,0.6829237842046987,0.6829237842046987,0.6829237842046987,1.824004290443654,1.824004290443654,1.824004290443654
devt,-2.5672157537020013,-2.5672157537020013,-2.5672157537020013,1,1,expanded_CI_scope,CIHA_label,early_late_time,strict,0.7027006838622825,0.7027006838622825,0.7027006838622825,3.0961557924205474,3.0961557924205474,3.0961557924205474
stad,-0.13515286669198945,-0.603247457436768,1.6017877757461383,13,13,expanded_CI_scope,CIHA_label,alternating_30s_blocks,strict,0.33496514206826905,0.027557375088696393,0.46954493097571137,2.068028435141733,1.2938363920744267,2.9632370525718854
stad,-0.20723942513528987,-0.6889422487940023,0.1883846793440265,12,13,expanded_CI_scope,CIHA_label,early_late_time,strict,0.332921079171123,0.12294574434896019,0.6471848099735488,2.1918868731517787,1.026664146928356,3.3549615944720106
devt,-0.11736253892873005,-0.45274089061997635,0.21801581276251625,2,2,expanded_CI_scope,unknown,alternating_30s_blocks,primary,0.7773802720609151,0.7760662770575923,0.7786942670642379,2.0443466814919042,2.0409899715557716,2.047703391428037
devt,-0.881868162034728,-1.0382758598100699,-0.7254604642593859,2,2,expanded_CI_scope,unknown,early_late_time,primary,0.4156242239504617,0.1766610283743951,0.6545874195265283,3.1601236760280855,2.233990271373931,4.086257080682241
stad,-0.5798164324431787,-2.0721599450529142,-0.1518757587397339,3,3,expanded_CI_scope,unknown,alternating_30s_blocks,primary,0.8438102115108711,0.4377793328677907,0.8936250598285536,0.9730397831976527,0.9279417614298859,2.5752254153317127
stad,1.6543094037724795,0.20981089974742373,2.4755317459664905,3,3,expanded_CI_scope,unknown,early_late_time,primary,0.7458174747262752,0.09215627262031645,0.8381369414223692,2.9049451552530723,2.3569369797325592,3.2215888300568585
devt,-0.6792170385022214,-0.6792170385022214,-0.6792170385022214,1,1,expanded_CI_scope,unknown,alternating_30s_blocks,strict,0.747744821757148,0.747744821757148,0.747744821757148,2.6041078190630467,2.6041078190630467,2.6041078190630467
devt,-0.45873169221606647,-0.45873169221606647,-0.45873169221606647,1,1,expanded_CI_scope,unknown,early_late_time,strict,0.8520495338037973,0.8520495338037973,0.8520495338037973,1.4774137954851532,1.4774137954851532,1.4774137954851532
stad,-0.6045097723842627,-0.6045097723842627,-0.6045097723842627,1,1,expanded_CI_scope,unknown,alternating_30s_blocks,strict,0.8376696662425731,0.8376696662425731,0.8376696662425731,1.2962325210374837,1.2962325210374837,1.2962325210374837
stad,0.8086689005800547,0.8086689005800547,0.8086689005800547,1,1,expanded_CI_scope,unknown,early_late_time,strict,0.8736978141563371,0.8736978141563371,0.8736978141563371,1.3742808937274522,1.3742808937274522,1.3742808937274522
devt,0.6660453352000026,-0.8098604512829907,1.5872604496998373,19,19,all_canonical_MFF,CI,alternating_30s_blocks,primary,0.10182149961795042,-0.0991609413575487,0.4015736884962276,3.0852708642535536,2.0629660202720523,4.026865284955261
devt,0.5883559457486908,-0.18538996748172176,1.5513580523009334,19,19,all_canonical_MFF,CI,early_late_time,primary,0.24441585624978593,-0.371949212565727,0.548831527952656,2.74341816938191,2.1943958646376442,3.7483673220306644
stad,-0.14553791201230032,-0.8034456769418125,0.5248015439956135,20,20,all_canonical_MFF,CI,alternating_30s_blocks,primary,0.5802046077017179,0.284689441733632,0.7189252497610273,1.5429809048369654,1.2488320798928527,2.2447540175451586
stad,-0.08895523200863331,-1.146659551658523,0.36997366992298975,20,20,all_canonical_MFF,CI,early_late_time,primary,0.5878643285118327,0.19161629921435808,0.7921055864034386,1.1957021064247535,0.9009608478090938,2.441796094997438
devt,-0.9106995223772287,-1.6244555709452835,0.0647969218654898,6,8,all_canonical_MFF,CI,alternating_30s_blocks,strict,0.08105845840139089,-0.05419123481394472,0.1155338151124001,3.4494137010138752,1.5305025128410579,4.594685592454969
devt,-1.7944818382220344,-2.2257068343427875,-1.0905057877645594,5,8,all_canonical_MFF,CI,early_late_time,strict,0.4276317843405151,0.31575398577635866,0.6552661027764515,2.4930002633750585,1.854245515121951,2.567418027641007
stad,0.5632568534101234,-0.9743926095621281,1.1037209235104275,13,14,all_canonical_MFF,CI,alternating_30s_blocks,strict,0.47177932758828367,0.42269293215942183,0.6409584964354331,1.8880296171720041,1.2237233131126306,2.2159584033211956
stad,0.3539868706084701,-0.05511292469261647,1.0059912706308098,12,14,all_canonical_MFF,CI,early_late_time,strict,0.1722746457176948,-0.038583662515670046,0.4647543170122772,1.4695037403044249,1.2471430063326046,2.1797139422520173
devt,-0.7634693384445936,-2.1991865278541036,0.027292009538325307,18,18,all_canonical_MFF,CIHA_label,alternating_30s_blocks,primary,0.5854653296389621,0.23752966704865225,0.7151506016957647,2.652207282835387,1.9403038606662906,3.826435479574487
devt,0.11815456274751357,-2.8708956013085682,0.5017530798091037,17,18,all_canonical_MFF,CIHA_label,early_late_time,primary,0.26914366530813316,-0.30871266225601623,0.7359617459090069,2.8113559063622744,2.2415780480789578,4.21630976660468
stad,0.5169382892524745,-0.10893842266446555,1.3456599939274148,18,18,all_canonical_MFF,CIHA_label,alternating_30s_blocks,primary,0.8377682076496259,0.32456149631912734,0.8950885494804692,1.6532575676325998,1.1853858144268266,2.082935607252548
