event_code,late_mean_uv_median,late_mean_uv_q25,late_mean_uv_q75,main_mean_uv_median,main_mean_uv_q25,main_mean_uv_q75,measured_records,n_trials_median,n_trials_q25,n_trials_q75,records,scope,source_cohort_evidence,variant
devt,-0.5336764516905992,-1.5489217107640751,-0.34499794479589135,0.2687790864388519,-0.4324180910009333,0.7799573815215743,19,86.0,68.0,93.5,20,expanded_CI_scope,CI,primary
stad,-0.3478778667482373,-1.0354693866162379,0.43332419395303456,0.680753137937163,0.14954925873026031,1.6125329052339317,20,359.5,303.0,378.25,20,expanded_CI_scope,CI,primary
devt,-0.665276005611688,-1.5189321045530668,-0.14256902388871653,0.510922941057907,0.04760751053829504,1.2010829601669681,8,50.0,43.0,62.75,18,expanded_CI_scope,CI,strict
stad,-0.561494841399629,-0.8894615113168494,-0.18873601900382025,0.28920335485279813,-0.08738159800204881,1.5664775385038023,14,169.5,102.25,201.25,18,expanded_CI_scope,CI,strict
devt,-1.1705288299547139,-2.4247623577014985,0.7603580998578074,-0.2570516748961484,-0.9354106458826938,2.6440786612362155,18,79.5,66.0,93.75,18,expanded_CI_scope,CIHA_label,primary
stad,-0.5972919921497941,-1.4492465156829135,0.17210362668601312,0.5365676250723719,-0.6894391236036672,1.6622759378073544,18,335.5,280.75,380.25,18,expanded_CI_scope,CIHA_label,primary
devt,-3.369805218591206,-3.369805218591206,-3.369805218591206,1.9276266147599537,1.9276266147599537,1.9276266147599537,1,47.0,47.0,47.0,17,expanded_CI_scope,CIHA_label,strict
stad,-1.139625279551503,-1.4716372546622696,-0.05271446551273279,0.4472063113549681,-0.45639754349081,1.517567660831823,13,106.0,97.0,144.0,17,expanded_CI_scope,CIHA_label,strict
devt,-2.845105097528885,-4.420157523008842,-1.2700526720489282,-2.7226667956491744,-5.378852709135494,-0.06648088216285508,2,150.0,128.5,171.5,3,expanded_CI_scope,unknown,primary
stad,-1.1244875851350677,-3.387587119689665,0.9969226318983,1.5116374294154291,-2.568450026381302,1.5817129974248654,3,449.0,270.0,615.5,3,expanded_CI_scope,unknown,primary
devt,1.0847909868427401,1.0847909868427401,1.0847909868427401,3.007422096083385,3.007422096083385,3.007422096083385,1,80.0,80.0,80.0,3,expanded_CI_scope,unknown,strict
stad,-1.0635104606467822,-1.0635104606467822,-1.0635104606467822,1.6624326441401234,1.6624326441401234,1.6624326441401234,1,387.0,387.0,387.0,3,expanded_CI_scope,unknown,strict
devt,-0.5336764516905992,-1.5489217107640751,-0.34499794479589135,0.2687790864388519,-0.4324180910009333,0.7799573815215743,19,86.0,68.0,93.5,20,all_canonical_MFF,CI,primary
stad,-0.3478778667482373,-1.0354693866162379,0.43332419395303456,0.680753137937163,0.14954925873026031,1.6125329052339317,20,359.5,303.0,378.25,20,all_canonical_MFF,CI,primary
devt,-0.665276005611688,-1.5189321045530668,-0.14256902388871653,0.510922941057907,0.04760751053829504,1.2010829601669681,8,50.0,43.0,62.75,18,all_canonical_MFF,CI,strict
stad,-0.561494841399629,-0.8894615113168494,-0.18873601900382025,0.28920335485279813,-0.08738159800204881,1.5664775385038023,14,169.5,102.25,201.25,18,all_canonical_MFF,CI,strict
devt,-1.1705288299547139,-2.4247623577014985,0.7603580998578074,-0.2570516748961484,-0.9354106458826938,2.6440786612362155,18,79.5,66.0,93.75,18,all_canonical_MFF,CIHA_label,primary
stad,-0.5972919921497941,-1.4492465156829135,0.17210362668601312,0.5365676250723719,-0.6894391236036672,1.6622759378073544,18,335.5,280.75,380.25,18,all_canonical_MFF,CIHA_label,primary
devt,-3.369805218591206,-3.369805218591206,-3.369805218591206,1.9276266147599537,1.9276266147599537,1.9276266147599537,1,47.0,47.0,47.0,17,all_canonical_MFF,CIHA_label,strict
stad,-1.139625279551503,-1.4716372546622696,-0.05271446551273279,0.4472063113549681,-0.45639754349081,1.517567660831823,13,106.0,97.0,144.0,17,all_canonical_MFF,CIHA_label,strict
devt,-1.7215630757294433,-1.9252631922568604,-1.0171683205737514,0.29830107294057717,-0.11393328436902045,0.7094229164086867,3,90.0,68.5,142.0,3,all_canonical_MFF,HA,primary
stad,0.612725936359507,-0.8959285824924552,0.6187895701076085,1.2829805266935579,0.7530426279161488,1.5357402938747522,3,392.0,316.5,580.5,3,all_canonical_MFF,HA,primary
devt,-2.118644178199305,-2.911273352663382,-1.326015003735228,0.07018104759153276,-0.5674207829581508,0.7077828781412163,2,93.0,70.0,116.0,3,all_canonical_MFF,HA,strict
stad,-0.36512946526313694,-1.456872731469138,0.004948612684649745,1.0589666189411353,0.48826847499552206,1.1278922970871206,3,214.0,178.0,391.5,3,all_canonical_MFF,HA,strict
devt,0.9894319976150233,0.9894319976150233,0.9894319976150233,2.8334313240377016,2.8334313240377016,2.8334313240377016,1,87.0,87.0,87.0,1,all_canonical_MFF,NH,primary
stad,-0.835318082237489,-0.835318082237489,-0.835318082237489,1.5666307618999422,1.5666307618999422,1.5666307618999422,1,333.0,333.0,333.0,1,all_canonical_MFF,NH,primary
devt,-0.8031197603865505,-1.8005096658776012,0.6348241681653879,0.1501405594088909,-1.1866539275614003,1.2930924966694253,91,136.0,108.5,142.5,100,all_canonical_MFF,unknown,primary
hdev,-0.3680091380093363,-0.8240064693134642,0.3065412621981189,0.2155674007641445,-0.23673857670802895,0.6409040636061031,55,123.0,122.0,124.0,56,all_canonical_MFF,unknown,primary
ldev,-0.5694047515075251,-1.1499595051448348,0.4015757971526668,0.2253985133540444,-0.3592999169831712,0.8601924216313231,55,123.0,121.0,124.0,56,all_canonical_MFF,unknown,primary
stad,-0.3514981414107704,-0.9896242524430786,0.4998760742980969,0.33994854674507025,-0.2201737593356927,1.0668807511903298,157,734.0,617.0,743.0,157,all_canonical_MFF,unknown,primary
