canonical_sources,conflicting_sources,endpoint,linked_sources,literal_max,literal_min,scope,time_version_status,unique_numeric_sources,unique_numeric_with_primary_stad_feature,unit_status
41,0,IT_MAIS_or_MAIS,41,40.0,40.0,expanded_CI_scope,functional_date_role_and_scale_version_unresolved,2,2,percent_header_values_literal_0_to_40_unresolved
41,0,MUSS,41,29.0,25.0,expanded_CI_scope,functional_date_role_and_scale_version_unresolved,2,2,percent_header_values_literal_0_to_40_unresolved
41,0,CAP,41,7.0,5.0,expanded_CI_scope,functional_date_role_and_scale_version_unresolved,2,2,ordinal_or_named_unit_row_assignment_unresolved
41,0,SIR,41,4.0,3.0,expanded_CI_scope,functional_date_role_and_scale_version_unresolved,2,2,ordinal_or_named_unit_row_assignment_unresolved
203,2,IT_MAIS_or_MAIS,119,40.0,2.0,all_canonical_MFF,functional_date_role_and_scale_version_unresolved,46,45,percent_header_values_literal_0_to_40_unresolved
203,2,MUSS,119,40.0,0.0,all_canonical_MFF,functional_date_role_and_scale_version_unresolved,46,45,percent_header_values_literal_0_to_40_unresolved
203,2,CAP,119,7.0,0.0,all_canonical_MFF,functional_date_role_and_scale_version_unresolved,44,43,ordinal_or_named_unit_row_assignment_unresolved
203,2,SIR,119,5.0,1.0,all_canonical_MFF,functional_date_role_and_scale_version_unresolved,44,43,ordinal_or_named_unit_row_assignment_unresolved
