contrast,event_code,max_uv,median_uv,min_uv,n_pairs,negative_pairs,positive_pairs,q25_uv,q75_uv,scope,variant,zero_pairs
devt_minus_stad_main_uv,,3.013897732796779,-0.6781114038570181,-3.1387433639351667,39,26,13,-1.2349997036852667,0.4453263502546472,expanded_CI_scope,primary,0
devt_minus_stad_late_uv,,4.060079089256784,-0.344523294244536,-4.210121600198276,39,24,15,-1.3019928522308413,0.622797885406523,expanded_CI_scope,primary,0
devt_minus_stad_main_uv,,1.3449894519432615,-0.2872867633258992,-1.7651753042261227,10,6,4,-0.5522725416849932,0.46467126196199904,expanded_CI_scope,strict,0
devt_minus_stad_late_uv,,2.1483014474895223,-0.5197454721793294,-2.690522538753015,10,6,4,-1.4111124112682971,1.1716177779909187,expanded_CI_scope,strict,0
strict_minus_primary_main_uv,devt,2.037599984617311,0.2504328317705765,-2.055455808691333,10,3,7,-0.1074258492683713,0.7798627947519621,expanded_CI_scope,primary_vs_strict,0
strict_minus_primary_late_uv,devt,2.8386126188578897,0.45899641610535313,-1.8339464803072079,10,4,6,-0.48066197404525457,1.4794725092321281,expanded_CI_scope,primary_vs_strict,0
strict_minus_primary_main_uv,stad,1.5182215253370726,0.10014920451879081,-3.628514591622423,28,10,18,-0.675110906399917,0.6759806282771696,expanded_CI_scope,primary_vs_strict,0
strict_minus_primary_late_uv,stad,1.7288952141427847,-0.11349316731417355,-5.863850272328758,28,17,11,-0.8109175141181842,0.5609335947968658,expanded_CI_scope,primary_vs_strict,0
devt_minus_stad_main_uv,,3.6573422588412843,-0.461618545007371,-4.438337674206344,132,80,52,-1.1297544795330365,0.40391068730870905,all_canonical_MFF,primary,0
devt_minus_stad_late_uv,,7.845599993917499,-0.047337857777277004,-5.272642009724751,132,68,64,-1.2426580217748997,1.112208379242519,all_canonical_MFF,primary,0
devt_minus_stad_main_uv,,2.695541591044108,-0.23586900006233674,-3.3386519832702417,67,41,26,-0.82932203100597,0.41565505941703684,all_canonical_MFF,strict,0
devt_minus_stad_late_uv,,3.898510071671723,-0.3630694216899846,-4.999952543369391,67,38,29,-1.2715016298039115,0.951017922743686,all_canonical_MFF,strict,0
strict_minus_primary_main_uv,devt,3.059561929889596,0.08314859878123365,-3.11037085880466,67,29,38,-0.6765489913739204,0.767677374797415,all_canonical_MFF,primary_vs_strict,0
strict_minus_primary_late_uv,devt,3.456212299143936,0.03387245880089207,-2.415222673402183,67,33,34,-0.7330936563641071,0.8185805524213712,all_canonical_MFF,primary_vs_strict,0
strict_minus_primary_main_uv,stad,1.5182215253370726,-0.11010365318925473,-3.628514591622423,168,94,74,-0.361447788351236,0.17987535267832738,all_canonical_MFF,primary_vs_strict,0
strict_minus_primary_late_uv,stad,1.7288952141427847,-0.15007042064325113,-5.863850272328758,168,99,69,-0.5353878437825335,0.18281709830660997,all_canonical_MFF,primary_vs_strict,0
