canonical_records,scope,source_cohort_evidence
20,expanded_CI_scope,CI
18,expanded_CI_scope,CIHA_label
3,expanded_CI_scope,unknown
20,all_canonical_MFF,CI
18,all_canonical_MFF,CIHA_label
3,all_canonical_MFF,HA
1,all_canonical_MFF,NH
161,all_canonical_MFF,unknown
