model,status,ce_bits,J_bits,bacc,auc,brier
SUP__Zpost,PASS,2.736516994073355,-1.7365169940733551,0.5081951530612245,0.5054500132323342,0.40993661520827535
SUP__Htrial_Zpost,PASS,2.736098109605569,-1.7360981096055692,0.5083758503401361,0.5054886504718814,0.40989720328827506
SUP__Htrial_Zpre,PASS,1.0029560247029408,-0.0029560247029407627,0.501955782312925,0.5054868192759672,0.2510122297107168
SIM__Zpost,PASS,0.9998371728848516,0.00016282711514836734,0.5245216836734694,0.5306265216279968,0.2499255222065878
SIM__Htrial_Zpost,PASS,0.9995500999299666,0.0004499000700334266,0.5247130102040816,0.5319517082183645,0.24982720962769658
SIM__Htrial_Zpre,PASS,1.0023323422156487,-0.0023323422156487084,0.5155080782312925,0.5147883396024229,0.25079358346247554
MATCH__Zpost,PASS,2.7024969132731855,-1.7024969132731855,0.5035395408163266,0.5062002386520089,0.4121341106023737
MATCH__Htrial_Zpost,PASS,2.701973359828611,-1.701973359828611,0.5039647108843537,0.5062345889408064,0.4120808292304346
MATCH__Htrial_Zpre,PASS,1.0008288874354374,-0.0008288874354374087,0.5073554421768707,0.514002161823488,0.2502839150471128
Htrial,PASS,0.9997347159358836,0.00026528406411641114,0.5238520408163265,0.5174232312238249,0.2499058670756688
L0_post,PASS,1.0061520656477796,-0.006152065647779592,0.5235225340136054,0.5317411961595863,0.25193683374594616
RAND_post,PASS,0.9979532408156361,0.002046759184363922,0.5233205782312924,0.5372990411619576,0.24928001681785733
