objective,outer_fold,stage,epochs,fit_identity_groups,unique_fit_trials,steps_per_epoch,original_trial_exposures,parameter_count_encoder,parameter_count_projector,elapsed_seconds,final_training_loss,original_head_accuracy_diagnostic,final_representation_std
SUP,0,final,60,38,4288,67,257280,73762,16576,52.3652663230896,0.0020915253570914934,1.0,0.47894764346862906
SUP,1,final,60,39,4448,70,268800,73762,16576,21.812050104141235,0.0024923764551723643,1.0,0.4601822159120015
SUP,2,final,60,41,4640,73,280320,73762,16576,22.31702470779419,0.0027414408116920356,1.0,0.4588221740232755
SUP,3,final,60,39,4448,70,268800,73762,16576,21.645002603530884,0.0025547801151073403,1.0,0.4654767496245248
SUP,4,final,60,39,4512,71,272640,73762,16576,20.33263373374939,0.0027639323871740153,1.0,0.464780631199689
SIM,0,final,60,38,4288,67,257280,73762,16576,25.02854895591736,0.728710582007223,0.4916044776119403,0.41344839378968995
SIM,1,final,60,39,4448,70,268800,73762,16576,26.34276008605957,0.7261512092181615,0.5081473214285714,0.4091295348746436
SIM,2,final,60,41,4640,73,280320,73762,16576,28.335379600524902,0.7278924927319566,0.5039597602739726,0.41166733021605506
SIM,3,final,60,39,4448,70,268800,73762,16576,24.86343550682068,0.7276358544826508,0.5036830357142857,0.40809080132416314
SIM,4,final,60,39,4512,71,272640,73762,16576,25.47704005241394,0.7275452361979955,0.4904269366197183,0.4115188155375736
MATCH,0,final,60,38,4288,67,257280,73762,16576,30.548123598098755,0.07188970606718491,1.0,0.46617586577116554
MATCH,1,final,60,39,4448,70,268800,73762,16576,31.75378942489624,0.07235930232065065,1.0,0.44868228690964834
MATCH,2,final,60,41,4640,73,280320,73762,16576,33.17912554740906,0.07291731799710287,1.0,0.436972926740777
MATCH,3,final,60,39,4448,70,268800,73762,16576,31.17477536201477,0.07243453455822808,1.0,0.4520360073872975
MATCH,4,final,60,39,4512,71,272640,73762,16576,31.952306509017944,0.07260877911893415,1.0,0.4484678112285238
