contrast,status,gain_bits,ci_low,ci_high,positive_group_fraction,n_groups,identical_group_differences,fold_gains,bootstrap_repetitions,bootstrap_seed,scope
SUP_minus_MATCH__Zpost,PASS,0.03402008080016975,-0.03153097862512317,0.09827579234682694,0.5918367346938775,49,False,"{'0': 0.08026106247475125, '1': 0.12413557630841776, '2': 0.07724030544018329, '3': -0.0677703000473501, '4': -0.03974629341460889}",2000,63017,fixed_oof_not_pipeline_refit
SIM_minus_MATCH__Zpost,PASS,-1.7026597403883341,-1.7928964650759618,-1.6231937230616502,0.0,49,False,"{'0': -1.6593651837122236, '1': -1.774410895258788, '2': -1.4952653690665065, '3': -1.7416752516021325, '4': -1.805432583705267}",2000,63017,fixed_oof_not_pipeline_refit
SUP_minus_SIM__Zpost,PASS,1.7366798211885042,1.6559476051444506,1.8209873100159535,1.0,49,False,"{'0': 1.7396262461869745, '1': 1.8985464715672056, '2': 1.57250567450669, '3': 1.6739049515547826, '4': 1.7656862902906583}",2000,63017,fixed_oof_not_pipeline_refit
SUP_minus_MATCH__Htrial_Zpost,PASS,0.03412474977695781,-0.031362724203380946,0.09847715649566827,0.5918367346938775,49,False,"{'0': 0.0801646992623556, '1': 0.12422586384001817, '2': 0.07761667239759118, '3': -0.06774045561050009, '4': -0.03954864142908891}",2000,63017,fixed_oof_not_pipeline_refit
SIM_minus_MATCH__Htrial_Zpost,PASS,-1.7024232598986448,-1.7928842388732669,-1.6227357693635855,0.0,49,False,"{'0': -1.6583525735544802, '1': -1.7743369923058332, '2': -1.4949907612227835, '3': -1.7422907429891243, '4': -1.805065798320247}",2000,63017,fixed_oof_not_pipeline_refit
SUP_minus_SIM__Htrial_Zpost,PASS,1.7365480096756027,1.6558272473120303,1.8208369951152925,1.0,49,False,"{'0': 1.7385172728168354, '1': 1.8985628561458512, '2': 1.5726074336203748, '3': 1.6745502873786244, '4': 1.765517156891158}",2000,63017,fixed_oof_not_pipeline_refit
SUP_minus_MATCH__Htrial_Zpre,PASS,0.0021271372675034966,0.00037059408774400805,0.0038940806965834717,0.6122448979591837,49,False,"{'0': 0.0017490713781913075, '1': -7.215925886503439e-05, '2': 0.005084784384898539, '3': 0.003486896733007683, '4': 0.0010164291126952163}",2000,63017,fixed_oof_not_pipeline_refit
SIM_minus_MATCH__Htrial_Zpre,PASS,0.001503454780211286,-0.001391315408623361,0.0046789836342999705,0.4897959183673469,49,False,"{'0': -0.0027792275362685803, '1': -0.002206013078986746, '2': 0.009773691487214159, '3': 0.007591537500978784, '4': -0.0027803988988326254}",2000,63017,fixed_oof_not_pipeline_refit
SUP_minus_SIM__Htrial_Zpre,PASS,0.0006236824872922107,-0.002554844775840909,0.0038580267518522897,0.5510204081632653,49,False,"{'0': 0.004528298914459888, '1': 0.0021338538201217117, '2': -0.00468890710231562, '3': -0.004104640767971101, '4': 0.003796828011527842}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_SUP__Zpost,PASS,-1.736782278137472,-1.8224872642295658,-1.6564325195812413,0.0,49,False,"{'0': -1.7362897694536579, '1': -1.8973869304622177, '2': -1.5745960699953607, '3': -1.6747668960026776, '4': -1.7684837340134056}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_SUP__Zpost,PASS,-1.7303649284255762,-1.8137058271464186,-1.6501950072476,0.0,49,False,"{'0': -1.7392966888253156, '1': -1.8919292620102155, '2': -1.5825484823528042, '3': -1.6588707917187846, '4': -1.7487229519662315}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_SUP__Zpost,PASS,-1.7385637532577198,-1.8225243241938422,-1.6579679350694856,0.0,49,False,"{'0': -1.7406295620041399, '1': -1.9051476808855579, '2': -1.5788578343056052, '3': -1.6731731929566778, '4': -1.7628627314715515}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_SUP__Htrial_Zpost,PASS,-1.7363633936696856,-1.8221086527908874,-1.655906686804249,0.0,49,False,"{'0': -1.735934626482762, '1': -1.8966022391822317, '2': -1.5740208421855475, '3': -1.674499688965097, '4': -1.7683339379546539}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_SUP__Htrial_Zpost,PASS,-1.7299460439577898,-1.8132204880047025,-1.6497572692462312,0.0,49,False,"{'0': -1.73894154585442, '1': -1.8911445707302295, '2': -1.5819732545429912, '3': -1.6586035846812046, '4': -1.74857315590748}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_SUP__Htrial_Zpost,PASS,-1.738144868789933,-1.8222706532474031,-1.6575873857964052,0.0,49,False,"{'0': -1.7402744190332446, '1': -1.9043629896055727, '2': -1.5782826064957924, '3': -1.6729059859190976, '4': -1.7627129354127997}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_SUP__Htrial_Zpre,PASS,-0.003221308767057237,-0.005805062154147654,-0.0005828735064530293,0.3877551020408163,49,False,"{'0': -0.006001378477077581, '1': -0.0038228503891744926, '2': -0.0018155089157623483, '3': -0.0016118190069076888, '4': -0.0022958201051030635}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_SUP__Htrial_Zpre,PASS,0.0031960409448387795,-0.0048377517485082575,0.011851246252738794,0.4897959183673469,49,False,"{'0': -0.009008297848735662, '1': 0.0016348180628279918, '2': -0.009767921273205929, '3': 0.014284285276985064, '4': 0.017464961942070933}",2000,63017,fixed_oof_not_pipeline_refit
RAND_post_minus_SUP__Htrial_Zpre,PASS,-0.0050027838873048115,-0.009295158627042025,-0.0003143447174508907,0.40816326530612246,49,False,"{'0': -0.010341171027559735, '1': -0.011583600812515082, '2': -0.006077273226007013, '3': -1.8115960908005047e-05, '4': 0.0033251824367508285}",2000,63017,fixed_oof_not_pipeline_refit
SUP__pre_minus_post,PASS,-1.7331420849026284,-1.8194114277913764,-1.6525873602492058,0.0,49,False,"{'0': -1.7299332480056842, '1': -1.8927793887930577, '2': -1.5722053332697854, '3': -1.6728878699581895, '4': -1.766038117849551}",2000,63017,fixed_oof_not_pipeline_refit
Htrial_minus_SIM__Zpost,PASS,-0.00010245694896786934,-0.003730691743869358,0.003329777879207796,0.5102040816326531,49,False,"{'0': 0.003336476733316839, '1': 0.0011595411049878824, '2': -0.0020903954886707238, '3': -0.0008619444478949245, '4': -0.0027974437227474614}",2000,63017,fixed_oof_not_pipeline_refit
L0_post_minus_SIM__Zpost,PASS,0.006314892762928148,-0.0003809784432829903,0.013434718804507946,0.5918367346938775,49,False,"{'0': 0.000329557361658759, '1': 0.006617209556990367, '2': -0.010042807846114304, '3': 0.015034159835997828, '4': 0.016963338324426536}",2000,63017,fixed_oof_not_pipeline_refit
