representation,outer_fold,status,training_groups,test_groups,training_trials,test_trials,conditions
L0,0,COMPLETE_FOLD,48,12,37052,10123,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
L0,1,COMPLETE_FOLD,48,12,37927,9248,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
L0,2,COMPLETE_FOLD,48,12,38319,8856,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
L0,3,COMPLETE_FOLD,48,12,37655,9520,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
L0,4,COMPLETE_FOLD,48,12,37747,9428,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_SUP,0,COMPLETE_FOLD,48,12,37052,10123,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_SUP,1,COMPLETE_FOLD,48,12,37927,9248,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_SUP,2,COMPLETE_FOLD,48,12,38319,8856,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_SUP,3,COMPLETE_FOLD,48,12,37655,9520,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_SUP,4,COMPLETE_FOLD,48,12,37747,9428,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_RAND,0,COMPLETE_FOLD,48,12,37052,10123,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_RAND,1,COMPLETE_FOLD,48,12,37927,9248,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_RAND,2,COMPLETE_FOLD,48,12,38319,8856,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_RAND,3,COMPLETE_FOLD,48,12,37655,9520,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
R_RAND,4,COMPLETE_FOLD,48,12,37747,9428,"['none', 'zero_first', 'zero_second', 'same_class_first', 'same_class_second', 'opposite_class_first', 'opposite_class_second']"
