outer_fold,model,selected_penalty,inner_MAE,n_train,n_test
0,M3s,0.1,10.737012855631086,41,11
0,M4s,0.1,10.729529450971203,41,11
1,M3s,0.1,9.412181694992945,41,11
1,M4s,0.1,9.398016166195118,41,11
2,M3s,0.1,9.713071606256184,42,10
2,M4s,0.1,9.690223572281221,42,10
3,M3s,0.1,7.943504384360595,42,10
3,M4s,0.1,7.885211117075595,42,10
4,M3s,0.1,8.334184231778465,42,10
4,M4s,0.1,8.275857091636606,42,10
