route,primary_mode,primary_endpoint,estimate,ci_lower,ci_upper,n_candidates,units,primary_run,verdict,control_status,input_status,support_status,scientific_complete,model_class_dependent,pending,failures
A,R_SIM,post_T,0.013350004017853223,-0.027000634965351898,0.0535583706709309,55,cosine_difference,A_SIM_core_001,NEED_CONTROLS,PENDING,RECORDED,SUPPORT_INSUFFICIENT_FOR_HISTORY_POSITION_CONTROL,False,,"[""A_controls_L0_SUP_RAND_001:L0:continuous_balance_minus_unbalanced"", ""A_controls_L0_SUP_RAND_001:L0:continuous_balanced"", ""A_controls_L0_SUP_RAND_001:L0:continuous_unbalanced_on_balanced"", ""A_controls_L0_SUP_RAND_001:L0:reset_balance_minus_unbalanced"", ""A_controls_L0_SUP_RAND_001:L0:reset_balanced"", ""A_controls_L0_SUP_RAND_001:L0:reset_unbalanced_on_balanced"", ""A_controls_L0_SUP_RAND_001:R_RAND:continuous_balance_minus_unbalanced"", ""A_controls_L0_SUP_RAND_001:R_RAND:continuous_balanced"", ""A_controls_L0_SUP_RAND_001:R_RAND:continuous_unbalanced_on_balanced"", ""A_controls_L0_SUP_RAND_001:R_RAND:reset_balance_minus_unbalanced"", ""A_controls_L0_SUP_RAND_001:R_RAND:reset_balanced"", ""A_controls_L0_SUP_RAND_001:R_RAND:reset_unbalanced_on_balanced"", ""A_controls_L0_SUP_RAND_001:R_SUP:continuous_balance_minus_unbalanced"", ""A_controls_L0_SUP_RAND_001:R_SUP:continuous_balanced"", ""A_controls_L0_SUP_RAND_001:R_SUP:continuous_unbalanced_on_balanced"", ""A_controls_L0_SUP_RAND_001:R_SUP:reset_balance_minus_unbalanced"", ""A_controls_L0_SUP_RAND_001:R_SUP:reset_balanced"", ""A_controls_L0_SUP_RAND_001:R_SUP:reset_unbalanced_on_balanced"", ""A_controls_SIM_001:R_SIM:continuous_balance_minus_unbalanced"", ""A_controls_SIM_001:R_SIM:continuous_balanced"", ""A_controls_SIM_001:R_SIM:continuous_unbalanced_on_balanced"", ""A_controls_SIM_001:R_SIM:reset_balance_minus_unbalanced"", ""A_controls_SIM_001:R_SIM:reset_balanced"", ""A_controls_SIM_001:R_SIM:reset_unbalanced_on_balanced"", ""A:frozen_history_position_balance_support""]",[]
B,R_SIM,calibrated_main_gain,-0.0021689657391713636,-0.003089027254119896,-0.0012223933185237235,60,bits/trial,B_SIM_core_001,NEGATIVE_SCREEN,COMPLETE,RECORDED,SEE_EFFECT_AND_CONTROLS,True,,[],[]
C,R_SIM,T_C_mlp32_calibrated,,,,,,C_SIM_full_001,IMPLEMENTATION_FAIL,FAIL,RECORDED,SEE_EFFECT_AND_CONTROLS,False,,[],"[""C_L0_003"", ""C_SIM_full_001"", ""C_SUP_full_001""]"
D,R_SIM,D2_minus_D3,0.10872962081842637,-0.14219872723414917,0.3879625517424376,51,MUSS_source_points,D_SIM_core_001,NEGATIVE_SCREEN,COMPLETE,RECORDED,SEE_EFFECT_AND_CONTROLS,True,,[],[]
E,E1:puretone_to_bapa,E1_transfer_gap_not_estimated,,,,,,,IMPLEMENTATION_FAIL,FAIL,RECORDED,SUPPORT_INSUFFICIENT_FOR_E1,False,,[],"[""E0_native_003""]"
