route,stage,experiment_id,preprocessing_id,dataset_scope,representation_mode,reader_family,split_protocol,seed,outer_fold,comparison_id,primary_endpoint,value,unit,ci_lower,ci_upper,ci_scope,n_candidate_groups,n_records,n_trials,coverage_fraction,control_status,verdict,limitation_code
A,S4,A_L0_core_001,P1_CAUSAL20,HA_frozen_earliest_index,L0,contrast_match,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,post_T,False,0.018413683721029715,cosine_difference,-0.023194224533799566,0.059939867178531676,fixed_OOF_candidate_cluster_bootstrap_2000,55,,,,PENDING,NEED_CONTROLS,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
A,S4,A_SUP_RAND_core_001,P1_CAUSAL20,HA_frozen_earliest_index,R_SUP,contrast_match,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,post_T,False,0.041813321614712136,cosine_difference,-0.0016369159412120552,0.08896226931281295,fixed_OOF_candidate_cluster_bootstrap_2000,55,,,,PENDING,NEED_CONTROLS,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
A,S4,A_SUP_RAND_core_001,P1_CAUSAL20,HA_frozen_earliest_index,R_RAND,contrast_match,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,post_T,False,0.023166959622181488,cosine_difference,-0.012213894212043842,0.062219019786931444,fixed_OOF_candidate_cluster_bootstrap_2000,55,,,,PENDING,NEED_CONTROLS,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
A,S4,A_SIM_core_001,P1_CAUSAL20,HA_frozen_earliest_index,R_SIM,contrast_match,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,post_T,True,0.013350004017853223,cosine_difference,-0.027000634965351898,0.0535583706709309,fixed_OOF_candidate_cluster_bootstrap_2000,55,,,,PENDING,NEED_CONTROLS,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
B,S4,B_L0_001,P1_CAUSAL20,HA_frozen_earliest_index,L0,conditional_logistic,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,calibrated_main_gain,False,-0.0016727099383447408,bits/trial,-0.0026009574339566767,-0.0007459135817781616,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,COMPLETE,NEGATIVE_SCREEN,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
B,S4,B_SUP_RAND_core_001,P1_CAUSAL20,HA_frozen_earliest_index,R_SUP,conditional_logistic,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,calibrated_main_gain,False,-0.0013367657419853943,bits/trial,-0.0022831649221587637,-0.0004115449779094733,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,COMPLETE,NEGATIVE_SCREEN,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
B,S4,B_SUP_RAND_core_001,P1_CAUSAL20,HA_frozen_earliest_index,R_RAND,conditional_logistic,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,calibrated_main_gain,False,-0.0015163364644868746,bits/trial,-0.0025478395229750553,-0.0004624008607270599,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,COMPLETE,NEGATIVE_SCREEN,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
B,S4,B_SIM_core_001,P1_CAUSAL20,HA_frozen_earliest_index,R_SIM,conditional_logistic,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,calibrated_main_gain,True,-0.0021689657391713636,bits/trial,-0.003089027254119896,-0.0012223933185237235,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,COMPLETE,NEGATIVE_SCREEN,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_L0_SUP_RAND_002,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,L0,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_calibrated,False,-0.0001967462325576097,bits/trial,-0.0009228881760523861,0.00020853241718099254,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_L0_SUP_RAND_002,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,L0,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_raw,False,-9.785639041193228e-05,bits/trial,-0.0013601439511175622,0.0006684502795669122,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_L0_SUP_RAND_002,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,R_RAND,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_calibrated,False,9.349004130443372e-05,bits/trial,-0.0006058444589666978,0.0006020183576841115,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_L0_SUP_RAND_002,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,R_RAND,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_raw,False,-0.00047374728490212625,bits/trial,-0.0014777862289958089,0.0003072189773555916,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_L0_SUP_RAND_002,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,R_SUP,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_calibrated,False,-0.008053674038559722,bits/trial,-0.011348174785764664,-0.006053436235234688,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_L0_SUP_RAND_002,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,R_SUP,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_raw,False,-0.009334573624348197,bits/trial,-0.012905116804631023,-0.007412674562258716,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_SIM_001,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,R_SIM,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_calibrated,False,-0.00016082422093688375,bits/trial,-0.0008148029015214609,0.00041870517304675163,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
C,S4,C_linear_SIM_001,P2_SPATIAL_SPLIT,HA_frozen_earliest_index,R_SIM,linear,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,T_C_linear_raw,False,-0.0002264360414031552,bits/trial,-0.001090115463167593,0.0005566903748362681,fixed_OOF_candidate_cluster_bootstrap_2000,60,,,,FAIL,IMPLEMENTATION_FAIL,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
D,S4,D_L0_core_001,P1_CAUSAL20,HA_frozen_earliest_index,L0,nested_group_ridge,frozen_identity_group_outer5,see_source_fit_scope,pooled_OOF,D2_minus_D3,False,-0.3288601292400475,MUSS_source_points,-0.5909764821314014,-0.09915063011474737,fixed_OOF_candidate_cluster_bootstrap_2000,51,,,,COMPLETE,NEGATIVE_SCREEN,exploratory_seen_cohort;record_trial_counts_not_in_source_metric;not_pipeline_refit
