label,status,sha256,sha256_after
screening_sources.yaml,READ,a8de58e61f1d1caa93a5cd45566b5cbcc1b0bd5316a15b4c9c55d8fd9143a7ff,a8de58e61f1d1caa93a5cd45566b5cbcc1b0bd5316a15b4c9c55d8fd9143a7ff
project_config.yaml,READ,7a2028c0688da6de08e9224af915e5bae123c5e605a472c6c481be2ef7cc8073,7a2028c0688da6de08e9224af915e5bae123c5e605a472c6c481be2ef7cc8073
protocol.md,READ,6df2b97d06491a631ae17c531cb5abaa219e7309b7d9f2385f8bac7b538d5656,6df2b97d06491a631ae17c531cb5abaa219e7309b7d9f2385f8bac7b538d5656
screening.py,READ,c78a4d55ab8865c41d3ba5c441f826ba7ee56db355a69559f3655715a0812db1,c78a4d55ab8865c41d3ba5c441f826ba7ee56db355a69559f3655715a0812db1
retained/C_L0_001/summary.json,MISSING,,
retained/C_L0_001/failure.json,MISSING,,
retained/C_L0_002/summary.json,READ,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc
retained/C_L0_002/failure.json,READ,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc
retained/C_linear_L0_SUP_RAND_001/summary.json,READ,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc
retained/C_linear_L0_SUP_RAND_001/failure.json,READ,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc,c3d38d3deba6f15f5ea15fcd56e58d12a344decab891165030712d6e461bbfdc
representation_plan.json,READ,f9e9ccb4d4601145332497fe8120e58346228dac07cfb9725ab4ed20a0b95fe1,f9e9ccb4d4601145332497fe8120e58346228dac07cfb9725ab4ed20a0b95fe1
split_folds.json,READ,8f66af791e57cdf8f7f8e3201c02abb3f94607b7b254ecbf6837f2036fcf7a67,8f66af791e57cdf8f7f8e3201c02abb3f94607b7b254ecbf6837f2036fcf7a67
representation/outer0_all_L0/completion.json,READ,682982ada1e10f3b3f4cdf5188e2134f567a6232b6a63703310ee93387f2d290,682982ada1e10f3b3f4cdf5188e2134f567a6232b6a63703310ee93387f2d290
representation/outer0_all_L0/task.json,READ,c340079928e63db38d4a5b03e3fc825c8820a528f0db1f1e7c97e178ec6ce4fc,c340079928e63db38d4a5b03e3fc825c8820a528f0db1f1e7c97e178ec6ce4fc
