model,seed,fold,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
adapt_zero_shot,11,0,odd_even_blocks,0,15,1,305,46,0.5334060768843377,0.529712942756421,1.0075169801712036,-0.007516980171203613
adapt_finetuned,11,0,odd_even_blocks,0,15,1,305,46,0.5508645291253987,0.5311398354876615,0.9977031350135803,0.0022968649864196777
adapt_zero_shot,11,0,odd_even_blocks,0,23,1,290,46,0.462892017106201,0.4645402708481825,1.0174198150634766,-0.017419815063476562
adapt_finetuned,11,0,odd_even_blocks,0,23,1,290,46,0.4652530292230934,0.485032074126871,1.0180513858795166,-0.0180513858795166
adapt_zero_shot,11,0,odd_even_blocks,0,29,1,291,43,0.4924512378094524,0.4865903975993998,1.0084946155548096,-0.00849461555480957
adapt_finetuned,11,0,odd_even_blocks,0,29,1,291,43,0.49198237059264815,0.4865903975993998,1.0084152221679688,-0.00841522216796875
adapt_zero_shot,11,1,odd_even_blocks,0,6,2,525,78,0.5625967991739803,0.5393219755635863,0.9860504269599915,0.013949573040008545
adapt_finetuned,11,1,odd_even_blocks,0,6,2,525,78,0.5660385475821716,0.5440974014799518,0.9851664304733276,0.014833569526672363
adapt_zero_shot,11,1,odd_even_blocks,0,7,1,275,43,0.4556936647955092,0.48561547714514836,1.0188002586364746,-0.01880025863647461
adapt_finetuned,11,1,odd_even_blocks,0,7,1,275,43,0.45549318364073776,0.49077786688051317,1.019191026687622,-0.01919102668762207
adapt_zero_shot,11,1,odd_even_blocks,0,21,1,297,43,0.5245834096319355,0.5444515656473173,1.0066742897033691,-0.006674289703369141
adapt_finetuned,11,1,odd_even_blocks,0,21,1,297,43,0.5425288408716352,0.5328236586705731,1.000756025314331,-0.0007560253143310547
adapt_zero_shot,11,3,odd_even_blocks,0,8,1,299,43,0.5582757994186046,0.5306595203488372,0.9939980506896973,0.006001949310302734
adapt_finetuned,11,3,odd_even_blocks,0,8,1,299,43,0.5557321947674418,0.524890988372093,0.9943419098854065,0.005658090114593506
