lane,model,variable,n,spearman,p
mff_puretone,shared,age,27,0.0894656530256118,0.657207754275351
bdf_puretone,shared,age,55,0.1234550152844444,0.3691966433423004
bdf_puretone,shared,duration,55,0.0829491628538364,0.5471230167841292
bdf_puretone,shared,unaided,55,0.11252913784119989,0.41337274186026124
bdf_puretone,shared,unaided|age,53,0.10482180293501048,0.45507623283493476
bdf_puretone,shared,aided,44,-0.1605043155374769,0.2979767777746016
bdf_puretone,shared,aided|age,42,-0.11255165707803258,0.47791182430458207
bdf_puretone,shared,A,57,0.11840611707959363,0.3803600067967398
bdf_puretone,shared,A|age,55,0.06436018619578412,0.6406220775693485
bdf_puretone,shared,V,57,-0.005700097701993671,0.9664335728167326
bdf_puretone,shared,V|age,55,-0.1130972781078305,0.41100334848152653
bdf_puretone,shared,CAP,57,0.051766145542363584,0.7021470245019161
bdf_puretone,shared,CAP|age,55,-0.079621913279275,0.5633669861162027
bdf_puretone,shared,SIR,57,-0.002120407282272779,0.9875103724346561
bdf_puretone,shared,SIR|age,55,-0.12591096071452268,0.35967455688967026
mff_unknown_event,shared,age,25,0.07076923076923076,0.7367559509342093
