child,n_dev_after_dev,n_dev_after_std3,dev_after_dev,dev_after_std3,std_after_dev,std_after_std3,repetition_effect,carryover_on_standards
0,26,86,-0.4946441212805591,-0.1496977173278423,-0.18281154583138495,-0.3754280387036282,-0.3449464039527168,0.19261649287224322
2,18,84,-0.4420961837901899,-0.27583023196287143,-0.37505198427522873,-0.19562968321607674,-0.16626595182731846,-0.179422301059152
3,20,82,0.2969549388247673,-0.15298575423382302,-0.12801643693933337,-0.1090963100833196,0.4499406930585903,-0.01892012685601377
4,21,88,0.01920658969200185,-0.2252170072189086,-0.30346638421102873,-0.3494775494415558,0.24442359691091045,0.04601116523052706
5,15,64,0.40047405502154004,0.40558150725892456,0.5050706994135304,0.39826430694902315,-0.005107452237384513,0.1068063924645073
6,17,80,0.01906834098818687,0.0873096906547902,-0.20857615149860734,-0.1706031130744765,-0.06824134966660333,-0.03797303842413083
9,19,76,-6.242216712076056,-5.9727548072124454,-8.298938292391234,-8.278049109593693,-0.26946190486361044,-0.02088918279754104
10,76,214,-0.009198292939692583,0.15646910322355848,-0.007055401118876362,0.18655878731559572,-0.16566739616325105,-0.1936141884344721
11,77,228,-0.22492581806137274,-0.17824940581445445,-0.3998444583561105,-0.2967503200795992,-0.04667641224691829,-0.10309413827651132
12,40,85,-0.20210779129262252,-0.3620856300645009,-0.3946280797178432,-0.39345946169527113,0.15997783877187838,-0.0011686180225720655
13,31,77,0.15627354310178532,0.10627485985130629,-0.08735761146475378,-0.029239391744137446,0.04999868325047903,-0.05811821972061633
15,28,74,0.04849027254533937,0.06339390331944911,-0.2091138960441085,0.009041403010542204,-0.014903630774109736,-0.2181552990546507
16,36,84,0.4132872121914042,0.3045637561969338,-0.12620752721744632,0.05058132439221075,0.10872345599447036,-0.17678885160965707
18,20,42,0.041088029588236825,0.09499669073513427,0.2185647721866759,0.3698000535723686,-0.05390866114689744,-0.15123528138569273
19,39,97,-0.5505788860477996,-0.2826699658198963,-0.6182778805713908,-0.6496560318292465,-0.2679089202279033,0.0313781512578557
21,30,87,-0.10807732352280172,0.021305764050571992,-0.1863423768977059,-0.14567974758723942,-0.12938308757337372,-0.04066262931046649
22,29,67,0.026662649241395334,-0.06763800998428435,-0.22661154989897986,-0.1968104766606571,0.09430065922567968,-0.02980107323832276
23,47,120,-0.4873760947550339,-0.08012884521943331,-0.17303679318617218,-0.19819537717809946,-0.4072472495356006,0.025158583991927275
24,17,60,-0.19163070330129345,0.21743649849069935,-0.5287198172130619,-0.7064123879577175,-0.4090672017919928,0.1776925707446556
25,11,38,-0.09457767440286616,-0.10933337648141805,0.07013688324332758,0.12990588979554185,0.014755702078551897,-0.059769006552214274
26,23,63,2.2022122021877624,1.9691477232431982,1.6779267936645588,1.6472781658875848,0.23306447894456417,0.03064862777697397
27,22,81,0.5395713993388407,0.5532219123663783,0.1943086682129886,0.3631344003812779,-0.013650513027537614,-0.16882573216828933
28,37,100,-0.3535496700898812,-0.023812098746836822,-0.03699940777679928,-0.014399003003861254,-0.3297375713430444,-0.02260040477293803
29,11,33,-0.21357272911980427,0.16883335328173574,-0.14061935782812665,-0.06761056566475947,-0.38240608240154,-0.07300879216336718
30,28,89,-0.2548954071813039,-0.3223703326941661,-0.3705651629100072,-0.43344328599414567,0.06747492551286222,0.06287812308413848
31,31,81,0.003160218888460489,-0.013276992260535312,-0.2276045897400803,-0.2822350864498663,0.016437211148995802,0.05463049670978598
32,37,97,-0.07233830792958183,-0.337560371709639,-0.12468537653721,-0.23030661450152642,0.26522206378005714,0.10562123796431643
33,41,104,-0.46112546869783344,-0.5594337731974834,-0.7205508224401179,-0.7006423155781918,0.09830830449965,-0.019908506861926134
34,39,72,0.3548634589895856,0.13897332711530705,-0.20834761808582905,-0.1748236466313079,0.21589013187427855,-0.033523971454521156
35,32,74,0.19863977793551563,0.15314316682670465,-0.4343259651231209,-0.44629282223375605,0.04549661110881098,0.011966857110635165
36,16,38,-0.3427932581474615,-0.4525799709524069,-0.4088548137195744,-0.1891053314630909,0.1097867128049454,-0.2197494822564835
37,36,101,0.2025420678795495,0.0447121603697375,0.2588070280756363,0.23299818690109153,0.15782990750981202,0.025808841174544794
38,33,82,-0.08929135340477354,-0.25898975112332195,-0.31775796804095313,-0.2270203858585122,0.16969839771854842,-0.09073758218244093
39,22,87,0.13618460759618356,0.4381853683231969,0.10252208559857239,0.15022747994409616,-0.3020007607270133,-0.047705394345523774
40,36,104,-0.05773824701340855,0.09843300656937065,-0.04416101020015593,0.02121516415488099,-0.1561712535827792,-0.06537617435503693
42,18,56,-0.34600104608255533,-0.0006214979922689079,-0.04450877702997832,-0.09816351976378933,-0.3453795480902864,0.05365474273381101
43,25,96,-0.19722057549331187,0.0606470699602908,0.010021971732785497,-0.10379195805063,-0.2578676454536027,0.11381392978341551
