child,n,balanced_brier,calibration_slope,calibration_intercept,auc
0,937,0.24979015265104704,0.7542109843011825,-1.73905764596602,0.5196713282907983
1,51,0.24816101193730408,0.8486130526136901,-1.792803585719739,0.538961038961039
2,933,0.25337658680129016,-0.5066659648092837,-1.758349541775381,0.47789137092415773
3,950,0.2516312983258681,0.3185371902609379,-1.7392399946984582,0.5267601188754175
4,991,0.24745192905920016,0.8454379038463187,-1.673193430525199,0.5574813881936584
5,715,0.2526686127291769,0.2339756158865498,-1.7198599656571116,0.5081811944394726
6,938,0.24859413639655809,1.1539614340687185,-1.7310429556849172,0.5504137365952044
7,94,0.2484552528001103,0.7748833366302921,-1.7377612104760858,0.5419642857142857
8,154,0.2578635189042704,-0.9536499512813325,-1.7612309789629295,0.44731404958677684
9,798,0.42469753739991195,8.530805976345746,24.275125826140133,0.9843435914616637
10,2092,0.2549023962859312,-0.20289620325834776,-1.3845798715530826,0.48488421203335835
11,2227,0.2515940622420722,0.3381374248366567,-1.3875286120478165,0.5157319458471294
12,921,0.2503465073497829,0.515733927815074,-1.3429408230082467,0.545244380862486
13,815,0.24864392923712753,0.805443636023636,-1.3924601684016493,0.5347491437389438
14,161,0.2484589286695704,0.8263011673902567,-1.4880432295401915,0.5557251908396947
15,735,0.24818174925132058,0.9585190989732894,-1.4071365993478238,0.5458386908240794
16,842,0.24479958424897205,1.4698259192657779,-1.45764136474045,0.5839673717533636
17,282,0.24960685374924316,0.6327743608443115,-1.6343856487812856,0.5224566338490388
18,421,0.25464290006125523,-2.2437250969411093,-1.316808142497124,0.4202731092436975
19,964,0.24759470039072687,0.8419622049874866,-1.2687878535859225,0.5797227095087475
21,813,0.24766097182633276,1.327011945253153,-1.3671326404310276,0.5666163284568193
22,705,0.24855635261729353,0.7175876008760318,-1.414006560826787,0.5483691719218443
23,1263,0.25090258847238267,0.2657516236621266,-1.47697605211592,0.5130838784949373
24,608,0.22092160935996547,2.010385137207226,-1.244196825041757,0.7165268577188939
25,354,0.25905678666139853,-0.8732385291205791,-1.4618485544593003,0.441813973063973
26,632,0.25097053961132076,1.9824871094876533,-2.1821803822043004,0.6131784607267691
27,694,0.24824728643102573,1.2574817796945152,-1.4790693833957138,0.5575882268146615
28,929,0.25279897957951136,-0.3170789021294263,-1.4062071300422858,0.49293499758273635
29,319,0.24836855871511715,0.9550462226034799,-1.4179530212671838,0.5530626333626208
30,863,0.2532966059779088,0.3485012029084564,-1.3661480428787034,0.5241034735603568
31,872,0.24831913595359884,1.0140988932054433,-1.3973493398916992,0.5409571826575875
32,937,0.2577178456403954,-0.20390271065752558,-1.3833751435929542,0.4778235750017614
33,943,0.2497432495793261,0.7068518585121629,-1.2114151739781311,0.5581975738909601
34,742,0.24412151267831197,1.028409237851522,-1.2828901979931286,0.5853208753380871
35,682,0.23951363262730027,4.619443435836495,-1.296833875829792,0.7063416594120403
36,460,0.2539945270164685,-0.7684987273035622,-1.5151469040817247,0.4823405049123244
37,961,0.2538447949266269,-0.8837663067982595,-1.4124539747282396,0.47772708275285597
38,757,0.2506915725190147,0.18133599048016263,-1.3037305726169037,0.5013652090541498
39,836,0.2473748272640898,1.6580762900170738,-1.5924007112285932,0.5610327950528999
40,945,0.2513442393344108,-0.0720144808987353,-1.3800259079610637,0.4857859881491809
41,120,0.23777247739832938,1.3069537544288161,-1.7410347134877933,0.6655773420479303
42,573,0.2538325809117272,0.19040539082843105,-1.411353881175089,0.5099938022931515
43,903,0.2531720870486216,0.18104288905446522,-1.4520991083790336,0.51775956284153
