packet,world,seed,dimension,rate,first,second,estimate,ci_lower,ci_upper,test_groups,test_trials,units,ci_scope,oracle_expected_gain_bits,mode,outer_profile
N1,trial_key,220000,64,0.15,HP,HPB,0.07976347827351,0.06538067308340587,0.09312243581452292,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.08805258195794677,R_SIM,0
N1,trial_key,220000,64,0.15,HB,HPB,0.0804283226470483,0.06616464503446921,0.09387441465567353,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.10750489216723473,R_SIM,0
N1,trial_key,220000,64,0.15,HPBnoise,HPB,0.07976347827351,0.06538067308340587,0.09312243581452292,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,trial_key,220000,64,0.15,HPP,HPB,0.07161408644078032,0.05904018070910919,0.08392670905641789,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,group_key,220000,64,0.15,HP,HPB,0.0730351532750503,0.05946709341605502,0.08623850085593811,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.0879339426106594,R_SIM,0
N1,group_key,220000,64,0.15,HB,HPB,0.07240398345897832,0.06243377146800787,0.0819365820726385,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.10785086108732685,R_SIM,0
N1,group_key,220000,64,0.15,HPBnoise,HPB,0.0730351532750503,0.05946709341605502,0.08623850085593811,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,group_key,220000,64,0.15,HPP,HPB,0.0730351532750503,0.05946709341605502,0.08623850085593811,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,additive_background,220000,64,0.15,HP,HPB,0.03374580769111569,0.027081746570586495,0.04005005692563751,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.07613602178373173,R_SIM,0
N1,additive_background,220000,64,0.15,HB,HPB,0.0671738834765146,0.05879686641501912,0.07457490647490206,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.10861131254161158,R_SIM,0
N1,additive_background,220000,64,0.15,HPBnoise,HPB,0.03374580769111569,0.027081746570586495,0.04005005692563751,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,additive_background,220000,64,0.15,HPP,HPB,0.03374580769111569,0.027081746570586495,0.04005005692563751,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,independent_background,220000,64,0.15,HP,HPB,0.0,0.0,0.0,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.0,R_SIM,0
N1,independent_background,220000,64,0.15,HB,HPB,0.10965489936653518,0.09853934100275222,0.12095143832036999,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.10861131254161158,R_SIM,0
N1,independent_background,220000,64,0.15,HPBnoise,HPB,0.0,0.0,0.0,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,independent_background,220000,64,0.15,HPP,HPB,0.0,0.0,0.0,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,history_only,220000,64,0.15,HP,HPB,0.0,0.0,0.0,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.0,R_SIM,0
N1,history_only,220000,64,0.15,HB,HPB,0.00013126891878245672,-0.0005645673513125691,0.0008001059122628364,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.0,R_SIM,0
N1,history_only,220000,64,0.15,HPBnoise,HPB,0.0,0.0,0.0,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,history_only,220000,64,0.15,HPP,HPB,0.0,0.0,0.0,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,,R_SIM,0
N1,trial_key_weak,220000,64,0.15,HP,HPB,0.00812624949895365,0.003672721652724934,0.012129406866781692,12,9693,bits_per_trial,fixed_predictions_identity_bootstrap,0.014506020110774499,R_SIM,0
