train_children,draw,panel_children,auc_panel_mean,n_train_trials,epochs
5,0,12,0.50402552896706,4903,7
5,1,12,0.5437228465749319,3893,33
5,2,12,0.511399183588248,4479,16
10,0,12,0.5383618235865114,8481,22
10,1,12,0.5557619885227741,6934,17
10,2,12,0.5453830174101216,8469,14
20,0,12,0.555820983244567,16911,21
20,1,12,0.5497948130250327,15024,14
20,2,12,0.5530888684074325,16975,16
40,0,12,0.5436377086720259,32781,9
40,1,12,0.5597382010878266,34633,12
40,2,12,0.5645182690903052,35265,12
60,0,12,0.5680764481307479,51437,14
60,1,12,0.5681984107508342,49662,18
60,2,12,0.5663295691053527,50508,22
