mode,outer_fold,scope_safe,matched_trials,required_trials,status
L0,0,True,5584,5584,SUFFICIENT
R_RAND,0,True,5584,5584,SUFFICIENT
R_SUP,0,True,5584,5584,SUFFICIENT
R_SIM,0,True,5584,5584,SUFFICIENT
L0,1,True,5584,5584,SUFFICIENT
R_RAND,1,True,5584,5584,SUFFICIENT
R_SUP,1,True,5584,5584,SUFFICIENT
R_SIM,1,True,5584,5584,SUFFICIENT
L0,2,True,5584,5584,SUFFICIENT
R_RAND,2,True,5584,5584,SUFFICIENT
R_SUP,2,True,5584,5584,SUFFICIENT
R_SIM,2,True,5584,5584,SUFFICIENT
L0,3,True,5584,5584,SUFFICIENT
R_RAND,3,True,5584,5584,SUFFICIENT
R_SUP,3,True,5584,5584,SUFFICIENT
R_SIM,3,True,5584,5584,SUFFICIENT
L0,4,True,5584,5584,SUFFICIENT
R_RAND,4,True,5584,5584,SUFFICIENT
R_SUP,4,True,5584,5584,SUFFICIENT
R_SIM,4,True,5584,5584,SUFFICIENT
