source,child,segment,segment_start_s,auc,n
child_spatial_s11_odd_even_blocks_b0,0,4,480.0,0.5698924731182795,40
child_spatial_s11_odd_even_blocks_b0,0,6,720.0,0.5183823529411764,42
child_spatial_s11_odd_even_blocks_b0,2,0,0.0,0.6257142857142857,45
child_spatial_s11_odd_even_blocks_b0,2,1,120.0,0.5947712418300652,43
child_spatial_s11_odd_even_blocks_b0,3,0,0.0,0.6285714285714287,44
child_spatial_s11_odd_even_blocks_b0,3,3,360.0,0.6637931034482758,37
child_spatial_s11_odd_even_blocks_b0,3,4,480.0,0.3973607038123167,42
child_spatial_s11_odd_even_blocks_b0,4,2,240.0,0.7253086419753086,45
child_spatial_s11_odd_even_blocks_b0,4,3,360.0,0.6367521367521367,35
child_spatial_s11_odd_even_blocks_b0,4,6,720.0,0.48765432098765427,45
child_spatial_s11_odd_even_blocks_b0,4,7,840.0,0.4212962962962963,33
child_spatial_s11_odd_even_blocks_b0,10,0,0.0,0.6196219035202086,144
child_spatial_s11_odd_even_blocks_b0,10,1,120.0,0.4327852004110997,174
child_spatial_s11_odd_even_blocks_b0,10,2,240.0,0.525390625,154
child_spatial_s11_odd_even_blocks_b0,10,3,360.0,0.4709621136590229,152
child_spatial_s11_odd_even_blocks_b0,10,4,480.0,0.4913793103448276,39
child_spatial_s11_odd_even_blocks_b0,11,0,0.0,0.48204068658614113,147
child_spatial_s11_odd_even_blocks_b0,11,1,120.0,0.4313022700119474,166
child_spatial_s11_odd_even_blocks_b0,11,2,240.0,0.5145123839009288,155
child_spatial_s11_odd_even_blocks_b0,11,3,360.0,0.4315200617283951,132
child_spatial_s11_odd_even_blocks_b0,11,4,480.0,0.38051948051948054,69
child_spatial_s11_odd_even_blocks_b0,12,0,0.0,0.3786008230452675,36
child_spatial_s11_odd_even_blocks_b0,12,2,240.0,0.6057692307692308,34
child_spatial_s11_odd_even_blocks_b0,12,3,360.0,0.6205357142857142,36
child_spatial_s11_odd_even_blocks_b0,12,7,840.0,0.5637254901960784,29
child_spatial_s11_odd_even_blocks_b0,12,8,960.0,0.4431818181818182,30
child_spatial_s11_odd_even_blocks_b0,13,0,0.0,0.6666666666666667,28
child_spatial_s11_odd_even_blocks_b0,13,1,120.0,0.4636752136752137,35
child_spatial_s11_odd_even_blocks_b0,16,1,120.0,0.4289772727272727,30
child_spatial_s11_odd_even_blocks_b0,19,3,360.0,0.6038461538461538,36
child_spatial_s11_odd_even_blocks_b0,19,4,480.0,0.4943181818181819,34
child_spatial_s11_odd_even_blocks_b0,19,6,720.0,0.45,36
child_spatial_s11_odd_even_blocks_b0,19,7,840.0,0.421875,36
child_spatial_s11_odd_even_blocks_b0,21,1,120.0,0.4,67
child_spatial_s11_odd_even_blocks_b0,21,2,240.0,0.46031746031746035,54
child_spatial_s11_odd_even_blocks_b0,21,3,360.0,0.5123859191655802,72
child_spatial_s11_odd_even_blocks_b0,23,0,0.0,0.4547945205479452,88
child_spatial_s11_odd_even_blocks_b0,23,1,120.0,0.5613598673300165,85
child_spatial_s11_odd_even_blocks_b0,23,2,240.0,0.5480599647266314,95
child_spatial_s11_odd_even_blocks_b0,23,3,360.0,0.500293427230047,95
child_spatial_s11_odd_even_blocks_b0,26,2,240.0,0.9642857142857142,22
child_spatial_s11_odd_even_blocks_b0,27,0,0.0,0.5844155844155844,60
child_spatial_s11_odd_even_blocks_b0,27,1,120.0,0.6062500000000001,52
child_spatial_s11_odd_even_blocks_b0,27,2,240.0,0.4156534954407295,61
child_spatial_s11_odd_even_blocks_b0,27,3,360.0,0.5460358056265985,63
child_spatial_s11_odd_even_blocks_b0,28,0,0.0,0.5842105263157895,72
child_spatial_s11_odd_even_blocks_b0,28,1,120.0,0.5853174603174603,71
child_spatial_s11_odd_even_blocks_b0,28,2,240.0,0.39342403628117917,67
child_spatial_s11_odd_even_blocks_b0,28,3,360.0,0.580952380952381,73
child_spatial_s11_odd_even_blocks_b0,30,0,0.0,0.4825,33
child_spatial_s11_odd_even_blocks_b0,30,2,240.0,0.3922413793103448,37
child_spatial_s11_odd_even_blocks_b0,30,4,480.0,0.329059829059829,35
child_spatial_s11_odd_even_blocks_b0,30,6,720.0,0.6022727272727273,30
child_spatial_s11_odd_even_blocks_b0,31,0,0.0,0.5357142857142858,29
child_spatial_s11_odd_even_blocks_b0,31,1,120.0,0.4577777777777778,34
child_spatial_s11_odd_even_blocks_b0,31,2,240.0,0.5733333333333333,34
child_spatial_s11_odd_even_blocks_b0,31,6,720.0,0.4107142857142857,36
child_spatial_s11_odd_even_blocks_b0,32,2,240.0,0.6706349206349206,37
child_spatial_s11_odd_even_blocks_b0,32,6,720.0,0.5153846153846154,36
child_spatial_s11_odd_even_blocks_b0,32,7,840.0,0.6631944444444444,36
child_spatial_s11_odd_even_blocks_b0,32,8,960.0,0.5,36
child_spatial_s11_odd_even_blocks_b0,33,0,0.0,0.4528735632183908,73
child_spatial_s11_odd_even_blocks_b0,33,1,120.0,0.47352941176470587,67
child_spatial_s11_odd_even_blocks_b0,33,2,240.0,0.43727598566308246,71
child_spatial_s11_odd_even_blocks_b0,33,3,360.0,0.4442970822281167,71
child_spatial_s11_odd_even_blocks_b0,37,0,0.0,0.6753826530612245,70
child_spatial_s11_odd_even_blocks_b0,37,1,120.0,0.53551912568306,70
child_spatial_s11_odd_even_blocks_b0,37,2,240.0,0.5226244343891403,69
child_spatial_s11_odd_even_blocks_b0,37,3,360.0,0.3756613756613757,72
child_spatial_s11_odd_even_blocks_b0,38,0,0.0,0.5564102564102564,67
child_spatial_s11_odd_even_blocks_b0,38,1,120.0,0.4696969696969697,56
child_spatial_s11_odd_even_blocks_b0,38,2,240.0,0.5577395577395577,48
child_spatial_s11_odd_even_blocks_b0,38,3,360.0,0.37843551797040176,54
child_spatial_s11_odd_even_blocks_b0,39,0,0.0,0.5638606676342526,66
child_spatial_s11_odd_even_blocks_b0,39,1,120.0,0.6031746031746033,68
child_spatial_s11_odd_even_blocks_b0,39,2,240.0,0.6148148148148147,69
child_spatial_s11_odd_even_blocks_b0,39,3,360.0,0.4214285714285715,59
child_spatial_s11_odd_even_blocks_b0,40,7,840.0,0.6277777777777778,28
child_spatial_s11_odd_even_blocks_b0,40,8,960.0,0.5833333333333333,36
child_spatial_s11_odd_even_blocks_b0,43,0,0.0,0.43144654088050316,68
child_spatial_s11_odd_even_blocks_b0,43,1,120.0,0.5429292929292929,53
child_spatial_s11_odd_even_blocks_b0,43,2,240.0,0.5898305084745763,69
child_spatial_s11_odd_even_blocks_b0,43,3,360.0,0.5133689839572193,62
child_spatial_s11_odd_even_blocks_b1,0,2,240.0,0.4852941176470589,43
child_spatial_s11_odd_even_blocks_b1,0,7,840.0,0.4708333333333333,46
child_spatial_s11_odd_even_blocks_b1,2,2,240.0,0.6516129032258065,41
child_spatial_s11_odd_even_blocks_b1,2,4,480.0,0.5206349206349206,44
child_spatial_s11_odd_even_blocks_b1,3,6,720.0,0.3799342105263158,46
child_spatial_s11_odd_even_blocks_b1,4,5,600.0,0.47058823529411764,45
child_spatial_s11_odd_even_blocks_b1,4,7,840.0,0.6076388888888888,44
child_spatial_s11_odd_even_blocks_b1,10,0,0.0,0.5239234449760766,68
child_spatial_s11_odd_even_blocks_b1,10,1,120.0,0.49194744649290106,176
child_spatial_s11_odd_even_blocks_b1,10,2,240.0,0.49422243620606643,165
child_spatial_s11_odd_even_blocks_b1,10,3,360.0,0.5299227799227799,139
child_spatial_s11_odd_even_blocks_b1,10,4,480.0,0.5003001200480193,132
