task,model,outer_fold,n_identity_groups,MAE,RMSE
A_given_C,MEAN,0,12,14.185606060606062,17.586978849958015
A_given_C,MEAN,1,11,16.166666666666664,19.10011869678304
A_given_C,MEAN,2,11,12.732323232323237,13.709334315075774
A_given_C,MEAN,3,11,13.045454545454545,15.868063982271263
A_given_C,MEAN,4,11,16.015151515151516,18.936800495835605
A_given_C,C_LINEAR,0,12,2.7947581555854284,5.493174028109714
A_given_C,C_LINEAR,1,11,5.834425353403808,7.798297255618616
A_given_C,C_LINEAR,2,11,4.924461287349556,6.373055821594853
A_given_C,C_LINEAR,3,11,6.280190837736601,9.13381873193952
A_given_C,C_LINEAR,4,11,3.799986562259544,5.372806858620106
A_given_C,C_BEST,0,12,2.655130849120701,3.7357659900941997
A_given_C,C_BEST,1,11,2.948421346171453,4.337855204714327
A_given_C,C_BEST,2,11,3.3337570298552284,4.54513630583367
A_given_C,C_BEST,3,11,6.934028928659529,11.871012405349326
A_given_C,C_BEST,4,11,3.424395590689181,4.567975588837099
A_given_C,Z_ONLY,0,12,14.846764066822857,17.871408151962118
A_given_C,Z_ONLY,1,11,17.28813193897018,21.04276288571278
A_given_C,Z_ONLY,2,11,12.836927126293187,13.87872907574801
A_given_C,Z_ONLY,3,11,12.271362023022691,15.318870321097304
A_given_C,Z_ONLY,4,11,13.232003870683121,16.781316399240822
A_given_C,C_Z,0,12,2.757873226894141,3.5936160993455233
A_given_C,C_Z,1,11,3.2052391218125353,4.511974627828241
A_given_C,C_Z,2,11,3.1372494695831095,4.34147112952544
A_given_C,C_Z,3,11,7.133157606472475,12.503912682649814
A_given_C,C_Z,4,11,4.320720608064091,6.162500499417593
A_given_C,C_Q,0,12,3.9585300424313985,5.504550874448993
A_given_C,C_Q,1,11,5.122344071764581,6.52762085557377
A_given_C,C_Q,2,11,5.165503544598203,7.427248405837098
A_given_C,C_Q,3,11,7.734821169692884,13.172718955088017
A_given_C,C_Q,4,11,4.347656852612689,5.807842238015698
A_given_C,C_Q_Z,0,12,3.9585300424313985,5.504550874448993
A_given_C,C_Q_Z,1,11,6.941915352232744,9.613976599045596
A_given_C,C_Q_Z,2,11,4.948836673965983,7.109442243706048
A_given_C,C_Q_Z,3,11,8.115373180346934,14.55298037247258
A_given_C,C_Q_Z,4,11,4.155048992895227,5.637886958442042
A_given_C,C_SHUFFLED_Z,0,12,2.6755506678826264,3.7083413083457715
A_given_C,C_SHUFFLED_Z,1,11,2.948421346171453,4.337855204714327
A_given_C,C_SHUFFLED_Z,2,11,3.3337570298552284,4.54513630583367
A_given_C,C_SHUFFLED_Z,3,11,6.934028928659529,11.871012405349326
A_given_C,C_SHUFFLED_Z,4,11,7.978608124096899,12.104203092148895
V_given_C,MEAN,0,12,19.630681818181817,24.346596434000997
V_given_C,MEAN,1,11,19.333333333333336,20.609783779308653
V_given_C,MEAN,2,11,14.57575757575758,16.384599678410616
V_given_C,MEAN,3,11,18.212121212121215,24.16927305113719
V_given_C,MEAN,4,11,19.232323232323232,21.375563210857607
V_given_C,C_LINEAR,0,12,7.213275683206128,10.063782460044859
V_given_C,C_LINEAR,1,11,7.073147268008065,10.175597002373562
V_given_C,C_LINEAR,2,11,5.7294242692813135,6.782443521058047
V_given_C,C_LINEAR,3,11,10.873244416410541,15.6522355544513
V_given_C,C_LINEAR,4,11,4.686001398979702,5.844354098576088
V_given_C,C_BEST,0,12,2.874838714945557,4.643220261939379
V_given_C,C_BEST,1,11,7.073147268008065,10.175597002373562
V_given_C,C_BEST,2,11,5.7294242692813135,6.782443521058047
V_given_C,C_BEST,3,11,8.85617215139964,13.482046166528589
V_given_C,C_BEST,4,11,5.325377199601134,7.580276837416224
V_given_C,Z_ONLY,0,12,19.72189231755331,23.827137113923282
V_given_C,Z_ONLY,1,11,19.583460315796785,21.498406217660488
V_given_C,Z_ONLY,2,11,14.931072570219236,16.883600081697594
V_given_C,Z_ONLY,3,11,16.896558061337558,22.83253541042279
V_given_C,Z_ONLY,4,11,19.258431805838722,21.109929609233845
V_given_C,C_Z,0,12,3.0009439660051815,5.334177559916066
V_given_C,C_Z,1,11,7.073147268008065,10.175597002373562
V_given_C,C_Z,2,11,5.7294242692813135,6.782443521058047
V_given_C,C_Z,3,11,8.85617215139964,13.482046166528589
V_given_C,C_Z,4,11,5.325377199601134,7.580276837416224
V_given_C,C_Q,0,12,3.9317453146280124,5.238353844447018
V_given_C,C_Q,1,11,7.042316821310636,9.024604784283504
V_given_C,C_Q,2,11,7.237679928233754,10.413958874378565
V_given_C,C_Q,3,11,8.189201255526449,13.14776180645605
V_given_C,C_Q,4,11,4.732846561600085,7.558288063903056
V_given_C,C_Q_Z,0,12,3.8515987844082784,5.204397230264579
V_given_C,C_Q_Z,1,11,7.042316821310636,9.024604784283504
