task,stratum,model,n,MAE,gain_vs_clinical
A,age_le_36,C_BEST,4,7.257622662224733,0.0
A,age_le_36,BEST_CZ,4,6.933285541521391,0.32433712070334086
A,age_le_36,BEST_CQZ,4,9.547114110726183,-2.2894914485014484
A,age_le_36,Z_ONLY,4,21.389640172217135,-14.132017509992403
A,age_gt_36,C_BEST,53,3.473218858833559,0.0
A,age_gt_36,BEST_CZ,53,3.661485499198916,-0.18826664036535692
A,age_gt_36,BEST_CQZ,53,3.7460226597832142,-0.27280380094965506
A,age_gt_36,Z_ONLY,53,15.28104032366692,-11.80782146483336
A,duration_le_6,C_BEST,18,6.597260264110722,0.0
A,duration_le_6,BEST_CZ,18,6.100006726316151,0.49725353779457093
A,duration_le_6,BEST_CQZ,18,6.72819008314193,-0.13092981903120876
A,duration_le_6,Z_ONLY,18,24.149327047571862,-17.552066783461136
A,duration_gt_6,C_BEST,39,2.4194975746944767,0.0
A,duration_gt_6,BEST_CZ,39,2.871583398716344,-0.4520858240218674
A,duration_gt_6,BEST_CQZ,39,2.9646214337143677,-0.5451238590198911
A,duration_gt_6,Z_ONLY,39,11.814507974023638,-9.39501039932916
A,ceiling,C_BEST,28,1.854626643958574,0.0
A,ceiling,BEST_CZ,28,2.2835075082735705,-0.4288808643149967
A,ceiling,BEST_CQZ,28,2.3821470081163585,-0.5275203641577846
A,ceiling,Z_ONLY,28,13.000335239323444,-11.14570859536487
A,non_ceiling,C_BEST,29,5.557984280559913,0.0
A,non_ceiling,BEST_CZ,29,5.443229772136832,0.1147545084230812
A,non_ceiling,BEST_CQZ,29,5.863018661522657,-0.3050343809627428
A,non_ceiling,Z_ONLY,29,18.325665901453753,-12.767681620893839
V,age_le_36,C_BEST,4,22.063224051830456,0.0
V,age_le_36,BEST_CZ,4,23.47424401163048,-1.4110199598000193
V,age_le_36,BEST_CQZ,4,18.812888869230516,3.250335182599943
V,age_le_36,Z_ONLY,4,40.39882761898524,-18.335603567154784
V,age_gt_36,C_BEST,53,5.528805075650093,0.0
V,age_gt_36,BEST_CZ,53,6.019375978973977,-0.4905709033238829
V,age_gt_36,BEST_CQZ,53,5.8317636339297545,-0.3029585582796612
V,age_gt_36,Z_ONLY,53,19.4301967085813,-13.901391632931206
V,duration_le_6,C_BEST,18,10.383193535217623,0.0
V,duration_le_6,BEST_CZ,18,11.39098204102503,-1.0077885058074085
V,duration_le_6,BEST_CQZ,18,10.059909982704214,0.3232835525134081
V,duration_le_6,Z_ONLY,18,28.37934492096989,-17.996151385752267
V,duration_gt_6,C_BEST,39,4.98415593802204,0.0
V,duration_gt_6,BEST_CZ,39,5.330416056248515,-0.34626011822647473
V,duration_gt_6,BEST_CQZ,39,5.211708932987774,-0.22755299496573378
V,duration_gt_6,Z_ONLY,39,17.450449421879277,-12.466293483857235
V,ceiling,C_BEST,18,3.662697112915001,0.0
V,ceiling,BEST_CZ,18,3.4650614504026027,0.19763566251239884
V,ceiling,BEST_CQZ,18,3.9653630268075175,-0.30266591389251624
V,ceiling,Z_ONLY,18,19.344161018458824,-15.681463905543819
V,non_ceiling,C_BEST,39,8.085923517546327,0.0
V,non_ceiling,BEST_CZ,39,8.988533251920405,-0.9026097343740782
V,non_ceiling,BEST_CQZ,39,8.02457675878625,0.06134675876007746
V,non_ceiling,Z_ONLY,39,21.62053429996131,-13.534610782414982
V_given_A,age_le_36,C_BEST,4,20.391263229047503,0.0
V_given_A,age_le_36,BEST_CZ,4,20.315224204337177,0.07603902471032598
V_given_A,age_le_36,BEST_CQZ,4,16.454992357443302,3.936270871604202
V_given_A,age_le_36,Z_ONLY,4,40.39882761898524,-20.00756438993774
V_given_A,age_gt_36,C_BEST,53,5.091371734153459,0.0
V_given_A,age_gt_36,BEST_CZ,53,4.786107382264669,0.305264351888789
