task,model,n,repeats,MAE,RMSE,R2
A,MEAN,57,5,14.239473684210527,17.114869963498798,-0.03461770538176978
A,C_LINEAR,57,5,5.13507526975525,7.47059479980237,0.8028743850980613
A,C_BEST,57,5,3.738791055562765,5.756629087963139,0.8829505993316417
A,C_Q,57,5,3.7613767942669094,5.69461343491863,0.8854589406527336
A,C_HJORTH,57,5,3.5975642693787346,5.322337523576764,0.8999452932036494
A,C_POST,57,5,3.9162707106292496,6.588418501800421,0.8466813258738273
A,C_CONTRAST,57,5,3.8357636363625374,5.798673154642465,0.8812345936387976
A,C_PRE,57,5,3.9038490281105735,6.051303782681666,0.8706606691297534
A,C_SPATIAL,57,5,3.8764506192860457,5.929774573789211,0.8758035833175362
A,BEST_CZ,57,5,3.891085502168915,5.747949742056803,0.883303287117793
A,BEST_CQZ,57,5,4.153116796691492,6.416724723303073,0.854568154360565
A,BEST_SHUFFLED,57,5,3.6996348190044333,5.468813073454265,0.8943623194120601
A,Z_ONLY,57,5,15.709713997249393,19.40397065357066,-0.32988447744515637
V,MEAN,57,5,18.10033053648614,21.404861454678475,-0.023295619070283546
V,C_LINEAR,57,5,7.58191844391996,10.732845430657127,0.7427200028159148
V,C_BEST,57,5,6.689115179241697,9.93499118671916,0.7795494204573253
V,C_Q,57,5,6.410716008740856,9.458666901311508,0.8001812970661724
V,C_HJORTH,57,5,6.7093318377523445,9.98713908078774,0.7772290954391119
V,C_POST,57,5,6.689115179241697,9.93499118671916,0.7795494204573253
V,C_CONTRAST,57,5,6.685584831233758,9.928239215088247,0.779848961792713
V,C_PRE,57,5,7.157304121908842,10.775701574900102,0.7406612678508913
V,C_SPATIAL,57,5,6.686043033800172,9.934777311427865,0.7795589118445909
V,BEST_CZ,57,5,7.244278998809521,10.8843290812255,0.735406238459622
V,BEST_CQZ,57,5,6.742719790792966,9.922172375669815,0.7801179345459618
V,BEST_SHUFFLED,57,5,6.965982665890742,10.361205299286288,0.7602289028664946
V,Z_ONLY,57,5,20.90167957948684,25.015983057118607,-0.397691811103549
V_given_A,MEAN,57,5,18.10033053648614,21.404861454678475,-0.023295619070283546
V_given_A,C_LINEAR,57,5,6.9427606311420815,9.481436506551782,0.7992181022877335
V_given_A,C_BEST,57,5,6.165048330286375,8.970850665816792,0.8202605009551214
V_given_A,C_Q,57,5,5.684476440373309,8.273992559997689,0.8471003382714425
V_given_A,C_HJORTH,57,5,6.110676414055979,8.937358190119088,0.8216001026062625
V_given_A,C_POST,57,5,6.054106278723409,8.843359449091361,0.8253330132552328
V_given_A,C_CONTRAST,57,5,6.066552535357887,8.835883639847998,0.825628200883112
V_given_A,C_PRE,57,5,6.146735635760914,9.275203651433046,0.8078576135163371
V_given_A,C_SPATIAL,57,5,6.01341846656551,8.83217707703061,0.8257744645712786
V_given_A,BEST_CZ,57,5,5.875869966269758,8.997629234451395,0.8191858313395983
V_given_A,BEST_CQZ,57,5,5.8746062349468335,8.71921052871273,0.830202770220111
V_given_A,BEST_SHUFFLED,57,5,6.252364618232056,8.94765049812316,0.8211889735207292
V_given_A,Z_ONLY,57,5,20.90167957948684,25.015983057118607,-0.397691811103549
CAP,MEAN,57,5,1.546337825239427,1.8412088672053213,-0.028218143306824706
CAP,C_LINEAR,57,5,0.5751532038953323,0.7507268193076135,0.8290602716362134
CAP,C_BEST,57,5,0.4903098260973703,0.7473913250848546,0.8305758744542107
CAP,C_Q,57,5,0.46720081449105033,0.7192579304472689,0.8430907792950733
CAP,C_HJORTH,57,5,0.5080320195466379,0.7662468244791721,0.8219194358772102
CAP,C_POST,57,5,0.5085757934477247,0.7654164038469956,0.8223052166371883
CAP,C_CONTRAST,57,5,0.507966276414666,0.7418686996060809,0.8330704420218445
CAP,C_PRE,57,5,0.48493476075573616,0.7174052498362973,0.8438980787613221
CAP,C_SPATIAL,57,5,0.48966988337433076,0.7529673413802334,0.8280384198996669
CAP,BEST_CZ,57,5,0.5013382218249307,0.7327088988728714,0.8371671292238729
CAP,BEST_CQZ,57,5,0.4918628663411983,0.7285011753811234,0.8390319581529666
CAP,BEST_SHUFFLED,57,5,0.5207294800142284,0.7680920834799133,0.8210607036182818
CAP,Z_ONLY,57,5,1.6872999231977364,2.0068770655133266,-0.22157654982402009
SIR,MEAN,57,5,0.8610933129926264,1.0215951376573402,-0.025042435172719202
SIR,C_LINEAR,57,5,0.456379872651868,0.5902626998739392,0.6578040301547243
SIR,C_BEST,57,5,0.4112132902486395,0.5290154695662482,0.7251340430730793
SIR,C_Q,57,5,0.4547359934369228,0.589696016547773,0.6584607671136397
SIR,C_HJORTH,57,5,0.4195885362818028,0.5359844356048963,0.7178444694318133
SIR,C_POST,57,5,0.42604166379281205,0.5538165883007797,0.6987575782989275
SIR,C_CONTRAST,57,5,0.4229287726393025,0.5487404466735344,0.7042544931008277
SIR,C_PRE,57,5,0.41668553751154574,0.5405695485270217,0.7129963862920174
SIR,C_SPATIAL,57,5,0.4225409381567877,0.5467570656280455,0.7063885292148409
SIR,BEST_CZ,57,5,0.4360815325026402,0.562275496511755,0.6894850418098459
SIR,BEST_CQZ,57,5,0.4694766506952443,0.6143489176472617,0.6293069826468978
SIR,BEST_SHUFFLED,57,5,0.41034826126348733,0.5322846755212458,0.7217263166997677
SIR,Z_ONLY,57,5,0.9275863411985223,1.1279440498085191,-0.24956636202854954
