task,contrast,baseline,augmented,gain_MAE,ci_low,ci_high,positive_repeats,leave_one_identity_min,leave_one_identity_max,n
A,increment_HJORTH,C_BEST,C_HJORTH,0.14122678618402942,-0.2132670260021306,0.4995154381697079,4,0.05895187350782952,0.23277849164585085,57
A,increment_POST,C_BEST,C_POST,-0.17747965506648536,-0.5018555063891756,0.12183446035760792,2,-0.23203072060167546,-0.0970909442840946,57
A,increment_CONTRAST,C_BEST,C_CONTRAST,-0.09697258079977243,-0.3440063266585173,0.1310613619586872,1,-0.14267028413027896,-0.05185153839767059,57
A,increment_PRE,C_BEST,C_PRE,-0.16505797254780946,-0.36677949249898034,-0.0059216781351145815,1,-0.1929007201427882,-0.09647829097319698,57
A,increment_SPATIAL,C_BEST,C_SPATIAL,-0.13765956372328125,-0.32046603931949097,0.018743277628891938,1,-0.1633755922737357,-0.09415002019982753,57
A,joint_selector,C_BEST,BEST_CZ,-0.15229444660615007,-0.5470965262967366,0.21794559814461947,1,-0.23240540934649292,-0.04824554722181183,57
A,quality_adjusted,C_Q,BEST_CQZ,-0.3917400024245836,-0.6913254417197144,-0.10337360587218047,0,-0.45030849711916154,-0.3069368533491909,57
A,content_control,BEST_SHUFFLED,BEST_CZ,-0.19145068316448055,-0.5655097037143578,0.11143648147228673,2,-0.2419186119481413,-0.07439135822310232,57
A,EEG_alone,MEAN,Z_ONLY,-1.4702403130388642,-2.4774729577518593,-0.5206224283997829,1,-1.6274547681464355,-1.2564688788036409,57
A,clinical_nonlinearity,C_LINEAR,C_BEST,1.396284214192486,0.5095974999086827,2.352953353943248,5,1.1580569575857897,1.501694753879161,57
V,increment_HJORTH,C_BEST,C_HJORTH,-0.0202166585106463,-0.050600998122466996,0.010350142578163002,1,-0.027114515387285463,-0.014313328564549366,57
V,increment_POST,C_BEST,C_POST,0.0,0.0,0.0,0,0.0,0.0,57
V,increment_CONTRAST,C_BEST,C_CONTRAST,0.0035303480079403385,-0.09204189793214816,0.10767597332416215,2,-0.02391434055786668,0.022893401405496283,57
V,increment_PRE,C_BEST,C_PRE,-0.4681889426671436,-0.8578728512460968,-0.09238664316653104,1,-0.5108604283629842,-0.3892585436943503,57
V,increment_SPATIAL,C_BEST,C_SPATIAL,0.003072145441525695,-0.08875314986237492,0.0873903610916449,2,-0.01604329007774969,0.027856518334187643,57
V,joint_selector,C_BEST,BEST_CZ,-0.5551638195678223,-0.9372820705842957,-0.18997613685841416,0,-0.6024571002195731,-0.4754435185350268,57
V,quality_adjusted,C_Q,BEST_CQZ,-0.3320037820521097,-0.984018846185213,0.23179290897724902,1,-0.4289032034322665,-0.10973139589820897,57
V,content_control,BEST_SHUFFLED,BEST_CZ,-0.27829633291877853,-0.722103719946446,0.13643706553388654,3,-0.33595062627584743,-0.17300862310620604,57
V,EEG_alone,MEAN,Z_ONLY,-2.801349043000697,-4.3410261715285055,-1.3952971447175428,0,-3.0152908540692693,-2.528828293160575,57
V,clinical_nonlinearity,C_LINEAR,C_BEST,0.8928032646782623,-0.2545160881241992,2.0396599818244705,5,0.6805204798739825,1.1627413687767414,57
V_given_A,increment_HJORTH,C_BEST,C_HJORTH,0.054371916230396285,-0.05492357019662642,0.17241610303445115,3,0.03688123218397448,0.07263839604345437,57
V_given_A,increment_POST,C_BEST,C_POST,0.11094205156296445,0.008619981961902598,0.24104875514877233,2,0.07185967301863408,0.12475742500600766,57
V_given_A,increment_CONTRAST,C_BEST,C_CONTRAST,0.09849579492848731,-0.012023933086389632,0.2265061579905712,3,0.06160837317882536,0.11060234535063215,57
V_given_A,increment_PRE,C_BEST,C_PRE,0.01831269452546043,-0.2730906124433685,0.2987669143017178,3,-0.05918015654968399,0.07581600808380498,57
V_given_A,increment_SPATIAL,C_BEST,C_SPATIAL,0.15162986372086443,0.0070039849557031126,0.3196515695899285,1,0.10661391286756941,0.18251224155162007,57
V_given_A,joint_selector,C_BEST,BEST_CZ,0.2891783640166161,0.009619564603179552,0.5834258038219184,3,0.2319074583283068,0.3515185645301599,57
V_given_A,quality_adjusted,C_Q,BEST_CQZ,-0.19012979457352489,-0.5755780977877495,0.16133531263080453,1,-0.2617377937294312,-0.07329655938897332,57
V_given_A,content_control,BEST_SHUFFLED,BEST_CZ,0.37649465196229775,0.008627535850282414,0.7502052696968144,4,0.28663891192988633,0.4523616513376178,57
V_given_A,EEG_alone,MEAN,Z_ONLY,-2.801349043000697,-4.3410261715285055,-1.3952971447175428,0,-3.0152908540692693,-2.528828293160575,57
V_given_A,clinical_nonlinearity,C_LINEAR,C_BEST,0.7777123008557083,-0.07029599126601795,1.681525235430919,5,0.6520412970748481,1.002438364461813,57
CAP,increment_HJORTH,C_BEST,C_HJORTH,-0.0177221934492676,-0.0330860688848888,-0.004134963962121732,1,-0.019987817121366696,-0.01295387636166016,57
CAP,increment_POST,C_BEST,C_POST,-0.018265967350354417,-0.03894608032829492,-0.0001355921596782287,1,-0.021336311452617853,-0.01344913516686303,57
CAP,increment_CONTRAST,C_BEST,C_CONTRAST,-0.017656450317295697,-0.03406346375311241,0.0022425058092601026,0,-0.02437646626451829,-0.01480022030226496,57
CAP,increment_PRE,C_BEST,C_PRE,0.005375065341634168,-0.03232515396177636,0.042627699056550075,4,-0.004400551798640881,0.014110500583547627,57
CAP,increment_SPATIAL,C_BEST,C_SPATIAL,0.000639942723039583,-0.01309231365170998,0.01585924957996684,3,-0.003648408917720221,0.003822056692890134,57
CAP,joint_selector,C_BEST,BEST_CZ,-0.011028395727560413,-0.04928374815075957,0.026008434955158987,1,-0.020248115468561423,-0.0015440121124773046,57
CAP,quality_adjusted,C_Q,BEST_CQZ,-0.024662051850147908,-0.05916158485681161,0.009429278270573719,0,-0.03146990531001532,-0.017617358570005983,57
CAP,content_control,BEST_SHUFFLED,BEST_CZ,0.01939125818929758,-0.015346688204068573,0.05496451107208721,4,0.011297214890628774,0.027663699572323116,57
CAP,EEG_alone,MEAN,Z_ONLY,-0.14096209795830922,-0.2610671615759859,-0.028405382525044872,0,-0.1613053157274962,-0.12169579863758496,57
CAP,clinical_nonlinearity,C_LINEAR,C_BEST,0.08484337779796208,-0.04550342795689675,0.2067609515313839,5,0.06076742857337699,0.12210189446524929,57
SIR,increment_HJORTH,C_BEST,C_HJORTH,-0.008375246033163268,-0.014350095400916418,-0.0025330705528155617,0,-0.009338356950636135,-0.00690724365951021,57
SIR,increment_POST,C_BEST,C_POST,-0.01482837354417255,-0.025622024799831354,-0.005345206981489989,0,-0.015645170518123665,-0.011489145671370948,57
SIR,increment_CONTRAST,C_BEST,C_CONTRAST,-0.011715482390662968,-0.025163939316278125,0.0005974075346077462,1,-0.01325789443374541,-0.008112090344525034,57
SIR,increment_PRE,C_BEST,C_PRE,-0.005472247262906216,-0.01213665545090453,0.0002709633414675572,0,-0.0064185715198797535,-0.0032883480951036116,57
SIR,increment_SPATIAL,C_BEST,C_SPATIAL,-0.011327647908148237,-0.026267075970299758,-0.00010466271524066344,0,-0.012280135325563445,-0.005367849043346999,57
SIR,joint_selector,C_BEST,BEST_CZ,-0.02486824225400072,-0.04081774092979938,-0.009213285558918927,0,-0.026703595997426388,-0.02082813797364614,57
SIR,quality_adjusted,C_Q,BEST_CQZ,-0.014740657258321565,-0.03618813019033958,0.008190296212382387,2,-0.018879619389810167,-0.010378277682663684,57
SIR,content_control,BEST_SHUFFLED,BEST_CZ,-0.025733271239152828,-0.04485528636308687,-0.007511242076382664,0,-0.02779372301479328,-0.020990682406254384,57
