mode,outer_fold,window,family,calibration,n_candidates
L0,0,post,logistic,mixture_diagnostic,12
L0,0,post,logistic,raw,12
L0,0,post,logistic,temperature,12
L0,0,pre,logistic,mixture_diagnostic,12
L0,0,pre,logistic,raw,12
L0,0,pre,logistic,temperature,12
L0,1,post,logistic,mixture_diagnostic,11
L0,1,post,logistic,raw,11
L0,1,post,logistic,temperature,11
L0,1,pre,logistic,mixture_diagnostic,11
L0,1,pre,logistic,raw,11
L0,1,pre,logistic,temperature,11
L0,2,post,logistic,mixture_diagnostic,11
L0,2,post,logistic,raw,11
L0,2,post,logistic,temperature,11
L0,2,pre,logistic,mixture_diagnostic,11
L0,2,pre,logistic,raw,11
L0,2,pre,logistic,temperature,11
L0,3,post,logistic,mixture_diagnostic,11
L0,3,post,logistic,raw,11
L0,3,post,logistic,temperature,11
L0,3,pre,logistic,mixture_diagnostic,11
L0,3,pre,logistic,raw,11
L0,3,pre,logistic,temperature,11
L0,4,post,logistic,mixture_diagnostic,12
L0,4,post,logistic,raw,12
L0,4,post,logistic,temperature,12
L0,4,pre,logistic,mixture_diagnostic,12
L0,4,pre,logistic,raw,12
L0,4,pre,logistic,temperature,12
R_SIM,0,post,logistic,mixture_diagnostic,12
R_SIM,0,post,logistic,raw,12
R_SIM,0,post,logistic,temperature,12
R_SIM,0,pre,logistic,mixture_diagnostic,12
R_SIM,0,pre,logistic,raw,12
R_SIM,0,pre,logistic,temperature,12
R_SIM,1,post,logistic,mixture_diagnostic,11
R_SIM,1,post,logistic,raw,11
R_SIM,1,post,logistic,temperature,11
R_SIM,1,pre,logistic,mixture_diagnostic,11
R_SIM,1,pre,logistic,raw,11
R_SIM,1,pre,logistic,temperature,11
R_SIM,2,post,logistic,mixture_diagnostic,11
R_SIM,2,post,logistic,raw,11
R_SIM,2,post,logistic,temperature,11
R_SIM,2,pre,logistic,mixture_diagnostic,11
R_SIM,2,pre,logistic,raw,11
R_SIM,2,pre,logistic,temperature,11
R_SIM,3,post,logistic,mixture_diagnostic,11
R_SIM,3,post,logistic,raw,11
R_SIM,3,post,logistic,temperature,11
R_SIM,3,pre,logistic,mixture_diagnostic,11
R_SIM,3,pre,logistic,raw,11
R_SIM,3,pre,logistic,temperature,11
R_SIM,4,post,logistic,mixture_diagnostic,12
R_SIM,4,post,logistic,raw,12
R_SIM,4,post,logistic,temperature,12
R_SIM,4,pre,logistic,mixture_diagnostic,12
R_SIM,4,pre,logistic,raw,12
R_SIM,4,pre,logistic,temperature,12
