mode,window,family,view,calibration,loss_bits_per_bag,bacc,auroc,brier_two_class_sum
L0,post,logistic,H,mixture_diagnostic,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
L0,post,logistic,H,raw,0.13109576986564092,0.982883404569792,0.9923421910946788,0.03615424661953112
L0,post,logistic,H,temperature,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
L0,post,logistic,HMU,mixture_diagnostic,0.1310694608270171,0.9831944547696633,0.9923123324471426,0.02963783627649448
L0,post,logistic,HMU,raw,0.13194885487630223,0.9831944547696633,0.9923123324471426,0.03650474972502445
L0,post,logistic,HMU,temperature,0.1310694608270171,0.9831944547696633,0.9923123324471426,0.02963783627649448
L0,post,logistic,HMUMU,mixture_diagnostic,0.13085082126601763,0.9831944547696633,0.9923123324471426,0.029704171247114396
L0,post,logistic,HMUMU,raw,0.13216643544748044,0.9831944547696633,0.9923123324471426,0.036609406319419
L0,post,logistic,HMUMU,temperature,0.13085082126601763,0.9831944547696633,0.9923123324471426,0.029704171247114396
L0,post,logistic,HMUVAR,mixture_diagnostic,0.13252071089527703,0.982868505165386,0.9922223639361213,0.030127995187572164
L0,post,logistic,HMUVAR,raw,0.13353979450310174,0.982868505165386,0.9922223639361213,0.037064347445285487
L0,post,logistic,HMUVAR,temperature,0.13252071089527703,0.982868505165386,0.9922223639361213,0.030127995187572164
L0,post,logistic,HRFF,mixture_diagnostic,0.13076943362919824,0.9830103596423729,0.9923373237002039,0.030032765836687875
L0,post,logistic,HRFF,raw,0.13222899977288866,0.9830103596423729,0.9923373237002039,0.03668934466687824
L0,post,logistic,HRFF,temperature,0.13076943362919824,0.9830103596423729,0.9923373237002039,0.030032765836687875
L0,post,logistic,HVAR,mixture_diagnostic,0.13349397802903584,0.9830201750517834,0.9923421910946788,0.030007555931088066
L0,post,logistic,HVAR,raw,0.1326863340241143,0.9830201750517834,0.9923421910946788,0.03672359657529262
L0,post,logistic,HVAR,temperature,0.13349397802903584,0.9830201750517834,0.9923421910946788,0.030007555931088066
L0,pre,logistic,H,mixture_diagnostic,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
L0,pre,logistic,H,raw,0.13109576986564092,0.982883404569792,0.9923421910946788,0.03615424661953112
L0,pre,logistic,H,temperature,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
L0,pre,logistic,HMU,mixture_diagnostic,0.132738225049188,0.9826342367221197,0.9923634306342055,0.02934804502784023
L0,pre,logistic,HMU,raw,0.1317463017015003,0.9826342367221197,0.9923634306342055,0.03639072241870633
L0,pre,logistic,HMU,temperature,0.132738225049188,0.9826342367221197,0.9923634306342055,0.02934804502784023
L0,pre,logistic,HMUMU,mixture_diagnostic,0.13304958796936153,0.9830053568300819,0.9923634306342055,0.029366393753912798
L0,pre,logistic,HMUMU,raw,0.13195109211643313,0.9830053568300819,0.9923634306342055,0.03648916750576483
L0,pre,logistic,HMUMU,temperature,0.13304958796936153,0.9830053568300819,0.9923634306342055,0.029366393753912798
L0,pre,logistic,HMUVAR,mixture_diagnostic,0.1325865005640461,0.9834815279976,0.9922734621231845,0.029488621289699396
L0,pre,logistic,HMUVAR,raw,0.13212346604633027,0.9834815279976,0.9922734621231845,0.03657445448480708
L0,pre,logistic,HMUVAR,temperature,0.1325865005640461,0.9834815279976,0.9922734621231845,0.029488621289699396
L0,pre,logistic,HRFF,mixture_diagnostic,0.1321577878818286,0.983332774319522,0.9922967298415519,0.029695091483697204
L0,pre,logistic,HRFF,raw,0.13161433642648543,0.983332774319522,0.9922967298415519,0.03641512294205145
L0,pre,logistic,HRFF,temperature,0.1321577878818286,0.983332774319522,0.9922967298415519,0.029695091483697204
L0,pre,logistic,HVAR,mixture_diagnostic,0.13129452191068278,0.9832572427526876,0.9922522225836576,0.02956387245257303
L0,pre,logistic,HVAR,raw,0.13140006875550092,0.9832572427526876,0.9922522225836576,0.036310352502082414
L0,pre,logistic,HVAR,temperature,0.13129452191068278,0.9832572427526876,0.9922522225836576,0.02956387245257303
R_SIM,post,logistic,H,mixture_diagnostic,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
R_SIM,post,logistic,H,raw,0.13109576986564092,0.982883404569792,0.9923421910946788,0.03615424661953112
R_SIM,post,logistic,H,temperature,0.13167763949755032,0.982883404569792,0.9923421910946788,0.02945378402459488
R_SIM,post,logistic,HMU,mixture_diagnostic,0.134407589765505,0.9836186358260464,0.9923421910946788,0.02969894458169514
R_SIM,post,logistic,HMU,raw,0.13148414805191064,0.9836186358260464,0.9923421910946788,0.03645704974659871
R_SIM,post,logistic,HMU,temperature,0.134407589765505,0.9836186358260464,0.9923421910946788,0.02969894458169514
R_SIM,post,logistic,HMUMU,mixture_diagnostic,0.13507235760892994,0.9834699590493589,0.9923421910946788,0.029808416855664013
R_SIM,post,logistic,HMUMU,raw,0.13163116399359856,0.9834699590493589,0.9923421910946788,0.036569243033978176
R_SIM,post,logistic,HMUMU,temperature,0.13507235760892994,0.9834699590493589,0.9923421910946788,0.029808416855664013
R_SIM,post,logistic,HMUVAR,mixture_diagnostic,0.13590109360026795,0.9830656469551166,0.9923634306342055,0.03009671198013812
R_SIM,post,logistic,HMUVAR,raw,0.13180553632117248,0.9830656469551166,0.9923634306342055,0.03668586488498078
R_SIM,post,logistic,HMUVAR,temperature,0.13590109360026795,0.9830656469551166,0.9923634306342055,0.03009671198013812
R_SIM,post,logistic,HRFF,mixture_diagnostic,0.13487568251742865,0.9826006393127968,0.9923421910946788,0.029947403719307115
R_SIM,post,logistic,HRFF,raw,0.1314457465696109,0.9826006393127968,0.9923421910946788,0.036541741515360694
R_SIM,post,logistic,HRFF,temperature,0.13487568251742865,0.9826006393127968,0.9923421910946788,0.029947403719307115
R_SIM,post,logistic,HVAR,mixture_diagnostic,0.13299285735844424,0.983523363968677,0.9923634306342055,0.02979355844311411
R_SIM,post,logistic,HVAR,raw,0.13132780832699387,0.983523363968677,0.9923634306342055,0.03633105554714237
