mode,outer_fold,window,family,calibration,effect,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,bootstrap_scope
L0,0,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,3.5089032308924357e-06,-0.0015090466714444365,0.0012089389991048448,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,0,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,1.5226584208784198e-05,-0.0015337875329025953,0.001302836202580536,12,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.0006187883800904208,-0.0020228158788567078,0.0006456042035994097,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.0004643792999244719,-0.0018567346483876835,0.000794497227881371,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,post,logistic,raw,gain_mu_var,HMU,HMUVAR,0.00046340720078315046,-0.0004650038685181836,0.001302322747554684,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.0005453854589693416,-0.0003754024673578839,0.0014351386841373016,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.0006187883800904208,-0.0020228158788567078,0.0006456042035994097,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.0004643792999244719,-0.0018567346483876835,0.000794497227881371,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.0009450755451299205,-0.0033803750533693616,0.000980314921587702,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.001090553558997273,-0.0034758523120352516,0.0008450624406104953,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.0008466670573837383,-0.0020161095977016714,0.00029037504764338544,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-0.0008774772877410825,-0.0020243020041177152,0.0002870196501178941,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.0009450755451299205,-0.0033803750533693616,0.000980314921587702,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,1,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.001090553558997273,-0.0034758523120352516,0.0008450624406104953,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.0005918428425444777,-0.0031429622444512488,0.0023846897102525965,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.0028946930779931226,-0.00849149424285103,0.0014080795871844853,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,post,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.0030909200362878235,-0.009315567078600203,0.0006908087158101124,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-0.002911770956300982,-0.008660562065016043,0.0006189899996090788,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.0005918428425444777,-0.0031429622444512488,0.0023846897102525965,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.0028946930779931226,-0.00849149424285103,0.0014080795871844853,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,0.0019680537747004886,-0.0012259286342593933,0.0064331353607490855,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.0030332977026977428,-0.0006130244973335194,0.008717290131665516,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.000130285545465042,-0.0008012597063758001,0.00048764084245309065,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,4.077257454806017e-05,-0.0004910048582824533,0.0005599379216464172,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,pre,logistic,temperature,gain_mu_var,HMU,HMUVAR,0.0019680537747004886,-0.0012259286342593933,0.0064331353607490855,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,2,pre,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,0.0030332977026977428,-0.0006130244973335194,0.008717290131665516,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.00044217821156187267,-0.0016518292899225589,0.0009155363444484687,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.00019087440712315428,-0.0015298266715189144,0.0013233805794079221,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,post,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.0008431852826144975,-0.001754597772039476,0.0001927271181130934,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-0.0005995602110313845,-0.0016443459823494127,0.0006134989641395924,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.00044217821156187267,-0.0016518292899225589,0.0009155363444484687,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.00019087440712315428,-0.0015298266715189144,0.0013233805794079221,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
L0,3,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,0.0001399367373530223,-0.0006570799171069774,0.0010233925598055191,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
