accepted_epochs_150uv,candidate_identity_groups_with_sufficient_measurements,cohort,median_retention_fraction,records_with_sufficient_trials_and_blocks,source_eligible_records,source_records,stored_epochs_before_amplitude_qc,sufficient_records_with_dob_conflict
52090,61,HA,0.793,71,75,84,71752,4
5789,9,NH,0.6763819095477387,9,9,9,8689,0
