condition,median_abs_delta_uv,median_delta_uv,n_paired_records,record_score_correlation,unit,variant,window
code1,0.2095561667159247,0.016994646584939987,77,0.9280244711355289,records_not_independent_children,hp01_avg_100,mean_50_250ms
code2,0.297446053935275,0.08340074761540517,68,0.9221978806642912,records_not_independent_children,hp01_avg_100,mean_50_250ms
code2_minus_code1,0.32673529104291144,0.027920141236841667,68,0.7800823138038957,records_not_independent_children,hp01_avg_100,mean_50_250ms
code1,0.16188883430432585,0.012887016125841644,80,0.952552700265225,records_not_independent_children,hp01_avg_200,mean_50_250ms
code2,0.1812587803265378,-0.019438260604137336,80,0.9513655771906956,records_not_independent_children,hp01_avg_200,mean_50_250ms
code2_minus_code1,0.24927280105500485,-0.028082076624465546,80,0.7768338513634564,records_not_independent_children,hp01_avg_200,mean_50_250ms
code1,1.3695119010066452,0.5713326246741105,76,0.4128987537531677,records_not_independent_children,hp01_ears_matched,mean_50_250ms
code2,2.124211995850061,0.4525705835645334,76,-0.05481644823572877,records_not_independent_children,hp01_ears_matched,mean_50_250ms
code2_minus_code1,1.3166019615779503,-0.3652988946163286,76,0.003534650511214128,records_not_independent_children,hp01_ears_matched,mean_50_250ms
code1,0.14648445426897932,-0.04668667768023571,80,0.8350920266120117,records_not_independent_children,hp05_avg_matched,mean_50_250ms
code2,0.21492706174843867,-0.029432509477183677,80,0.8960578210141915,records_not_independent_children,hp05_avg_matched,mean_50_250ms
code2_minus_code1,0.18020325672571452,0.0034564445285819034,80,0.9283645732390065,records_not_independent_children,hp05_avg_matched,mean_50_250ms
