lane,model,variable,n,spearman,p
mff_puretone,child_spatial,age,20,0.09323308270676692,0.6958288642370746
mff_puretone,child_spatial_meanfilter,age,20,-0.5924812030075187,0.005910465902184198
bdf_puretone,child_spatial,age,52,0.10296159538843029,0.4676231482860713
bdf_puretone,child_spatial,duration,52,0.028405141009150998,0.841563970734459
bdf_puretone,child_spatial,unaided,52,-0.023882263217035283,0.8665400829735451
bdf_puretone,child_spatial,unaided|age,50,-0.051236494597839126,0.7238144873817068
bdf_puretone,child_spatial,aided,42,-0.049006676668331826,0.7579300856001469
bdf_puretone,child_spatial,aided|age,40,-0.08030018761726081,0.6223268108654457
bdf_puretone,child_spatial,A,54,0.11393812988841241,0.4120131423591491
bdf_puretone,child_spatial,A|age,52,0.05933831382141129,0.6760483723179543
bdf_puretone,child_spatial,V,54,-0.012514505194155015,0.928434936815242
bdf_puretone,child_spatial,V|age,52,-0.05784294893635797,0.6837779677589476
bdf_puretone,child_spatial,CAP,54,-0.022592496912028612,0.8711828390798759
bdf_puretone,child_spatial,CAP|age,52,-0.11906337406212357,0.4005141329822665
bdf_puretone,child_spatial,SIR,54,0.016710164378409425,0.9045392329006565
bdf_puretone,child_spatial,SIR|age,52,-0.07488046475382011,0.5977865610194855
bdf_puretone,child_spatial_meanfilter,age,52,0.11521791138862916,0.4160088156135086
bdf_puretone,child_spatial_meanfilter,duration,52,0.08213070183188907,0.5627004162594774
bdf_puretone,child_spatial_meanfilter,unaided,52,0.07019420119067794,0.6209646945139967
bdf_puretone,child_spatial_meanfilter,unaided|age,50,0.04249699879951981,0.7694984047447929
bdf_puretone,child_spatial_meanfilter,aided,42,-0.15417191648395606,0.3296396444169084
bdf_puretone,child_spatial_meanfilter,aided|age,40,-0.11632270168855535,0.4747371040421213
bdf_puretone,child_spatial_meanfilter,A,54,0.17237525949832475,0.21261402458781675
bdf_puretone,child_spatial_meanfilter,A|age,52,0.12012806841255494,0.3962843377435964
bdf_puretone,child_spatial_meanfilter,V,54,0.030353504834270392,0.8275204379712371
bdf_puretone,child_spatial_meanfilter,V|age,52,-0.055452391637143175,0.6962015740278791
bdf_puretone,child_spatial_meanfilter,CAP,54,0.04374125913365125,0.7534750646142027
bdf_puretone,child_spatial_meanfilter,CAP|age,52,-0.08158125056748589,0.5653252933723876
bdf_puretone,child_spatial_meanfilter,SIR,54,0.03127592509566703,0.822362601883058
bdf_puretone,child_spatial_meanfilter,SIR|age,52,-0.09387807411268555,0.5079889267802412
mff_unknown_event,child_spatial,age,15,-0.035714285714285705,0.8994469934720875
mff_unknown_event,child_spatial_meanfilter,age,15,0.1357142857142857,0.6296204418728145
