contrast,status,gain_bits,ci_low,ci_high,positive_group_fraction,n_groups,identical_group_differences,fold_gains,bootstrap_repetitions,bootstrap_seed,scope
L0__post__lambda0.1__PC8_minus_FULL,PASS,-0.006063306806958136,-0.013757836325619985,0.0010195115974551716,0.40816326530612246,49,False,"{'0': 0.002101578654879739, '1': -0.009740693390382782, '2': 0.010039880906033, '3': -0.015407668431255373, '4': -0.014905482777650825}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.1__DUP_minus_PC8,PASS,-3.1129294153724545e-14,-6.093923551716495e-14,-1.863475360414211e-15,0.2653061224489796,49,False,"{'0': -2.0185873175002847e-17, '1': -2.2204460492503132e-17, '2': 2.4841240175987878e-15, '3': -1.528444038001453e-13, '4': -1.63202784619898e-15}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.1__REST_minus_FULL,PASS,5.3575190014714434e-05,-0.0018254084989596734,0.0021870794893492484,0.5510204081632653,49,False,"{'0': 0.0003785645357554556, '1': 0.005778750833448953, '2': -0.0015098573259017534, '3': -7.532700439843998e-05, '4': -0.004649440526588011}",2000,63017,fixed_oof_not_pipeline_refit
L0__pre__lambda0.01__PC8_minus_FULL,PASS,-0.024662280327035102,-0.03280514501478691,-0.01699346722876481,0.22448979591836735,49,False,"{'0': -0.011433295887019275, '1': -0.020288638075527676, '2': -0.01745896954947039, '3': -0.03364331384049758, '4': -0.04036942057114923}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.01__PC8_minus_FULL,PASS,-0.013793098154919586,-0.019010181273595318,-0.008320224990260142,0.2653061224489796,49,False,"{'0': -0.020694657635364135, '1': -0.00016150007671547061, '2': -0.017905353264353274, '3': -0.012455279626575898, '4': -0.01788099524543143}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.01__DUP_minus_PC8,PASS,2.704932395983183e-09,1.29691330633969e-10,5.267947355150518e-09,0.22448979591836735,49,False,"{'0': 1.204924428919376e-08, '1': 0.0, '2': 2.7755575615628914e-17, '3': 2.2204460492503132e-17, '4': -2.2204460492503132e-17}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.01__REST_minus_FULL,PASS,-0.004854739365427508,-0.011563800437394493,0.0016087568021527661,0.40816326530612246,49,False,"{'0': -0.003297285834043903, '1': -0.0055080029193067094, '2': 0.003979171942820645, '3': 0.002091162945352787, '4': -0.01992770605344909}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.001__PC8_minus_FULL,PASS,-0.017840485983479912,-0.023555537246688015,-0.011894424638504915,0.2653061224489796,49,False,"{'0': -0.02673334484332355, '1': -0.002568510530341106, '2': -0.021924126983805872, '3': -0.016592457504150136, '4': -0.021311432369859728}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.001__DUP_minus_PC8,PASS,1.586032892321652e-17,-4.588166581359062e-18,3.8517941670668696e-17,0.16326530612244897,49,False,"{'0': 5.0464682937507114e-17, '1': -1.1102230246251566e-17, '2': 4.163336342344337e-17, '3': 0.0, '4': 0.0}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.001__REST_minus_FULL,PASS,-0.005227265924975237,-0.011920256908997943,0.001241781777469543,0.40816326530612246,49,False,"{'0': -0.0037269554871674844, '1': -0.005832034437447509, '2': 0.0034656596356082287, '3': 0.0017922354319960144, '4': -0.020246680699529517}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.1__PC8_minus_FULL,PASS,-0.005123847629258859,-0.00855815882036772,-0.001431335235286435,0.30612244897959184,49,False,"{'0': -0.008485207323478834, '1': 0.003599391753122616, '2': -0.007807882600818605, '3': -0.003838430463990616, '4': -0.009287780536018808}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.1__DUP_minus_PC8,PASS,-1.1648309301242373e-10,-2.8854069361707914e-09,2.6870478844243995e-09,0.32653061224489793,49,False,"{'0': -5.252421023368728e-10, '1': -4.4408920985006264e-17, '2': 2.7755575615628914e-17, '3': 1.1102230246251566e-17, '4': 6.999167911914128e-12}",2000,63017,fixed_oof_not_pipeline_refit
R_SUP__post__lambda0.1__REST_minus_FULL,PASS,-0.0034291272317240108,-0.009816252782578503,0.002696405242679509,0.40816326530612246,49,False,"{'0': -0.001632023459785475, '1': -0.004102108393463944, '2': 0.005010708244305426, '3': 0.0030478619231385728, '4': -0.0179618177548026}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.01__PC8_minus_FULL,PASS,-0.001364662174798744,-0.005994407604003085,0.00311287917061022,0.4897959183673469,49,False,"{'0': 0.0008429067948999558, '1': 0.006569046467662598, '2': -0.0010128015338589785, '3': -0.005183363885441617, '4': -0.008189483486037596}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.01__DUP_minus_PC8,PASS,-4.5315225494904345e-18,-3.398641912117826e-17,2.4923374022197392e-17,0.16326530612244897,49,False,"{'0': 0.0, '1': 5.551115123125783e-17, '2': -1.3877787807814457e-17, '3': 0.0, '4': -6.661338147750939e-17}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.01__REST_minus_FULL,PASS,-0.001058106363105671,-0.0029018384690739116,0.0009373276683977358,0.46938775510204084,49,False,"{'0': -0.0013839609470744413, '1': 0.002449735688169352, '2': -0.00037367187882456077, '3': 1.7924483113074265e-05, '4': -0.0058310868056586805}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.001__PC8_minus_FULL,PASS,-0.0035948804219284682,-0.008761344826244953,0.0014168154643949037,0.42857142857142855,49,False,"{'0': -0.0018199035089526492, '1': 0.006179436651207193, '2': -0.004181922412649114, '3': -0.007060592383566355, '4': -0.011386326545123126}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.001__DUP_minus_PC8,PASS,-1.1328806373726087e-17,-3.8517941670668696e-17,1.586032892321652e-17,0.12244897959183673,49,False,"{'0': 0.0, '1': -6.661338147750939e-17, '2': 1.3877787807814457e-17, '3': -3.3306690738754695e-17, '4': 3.3306690738754695e-17}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.001__REST_minus_FULL,PASS,-0.0011109893576542406,-0.0029573117454712292,0.0009107967641372473,0.4489795918367347,49,False,"{'0': -0.0014784364125167502, '1': 0.0024369844451842203, '2': -0.0003430042419123036, '3': -2.7592454079194973e-05, '4': -0.005952556396312536}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.1__PC8_minus_FULL,PASS,0.002861919524128244,0.00010215002628050233,0.0055203429585250164,0.5510204081632653,49,False,"{'0': 0.004945068976067582, '1': 0.0062791558174446595, '2': 0.004142575536799004, '3': -0.000817060505875522, '4': -0.0001923259464542859}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.1__DUP_minus_PC8,PASS,-3.2932121406287773e-09,-4.992648520174785e-09,-1.6542839741486463e-09,0.12244897959183673,49,False,"{'0': -1.46697631920777e-08, '1': 1.1102230246251566e-17, '2': 1.3877787807814457e-17, '3': 1.1102230246251566e-17, '4': -1.1102230246251566e-17}",2000,63017,fixed_oof_not_pipeline_refit
R_RAND__post__lambda0.1__REST_minus_FULL,PASS,-0.0007852041450357914,-0.002474062607108372,0.0010062576262599625,0.46938775510204084,49,False,"{'0': -0.001002571498131907, '1': 0.0024145684903295384, '2': -0.0003723908626026423, '3': 0.0002973993208389869, '4': -0.005158726783816692}",2000,63017,fixed_oof_not_pipeline_refit
