contrast,status,gain_bits,ci_low,ci_high,positive_group_fraction,n_groups,identical_group_differences,fold_gains,bootstrap_repetitions,bootstrap_seed,scope
R_SIM__post__lambda0.01__PC8_minus_FULL,PASS,-0.0017497883504512467,-0.007432838341606195,0.0036190294375158935,0.40816326530612246,49,False,"{'0': 0.009256948862779975, '1': -0.0011466058915929668, '2': -0.00016268295695197332, '3': -0.006202779667213554, '4': -0.011277074741900983}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.01__DUP_minus_PC8,PASS,-1.3594567648471304e-17,-3.6252180395923476e-17,9.063045098980869e-18,0.10204081632653061,49,False,"{'0': -4.0371746350005693e-17, '1': -2.2204460492503132e-17, '2': -1.3877787807814457e-17, '3': 1.1102230246251566e-17, '4': 0.0}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.01__REST_minus_FULL,PASS,0.0005737134373716339,-0.0009093945034950331,0.002082020649012421,0.5918367346938775,49,False,"{'0': -0.0020899959581263923, '1': 0.0012318068331338527, '2': -0.0005638086363478761, '3': 0.0022573573700893413, '4': 0.0020720741029151444}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.001__PC8_minus_FULL,PASS,-0.0027345172697451512,-0.008759439725563306,0.003006960925189375,0.3673469387755102,49,False,"{'0': 0.008799648172217263, '1': -0.0019445079702996582, '2': -0.001676099751125773, '3': -0.007008178086948802, '4': -0.012785181753041153}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.001__DUP_minus_PC8,PASS,0.0,-1.8126090197961738e-17,1.586032892321652e-17,0.08163265306122448,49,False,"{'0': -2.0185873175002847e-17, '1': -1.1102230246251566e-17, '2': 2.7755575615628914e-17, '3': 1.1102230246251566e-17, '4': 0.0}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.001__REST_minus_FULL,PASS,0.0005414292022967352,-0.0009515967008533262,0.0020600675326748782,0.5918367346938775,49,False,"{'0': -0.0021901593617112565, '1': 0.0011624958166337907, '2': -0.0005968780253815392, '3': 0.0022780452332249123, '4': 0.002099139759582913}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.1__PC8_minus_FULL,PASS,0.0012323406966211503,-0.002552746101058046,0.004863334761634283,0.4897959183673469,49,False,"{'0': 0.008915274716472042, '1': 0.0015101225680852592, '2': 0.003384027084375296, '3': -0.0029073761593788384, '4': -0.0050783008508822666}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.1__DUP_minus_PC8,PASS,2.2657612747452172e-18,-1.8126090197961738e-17,2.4923374022197392e-17,0.14285714285714285,49,False,"{'0': 2.0185873175002847e-17, '1': -2.2204460492503132e-17, '2': 2.7755575615628914e-17, '3': 3.3306690738754695e-17, '4': -4.4408920985006264e-17}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__post__lambda0.1__REST_minus_FULL,PASS,0.000721894369312375,-0.0005617741772855242,0.002017880587251836,0.5918367346938775,49,False,"{'0': -0.0015055265239816253, '1': 0.0013755394233902706, '2': -0.00040044659430130136, '3': 0.002163782231306499, '4': 0.001974397206754697}",2000,63017,fixed_oof_not_pipeline_refit
R_SIM__pre__lambda0.01__PC8_minus_FULL,PASS,-0.00739759433866993,-0.010847902744351596,-0.0035815511295007375,0.32653061224489793,49,False,"{'0': -0.008903515821845887, '1': -0.0037766464090540743, '2': -0.004379414835612411, '3': -0.015456199487302081, '4': -0.0037179670906061003}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.01__PC8_minus_FULL,PASS,-0.037134205164556,-0.0504575522798063,-0.024296774690697014,0.22448979591836735,49,False,"{'0': -0.020218830410436425, '1': -0.04710556740641344, '2': -0.009937895542203284, '3': -0.05889086990384239, '4': -0.045770138110825864}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.01__DUP_minus_PC8,PASS,1.3716918757307547e-14,-1.2708258481822844e-14,4.3536942758420566e-14,0.3469387755102041,49,False,"{'0': 6.09815228616836e-14, '1': 7.771561172376095e-17, '2': 4.163336342344337e-17, '3': 1.1102230246251566e-17, '4': 1.1102230246251566e-17}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.01__REST_minus_FULL,PASS,-0.00017446648653586045,-0.002330534414848557,0.0021089198668302993,0.4897959183673469,49,False,"{'0': -0.0001438020487519933, '1': 0.0065222613857718655, '2': -0.0018095865338268874, '3': -0.00016640942426634497, '4': -0.005604886264842535}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.001__PC8_minus_FULL,PASS,-0.07902814408148821,-0.09888860995191821,-0.05936703257443313,0.08163265306122448,49,False,"{'0': -0.053510393433111286, '1': -0.0906848629297196, '2': -0.04186693613432911, '3': -0.12530353359600038, '4': -0.07889452778968659}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.001__DUP_minus_PC8,PASS,-6.93549526199511e-14,-1.394583994770143e-13,-3.817184663595227e-15,0.3469387755102041,49,False,"{'0': 4.0371746350005693e-17, '1': -1.1102230246251565e-16, '2': -2.345346139520643e-15, '3': -3.4372504842394846e-13, '4': 5.828670879282072e-15}",2000,63017,fixed_oof_not_pipeline_refit
L0__post__lambda0.001__REST_minus_FULL,PASS,-0.0007646670810373368,-0.003166272814044297,0.0016102628490971026,0.46938775510204084,49,False,"{'0': -0.0006098401555694693, '1': 0.007189957164093141, '2': -0.002542426638178427, '3': -0.0010803409698228682, '4': -0.007151719409684065}",2000,63017,fixed_oof_not_pipeline_refit
