model,status,ce_bits,J_bits,bacc,auc,brier
R_SIM__post__lambda0.01__FULL,PASS,1.0013063508144886,-0.0013063508144885994,0.5250744047619047,0.5355750750555313,0.2503960526255852
R_SIM__post__lambda0.01__PC8,PASS,0.9995565624640375,0.0004434375359625431,0.5155187074829931,0.5161836724751545,0.2498462223791656
R_SIM__post__lambda0.01__REST,PASS,1.0018800642518606,-0.0018800642518606026,0.5210671768707482,0.5304854228309085,0.25060962456158875
R_SIM__post__lambda0.01__PC8_DUP,PASS,0.9995565624640376,0.00044343753596243207,0.5155187074829931,0.5161836724751545,0.2498462223791656
R_SIM__post__lambda0.001__FULL,PASS,1.0023142407209895,-0.0023142407209895133,0.5248937074829932,0.5354805560617093,0.2507252154053873
R_SIM__post__lambda0.001__PC8,PASS,0.9995797234512442,0.00042027654875576026,0.5152210884353741,0.5161520653648358,0.2498542088494309
R_SIM__post__lambda0.001__REST,PASS,1.002855669923286,-0.0028556699232860083,0.5235650510204082,0.5304935728277271,0.2509308080819025
R_SIM__post__lambda0.001__PC8_DUP,PASS,0.9995797234512442,0.00042027654875576026,0.5152210884353741,0.5161520653648358,0.2498542088494309
R_SIM__post__lambda0.1__FULL,PASS,0.9981684285520153,0.0018315714479847367,0.5268494897959184,0.5349298627561131,0.24935802313913083
R_SIM__post__lambda0.1__PC8,PASS,0.9994007692486364,0.0005992307513635886,0.5135204081632652,0.5164020005589389,0.24979244309602655
R_SIM__post__lambda0.1__REST,PASS,0.9988903229213277,0.0011096770786722665,0.5165497448979591,0.5290436497994171,0.2496118424695833
R_SIM__post__lambda0.1__PC8_DUP,PASS,0.9994007692486366,0.0005992307513633666,0.5135204081632652,0.5164020005589389,0.24979244309602655
R_SIM__pre__lambda0.01__FULL,PASS,1.0084435830597362,-0.008443583059736248,0.5080888605442178,0.5044371449685311,0.2528645072205872
R_SIM__pre__lambda0.01__PC8,PASS,1.001045988721066,-0.0010459887210660934,0.5062818877551021,0.5086941521400229,0.2503596193474921
L0__post__lambda0.01__FULL,PASS,1.0372768605222689,-0.03727686052226886,0.5137861394557823,0.5237744495385314,0.2610874398918256
