run,chain,status,checked,matched,mismatched,unresolved,notes
S0_001,,LIMITED,1949,1947,2,0,saved source snapshot hashes; legacy input hash chain
A2_core_001,,PASS,182,182,0,0,saved source snapshot hashes; declared input hashes
G0_001,,PASS,132,132,0,0,saved source snapshot hashes; legacy additional input hashes
G0_metadata_002,,PASS,146,146,0,0,saved source snapshot hashes; declared input hashes
G0_readouts_001,,PASS,101,101,0,0,saved source snapshot hashes; declared input hashes
C2R_core_001,,PASS,172,172,0,0,saved source snapshot hashes; declared input hashes
C2S_core_001,,PASS,347,347,0,0,saved source snapshot hashes; declared input hashes
