seed,stratum,child,n,n_dev,dev_rate,auc
11,after_standard_run1,0,110,14,0.12727272727272726,0.48958333333333337
11,after_standard_run1,14,98,18,0.1836734693877551,0.42499999999999993
11,after_standard_run1,15,127,29,0.2283464566929134,0.6052076002814919
11,after_standard_run1,23,125,20,0.16,0.3852380952380952
11,after_standard_run1,29,105,21,0.2,0.5198412698412698
11,after_standard_run1,32,104,16,0.15384615384615385,0.47443181818181823
11,after_standard_run2,0,92,12,0.13043478260869565,0.5510416666666667
11,after_standard_run2,14,74,10,0.13513513513513514,0.4671875
11,after_standard_run2,15,97,22,0.2268041237113402,0.48848484848484847
11,after_standard_run2,23,107,18,0.16822429906542055,0.48252184769038703
11,after_standard_run2,29,81,11,0.13580246913580246,0.5038961038961038
11,after_standard_run2,32,86,13,0.1511627906976744,0.6195995785036882
11,after_standard_run3,0,81,13,0.16049382716049382,0.4547511312217195
11,after_standard_run3,14,66,10,0.15151515151515152,0.4964285714285714
11,after_standard_run3,23,88,18,0.20454545454545456,0.6031746031746033
11,after_standard_run3,32,75,14,0.18666666666666668,0.36885245901639346
11,after_standard_run4plus,0,415,62,0.1493975903614458,0.4821118523256876
11,after_standard_run4plus,1,191,27,0.14136125654450263,0.3101851851851851
11,after_standard_run4plus,14,397,58,0.14609571788413098,0.48535245651510533
11,after_standard_run4plus,15,498,64,0.1285140562248996,0.4879392281105991
11,after_standard_run4plus,23,480,70,0.14583333333333334,0.523815331010453
11,after_standard_run4plus,29,457,67,0.14660831509846828,0.4498660543436663
11,after_standard_run4plus,32,393,60,0.15267175572519084,0.4909659659659659
11,after_standard_run4plus,34,234,36,0.15384615384615385,0.4892676767676768
11,after_deviant,0,126,18,0.14285714285714285,0.43827160493827155
11,after_deviant,14,111,16,0.14414414414414414,0.41184210526315784
11,after_deviant,15,139,17,0.1223021582733813,0.5728061716489874
11,after_deviant,23,140,18,0.12857142857142856,0.6352459016393442
11,after_deviant,29,129,21,0.16279069767441862,0.32495590828924165
11,after_deviant,32,116,16,0.13793103448275862,0.410625
11,after_deviant,34,58,10,0.1724137931034483,0.6770833333333333
11,all,0,827,120,0.14510278113663846,0.47939061763319185
11,all,1,321,39,0.12149532710280374,0.33874340789234403
11,all,14,748,112,0.1497326203208556,0.46591419586702604
11,all,15,940,141,0.15,0.5239217461543242
11,all,23,958,145,0.151356993736952,0.5186283242142766
11,all,29,860,130,0.1511627906976744,0.447118018967334
11,all,32,781,120,0.15364916773367476,0.4844427634896621
11,all,34,416,60,0.14423076923076922,0.5502340823970037
11,after_standard_run1,2,117,23,0.19658119658119658,0.3489824236817761
11,after_standard_run1,6,221,35,0.1583710407239819,0.6048387096774194
11,after_standard_run1,7,119,18,0.15126050420168066,0.44224422442244227
11,after_standard_run1,17,104,20,0.19230769230769232,0.5907738095238095
11,after_standard_run1,19,110,17,0.15454545454545454,0.5180265654648957
11,after_standard_run1,21,116,15,0.12931034482758622,0.5095709570957097
11,after_standard_run2,2,94,14,0.14893617021276595,0.3691964285714286
11,after_standard_run2,6,188,30,0.1595744680851064,0.4565400843881856
11,after_standard_run2,21,103,14,0.13592233009708737,0.6328250401284109
11,after_standard_run3,2,79,11,0.13924050632911392,0.3335561497326203
11,after_standard_run3,6,159,19,0.11949685534591195,0.5588345864661655
11,after_standard_run3,7,89,14,0.15730337078651685,0.599047619047619
11,after_standard_run3,19,88,18,0.20454545454545456,0.4198412698412698
11,after_standard_run3,21,90,10,0.1111111111111111,0.6612499999999999
11,after_standard_run4plus,2,526,68,0.12927756653992395,0.6039044438736193
11,after_standard_run4plus,6,863,133,0.1541135573580533,0.5283808837161397
11,after_standard_run4plus,7,458,75,0.16375545851528384,0.49592689295039166
11,after_standard_run4plus,17,434,63,0.14516129032258066,0.6360758139733881
11,after_standard_run4plus,19,421,67,0.15914489311163896,0.5274475082216038
11,after_standard_run4plus,21,482,79,0.16390041493775934,0.5549517856581964
11,after_deviant,2,144,28,0.19444444444444445,0.4067118226600985
11,after_deviant,6,263,40,0.1520912547528517,0.4572309417040359
11,after_deviant,7,134,16,0.11940298507462686,0.4952330508474576
11,after_deviant,17,127,20,0.15748031496062992,0.5929906542056075
11,after_deviant,19,126,21,0.16666666666666666,0.4766439909297052
11,after_deviant,21,144,22,0.1527777777777778,0.3729508196721312
11,all,2,965,145,0.15025906735751296,0.48232127838519767
11,all,6,1717,259,0.15084449621432733,0.5222457907643092
11,all,7,901,132,0.146503884572697,0.5079402608661386
11,all,17,828,119,0.14371980676328502,0.6095400078225931
11,all,19,855,131,0.15321637426900586,0.5015920880603939
11,all,21,936,141,0.15064102564102563,0.5334626878986574
11,all,33,97,23,0.23711340206185566,0.4480023501762632
11,after_standard_run1,5,126,17,0.1349206349206349,0.6508364813815435
11,after_standard_run1,12,92,16,0.17391304347826086,0.5978618421052632
11,after_standard_run1,26,76,14,0.18421052631578946,0.5789170506912442
11,after_standard_run1,27,102,20,0.19607843137254902,0.474390243902439
11,after_standard_run1,30,60,13,0.21666666666666667,0.3477905073649754
11,after_standard_run1,31,107,16,0.14953271028037382,0.31387362637362637
11,after_standard_run1,35,101,12,0.1188118811881188,0.50187265917603
11,after_standard_run2,5,110,19,0.17272727272727273,0.429438982070561
11,after_standard_run2,26,70,11,0.15714285714285714,0.7033898305084746
11,after_standard_run2,31,88,12,0.13636363636363635,0.4232456140350877
11,after_standard_run2,35,95,20,0.21052631578947367,0.4916666666666667
11,after_standard_run3,5,91,17,0.18681318681318682,0.411764705882353
11,after_standard_run3,12,77,13,0.16883116883116883,0.420673076923077
11,after_standard_run3,26,64,11,0.171875,0.6963979416809605
11,after_standard_run3,27,67,10,0.14925373134328357,0.4894736842105263
11,after_standard_run3,31,85,20,0.23529411764705882,0.5280769230769231
11,after_standard_run4plus,5,489,76,0.1554192229038855,0.5365585574104753
11,after_standard_run4plus,12,387,62,0.16020671834625322,0.48178660049627786
11,after_standard_run4plus,26,355,52,0.14647887323943662,0.4827367352119827
11,after_standard_run4plus,27,398,64,0.16080402010050251,0.5325832709580838
11,after_standard_run4plus,30,275,37,0.13454545454545455,0.5085169202816262
11,after_standard_run4plus,31,398,57,0.14321608040201006,0.43589545711786803
