model,seed,partition,train_block,child,n_records,n,n_class1,auc,auc_pitch_direction,bacc,ce_bal_bits,j_bits
child_spatial,11,odd_even_blocks,0,0,2,358,52,0.5544594530967731,0.5774038461538462,0.35022652785810676,1.5694385766983032,0.015523924022852853
child_spatial,11,odd_even_blocks,0,1,2,358,50,0.46341800603708067,0.44093023255813957,0.3043440105309347,1.605242371559143,-0.02027987083798699
child_spatial,11,odd_even_blocks,0,2,7,1078,152,0.48922953548973663,0.5256272949816402,0.34377174041578806,1.5934715270996094,-0.0085090263784533
child_spatial,11,odd_even_blocks,0,3,3,891,111,0.5073429728450464,0.45014762661821484,0.34838679307843673,1.6164768934249878,-0.03151439270383172
child_spatial,11,odd_even_blocks,0,4,2,598,79,0.48557900813713245,0.429339344546558,0.308375601296278,1.6081207990646362,-0.023158298343480155
child_spatial,11,odd_even_blocks,0,5,3,938,127,0.5081078020277437,0.4907550618672666,0.33969566840625615,1.5980545282363892,-0.013092027515233085
child_spatial,11,odd_even_blocks,0,7,3,895,97,0.5127981584594526,0.5396473648713749,0.3485823609372649,1.590230941772461,-0.005268441051304862
child_spatial,11,odd_even_blocks,0,8,3,879,110,0.5057403852362956,0.4970263381478335,0.3280605701251154,1.6045480966567993,-0.01958559593564324
child_spatial,11,odd_even_blocks,0,9,3,934,106,0.48053241949665654,0.48025204167840047,0.31179876269784784,1.6113358736038208,-0.026373372882664725
child_spatial,11,odd_even_blocks,0,10,4,998,133,0.510228039548247,0.5212377959824935,0.3361726794885001,1.5919181108474731,-0.006955610126317069
child_spatial,11,odd_even_blocks,0,11,4,1251,157,0.4973151152373643,0.5548649242257853,0.33949875451218836,1.6030664443969727,-0.01810394367581658
child_spatial,11,odd_even_blocks,0,12,6,1348,154,0.5053218586363387,0.488903743315508,0.35147043902788383,1.5914726257324219,-0.006510125011265799
child_spatial,11,odd_even_blocks,0,13,5,1600,203,0.48038515745035154,0.45417994784120547,0.30081756763558487,1.6207767724990845,-0.0358142717779284
child_spatial,11,odd_even_blocks,0,14,5,1605,213,0.5378778120824844,0.5518291265746293,0.3710026417483741,1.58275306224823,0.002209438472926095
child_spatial_meanfilter,11,odd_even_blocks,0,0,2,358,52,0.5059841370770366,0.5903846153846154,0.346631000578369,1.5838006734848022,0.0011618272363538296
child_spatial_meanfilter,11,odd_even_blocks,0,1,2,358,50,0.5164556692618661,0.4809302325581395,0.3475968992248062,1.5864931344985962,-0.0015306337774401158
child_spatial_meanfilter,11,odd_even_blocks,0,2,7,1078,152,0.5101448903783875,0.5407231742146063,0.3371214021504892,1.585161805152893,-0.00019930443173699075
child_spatial_meanfilter,11,odd_even_blocks,0,3,3,891,111,0.48007767940418716,0.4063138769021122,0.307428495379016,1.5907071828842163,-0.005744682163060233
child_spatial_meanfilter,11,odd_even_blocks,0,4,2,598,79,0.46467475060431673,0.4087046991503381,0.26103561239493916,1.599775791168213,-0.014813290447056815
child_spatial_meanfilter,11,odd_even_blocks,0,5,3,938,127,0.46899614789345767,0.44857283464566927,0.30784805332809795,1.592190146446228,-0.007227645725071952
child_spatial_meanfilter,11,odd_even_blocks,0,7,3,895,97,0.4946754309588917,0.48472877926582525,0.31203076344321556,1.5861393213272095,-0.001176820606053397
child_spatial_meanfilter,11,odd_even_blocks,0,8,3,879,110,0.532964251415629,0.45662701784197113,0.31692039689893825,1.585331916809082,-0.0003694160879259556
child_spatial_meanfilter,11,odd_even_blocks,0,9,3,934,106,0.48247352739001,0.46754435370318226,0.2777922956583512,1.5884809494018555,-0.003518448680699393
child_spatial_meanfilter,11,odd_even_blocks,0,10,4,998,133,0.5160710749108911,0.502412748288632,0.3388909519853905,1.584604263305664,0.00035823741549201316
child_spatial_meanfilter,11,odd_even_blocks,0,11,4,1251,157,0.4925988642445196,0.5228201186031189,0.3422065265582561,1.5910862684249878,-0.006123767703831717
child_spatial_meanfilter,11,odd_even_blocks,0,12,6,1348,154,0.5044095159449876,0.5090909090909091,0.32002577309332825,1.5852659940719604,-0.00030349335080437356
child_spatial_meanfilter,11,odd_even_blocks,0,13,5,1600,203,0.4923120517876594,0.5205254515599343,0.35557596259688756,1.5866857767105103,-0.0017232759893541783
child_spatial_meanfilter,11,odd_even_blocks,0,14,5,1605,213,0.5001606248404936,0.5127945893180867,0.3266165425869134,1.5863865613937378,-0.0014240606725817173
child_spatial,11,odd_even_blocks,1,0,2,380,42,0.5095889097764346,0.4756613756613756,0.32276215757444426,1.6154292821884155,-0.03046678146725945
child_spatial,11,odd_even_blocks,1,1,2,377,45,0.49534410124678496,0.4333333333333333,0.3377314814814815,1.608385443687439,-0.02342294296628289
child_spatial,11,odd_even_blocks,1,2,8,1133,137,0.5283128319642949,0.4868967964314679,0.3744186190405478,1.5853327512741089,-0.00037025055295281106
child_spatial,11,odd_even_blocks,1,3,3,913,103,0.4919219818144764,0.46757281553398067,0.3195241537334939,1.5973869562149048,-0.01242445549374871
child_spatial,11,odd_even_blocks,1,4,2,631,75,0.4912373025054699,0.5101904761904762,0.32527924750146975,1.6050405502319336,-0.020078049510777518
child_spatial,11,odd_even_blocks,1,5,3,984,122,0.4962062575219073,0.4641393442622951,0.3234538920393611,1.6028224229812622,-0.01785992226010613
child_spatial,11,odd_even_blocks,1,7,3,898,116,0.49852897635073834,0.5355511346890658,0.32911072257714724,1.595755696296692,-0.010793195575535819
child_spatial,11,odd_even_blocks,1,8,3,884,112,0.48833141957191534,0.5085599606815203,0.31607528332433893,1.6009591817855835,-0.01599668106442742
child_spatial,11,odd_even_blocks,1,9,3,967,137,0.48406730218483274,0.5024564851207187,0.31252471630706535,1.599812626838684,-0.014850126117528006
child_spatial,11,odd_even_blocks,1,10,4,993,116,0.5347000394031142,0.5294642857142856,0.35008109920616354,1.5821062326431274,0.0028562680780286342
child_spatial,11,odd_even_blocks,1,11,4,1286,166,0.5034170802716222,0.5210282122277932,0.33405344641020446,1.607583999633789,-0.022621498912632987
child_spatial,11,odd_even_blocks,1,12,6,1352,158,0.5143763488956651,0.5486342438374417,0.33749103076921716,1.587302565574646,-0.0023400648534899204
child_spatial,11,odd_even_blocks,1,13,5,1655,209,0.48898331236537457,0.45635039302802466,0.32905852779173045,1.6132043600082397,-0.02824185928708367
child_spatial,11,odd_even_blocks,1,14,5,1638,181,0.512397341624213,0.5137982030247223,0.3223536375845277,1.5934642553329468,-0.008501754611790702
child_spatial_meanfilter,11,odd_even_blocks,1,0,2,380,42,0.48168724737827057,0.4595238095238095,0.32886577459956295,1.5967793464660645,-0.011816845744908377
child_spatial_meanfilter,11,odd_even_blocks,1,1,2,377,45,0.5506754626348169,0.5636363636363636,0.38501683501683504,1.5814851522445679,0.0034773484765882046
child_spatial_meanfilter,11,odd_even_blocks,1,2,8,1133,137,0.5293279881980962,0.5237226277372263,0.34796780820092216,1.583837866783142,0.0011246339380139858
child_spatial_meanfilter,11,odd_even_blocks,1,3,3,913,103,0.5258234622691761,0.5092038834951456,0.3549446531075047,1.5831362009048462,0.0018262998163098842
child_spatial_meanfilter,11,odd_even_blocks,1,4,2,631,75,0.5015087679443497,0.4778095238095238,0.3581971389378797,1.5900157690048218,-0.005053268283665702
child_spatial_meanfilter,11,odd_even_blocks,1,5,3,984,122,0.5025349571520809,0.49451348492860925,0.3354462277215757,1.5886777639389038,-0.003715263217747733
child_spatial_meanfilter,11,odd_even_blocks,1,7,3,898,116,0.5434062347539245,0.5908856469201297,0.3644656882406429,1.5788480043411255,0.006114496380030587
child_spatial_meanfilter,11,odd_even_blocks,1,8,3,884,112,0.5008113102340609,0.5573804062909568,0.33925285004615824,1.5850930213928223,-0.00013052067166618997
child_spatial_meanfilter,11,odd_even_blocks,1,9,3,967,137,0.48630037946940247,0.48526108927568773,0.32761094431631926,1.587956428527832,-0.0029939278066759556
child_spatial_meanfilter,11,odd_even_blocks,1,10,4,993,116,0.5144179608345075,0.5204741379310345,0.31599993761599526,1.584848403930664,0.00011409679049201316
child_spatial_meanfilter,11,odd_even_blocks,1,11,4,1286,166,0.49415037181090743,0.5380154157000674,0.325822399176431,1.5871845483779907,-0.002222047656834647
child_spatial_meanfilter,11,odd_even_blocks,1,12,6,1352,158,0.5052658756604399,0.5092604930046636,0.3368688249445036,1.5855900049209595,-0.000627504199803397
child_spatial_meanfilter,11,odd_even_blocks,1,13,5,1655,209,0.4937022137922628,0.4696898496240602,0.31786600624086625,1.591041922569275,-0.006079421848118827
child_spatial_meanfilter,11,odd_even_blocks,1,14,5,1638,181,0.5207377248017376,0.5168815224063843,0.33658715713665927,1.584774374961853,0.0001881257593030483
