representation,probability_mode,family,model,intervention,ce_increase_bits,perturbed_ce_bits,ci_lower,ci_upper,n_candidates,n_bootstrap,OOD_diagnostic,seed
R_SIM,calibrated,linear,C_LL,opposite_class_first,0.0015906989801707369,1.0005339671176539,0.0003909802133897468,0.002780129276770161,60,2000,True,20260917
R_SIM,calibrated,linear,C_LL,opposite_class_second,0.001590698980170735,1.0005339671176539,0.00039098021338974487,0.002780129276770161,60,2000,True,20260917
R_SIM,calibrated,linear,C_LL,same_class_first,-0.00039876590671006167,0.9985445022307731,-0.0008216480024133623,8.82838690744426e-06,60,2000,True,20260917
R_SIM,calibrated,linear,C_LL,same_class_second,-0.00039876590671006904,0.9985445022307731,-0.0008216480024133663,8.828386907444028e-06,60,2000,True,20260917
R_SIM,calibrated,linear,C_LL,zero_first,0.00019453076052114253,0.9991377988980044,-0.0004159737288016675,0.000790019252232559,60,2000,True,20260917
R_SIM,calibrated,linear,C_LL,zero_second,0.00019453076052114253,0.9991377988980044,-0.0004159737288016675,0.000790019252232559,60,2000,True,20260917
R_SIM,calibrated,linear,C_LR,opposite_class_first,0.0032415920429974226,1.0022504946181452,0.001294381900760236,0.005106436952631147,60,2000,True,20260917
R_SIM,calibrated,linear,C_LR,opposite_class_second,0.0020438574166980897,1.001052759991846,0.00042683079078004155,0.0035282491400845674,60,2000,True,20260917
R_SIM,calibrated,linear,C_LR,same_class_first,0.00013052188495314235,0.999139424460101,-0.0005733540145754876,0.0008033544904137917,60,2000,True,20260917
R_SIM,calibrated,linear,C_LR,same_class_second,-0.0005286923544412088,0.9984802102207065,-0.0010976111436231282,2.6392556479570273e-05,60,2000,True,20260917
R_SIM,calibrated,linear,C_LR,zero_first,0.0007135564858959535,0.9997224590610437,-0.00023271189730694457,0.001644588968188832,60,2000,True,20260917
R_SIM,calibrated,linear,C_LR,zero_second,1.9776949379690655e-05,0.9990286795245275,-0.0007663773761361439,0.0007375392432132304,60,2000,True,20260917
R_SIM,calibrated,linear,C_RR,opposite_class_first,0.0010754931427038447,1.0007128751986984,4.067259137523779e-05,0.0020271690777235733,60,2000,True,20260917
R_SIM,calibrated,linear,C_RR,opposite_class_second,0.001075493142703841,1.0007128751986984,4.0672591375237604e-05,0.002027169077723566,60,2000,True,20260917
R_SIM,calibrated,linear,C_RR,same_class_first,-0.0007878371971275703,0.9988495448588669,-0.0011365622903566045,-0.0004406645077135525,60,2000,True,20260917
R_SIM,calibrated,linear,C_RR,same_class_second,-0.0007878371971275648,0.9988495448588669,-0.001136562290356597,-0.0004406645077135507,60,2000,True,20260917
R_SIM,calibrated,linear,C_RR,zero_first,-0.0001441757456600005,0.9994932063103347,-0.0006373537570473586,0.0003203314133180315,60,2000,True,20260917
R_SIM,calibrated,linear,C_RR,zero_second,-0.0001441757456600005,0.9994932063103347,-0.0006373537570473586,0.0003203314133180315,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LL,opposite_class_first,0.0018355852096272256,1.0006536511274498,0.0005628408503619979,0.003046263494819149,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LL,opposite_class_second,0.0018360781048105605,1.000654144022633,0.000563273373380972,0.0030470207968509174,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LL,same_class_first,-0.000459901962408286,0.9983581639554143,-0.0009134301082319986,-2.3510228534024624e-05,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LL,same_class_second,-0.0004599719548515809,0.9983580939629709,-0.0009133346539751056,-2.336411883786051e-05,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LL,zero_first,0.00016014612100868444,0.9989782120388314,-0.00039569303020173333,0.0006909956600310978,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LL,zero_second,0.0001602803636680102,0.9989783462814908,-0.00039554528301748523,0.0006910775939574928,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LR,opposite_class_first,0.0032606764791471604,1.0024079055163624,0.0012409687288409603,0.0051822308459206655,60,2000,True,20260917
R_SIM,calibrated,mlp32,C_LR,opposite_class_second,0.0020493670267939744,1.0011965960640092,0.0003703271249450262,0.0035981444197563796,60,2000,True,20260917
