representation,probability_mode,family,statistic,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,seed,units,uncertainty
R_SIM,calibrated,linear,CE_C_L,0.9988480781747343,0.997669447872081,1.0000328536479568,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,CE_C_LL,0.9989432681374831,0.9977818850595467,1.00015167539036,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,CE_C_LR,0.9990089025751477,0.9976195875025423,1.0004487955656018,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,CE_C_R,0.9996947069767146,0.998756235829676,1.0007006291170266,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,CE_C_RR,0.9996373820559945,0.9987181082213953,1.0006154631839792,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,G_R_given_L,-0.0001608244004134285,-0.0008148027360902366,0.00046739585598823386,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,G_L_given_R,0.0006858044015668474,-0.00014265850403387127,0.0015074776744882887,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,T_C,-0.0001608244004134285,-0.0008148027360902366,0.0004187046512824199,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,J_joint,0.0009910974248522608,-0.0004487955656017506,0.0023804124974577206,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,linear,duplicate_margin,-6.563443766460786e-05,-0.000738696543123915,0.0005058598410071446,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,CE_C_L,0.9988133729585262,0.9974949833576922,1.0001338499214496,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,CE_C_LL,0.9988180659178226,0.9976078532596947,1.0000572194899557,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,CE_C_LR,0.9991472290372152,0.997666930858684,1.000639723408614,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,CE_C_R,0.9999988688628115,0.9988579916279794,1.0012242645613978,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,CE_C_RR,0.9996845845709126,0.9986290866617114,1.0007892317478444,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,CE_C_L64,0.99880633148088,0.9974635743412315,1.000154448318385,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,CE_C_R64,1.000004369986242,0.9988689325428969,1.0012206478768235,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,G_R_given_L,-0.0003338560786889655,-0.0010466867636584499,0.00033785556271821997,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,G_L_given_R,0.0008516398255963287,-3.6310881964990437e-05,0.0016885799796268724,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,T_C,-0.0003338560786889655,-0.0010466867636584499,0.0003009497742223116,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,J_joint,0.000852770962784799,-0.0006397234086140124,0.002333069141316034,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,duplicate_margin,-0.0003291631193925726,-0.0010247696600563822,0.0002929831616585957,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,expanded_margin,-0.0003408975563351513,-0.001050940668084674,0.0002903328394023102,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,calibrated,mlp32,capacity_margin,-0.0003408975563351513,-0.0010846966184331758,0.00022714837184361828,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,CE_C_L,0.9987406087996396,0.9974723934904617,0.9999775761558914,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,CE_C_LL,0.9989385477165692,0.9974683280978142,1.0004553429931677,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,CE_C_LR,0.9989670448410427,0.9972688043425298,1.0006825586111294,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,CE_C_R,0.9995675414597608,0.9985506402999836,1.0006103762287852,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,CE_C_RR,1.0000995545590707,0.9989830133397855,1.0013285976045023,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,G_R_given_L,-0.0002264360414031552,-0.001090115463167593,0.0005911646663223385,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,G_L_given_R,0.0006004966187180827,-0.00044854575765712336,0.0016695807672524234,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,T_C,-0.0002264360414031552,-0.001090115463167593,0.0005566903748362681,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,J_joint,0.0010329551589572938,-0.0006825586111294136,0.002731195657470197,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,linear,duplicate_margin,-2.8497124473503277e-05,-0.0009435971954505934,0.0008380229177609999,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,CE_C_L,0.998885108148995,0.9977759865434025,0.999985099754699,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,CE_C_LL,0.9988880249869516,0.9973724368761321,1.000419128738012,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,CE_C_LR,0.9995090278156424,0.9974984062735327,1.001513843898147,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
R_SIM,raw,mlp32,CE_C_R,0.9995976222014196,0.9986513406128732,1.0005877128671874,60,2000,20260917,bits/trial,fixed OOF identity-group bootstrap; no workflow refits
