run,job_id,command,status,scheduler_state,cpus,gpus,accounted_seconds,reservation_upper_bound,cpu_core_hours,gpu_hours
N2R_001,997632,run-bags,N2R_RECORDED,UNKNOWN_RETAIN_RESERVATION,2,0,3600,True,2.0,0.0
P0_001,997622,run-pca,P0_RECORDED,UNKNOWN_RETAIN_RESERVATION,2,0,3600,True,2.0,0.0
R3_001,997666,evaluate-representations,R3_RECORDED,COMPLETED,2,0,54,False,0.03,0.0
R3_final_001_task000,997663,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,56,False,0.06222222222222222,0.015555555555555555
R3_final_001_task001,997664,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,25,False,0.027777777777777776,0.006944444444444444
R3_final_001_task002,997665,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,26,False,0.028888888888888888,0.007222222222222222
R3_final_001_task003,997667,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,25,False,0.027777777777777776,0.006944444444444444
R3_final_001_task004,997668,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,22,False,0.024444444444444446,0.006111111111111111
R3_final_001_task005,997669,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,27,False,0.03,0.0075
R3_final_001_task006,997670,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,30,False,0.03333333333333333,0.008333333333333333
R3_final_001_task007,997671,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,32,False,0.035555555555555556,0.008888888888888889
R3_final_001_task008,997672,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,28,False,0.03111111111111111,0.0077777777777777776
R3_final_001_task009,997673,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,29,False,0.03222222222222222,0.008055555555555555
R3_final_001_task010,997674,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,34,False,0.03777777777777778,0.009444444444444445
R3_final_001_task011,997675,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,35,False,0.03888888888888889,0.009722222222222222
R3_final_001_task012,997676,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,36,False,0.04,0.01
R3_final_001_task013,997677,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,34,False,0.03777777777777778,0.009444444444444445
R3_final_001_task014,997662,train-representation,ENCODER_COMPLETE,COMPLETED,4,1,35,False,0.03888888888888889,0.009722222222222222
R3_probe_selection_001,997656,select-probes,COMPLETED_WITH_NUMERICAL_FAILURES,UNKNOWN_RETAIN_RESERVATION,2,0,1800,True,1.0,0.0
R3_probe_selection_002,997661,repair-selection,PROBES_SELECTED,COMPLETED,2,0,19,False,0.010555555555555556,0.0
R3_selection_001_task000,997644,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task001,997645,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task002,997646,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task003,997647,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task004,997648,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task005,997649,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task006,997650,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task007,997651,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task008,997652,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task009,997653,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task010,997654,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task011,997655,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task012,997657,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
R3_selection_001_task013,997658,train-representation,ENCODER_COMPLETE,UNKNOWN_RETAIN_RESERVATION,4,1,1800,True,2.0,0.5
