child,n,balanced_brier,calibration_slope,calibration_intercept,auc
0,686,0.24984516593407466,0.598234735434485,-1.66094566349237,0.511758065285485
1,956,0.2477955649786473,1.4031746702053416,-1.7169579966035406,0.5576299469288399
2,960,0.251000229900251,0.09608549316767277,-1.732320512317017,0.5078635620915032
3,473,0.25209710760449927,-0.9243433950857908,-1.7195078031143813,0.4693083876392684
4,960,0.24900053934163924,0.914286689495477,-1.7165691688834719,0.5414131584514492
5,757,0.25114043206282766,0.24254329108343126,-1.7161153234146773,0.5270824867939862
6,865,0.25316067616824495,-0.6251467805991897,-1.7541316557362958,0.4749724400440959
7,977,0.2506742051238326,0.2858893825120181,-1.7049024046402177,0.5240266021765417
8,882,0.24869150717788696,1.2327247240704473,-1.7703020375050242,0.5474266047869845
9,865,0.24912461072868658,0.8237449973498353,-1.7060563873698837,0.5466127254196393
10,931,0.2510224125567927,-0.05030915316686675,-1.699711521244419,0.5036442891430185
11,660,0.25396677441263193,-0.2875737740179614,-1.6055077999142189,0.5023869264859229
12,1435,0.25240869495907375,-0.26042355735273814,-1.7740203800855068,0.485901558731472
13,913,0.250201060107322,0.42144251360232304,-1.7018330669163024,0.5202814492591973
14,869,0.25284739493303393,-0.3330483251468892,-1.7596264983517216,0.4834538026398491
15,964,0.24919033530546625,0.8467957425398062,-1.7589486102564758,0.5254530826558266
16,96,0.2544444634051829,-1.0031692668185979,-1.7606073346058677,0.5148083623693379
17,330,0.24887294223437925,0.6891931177089751,-1.7154355133723305,0.5488571428571429
18,908,0.2507552230750132,0.2612190240133764,-1.7401124628124114,0.5134915041145991
19,127,0.25165997397955603,0.14672467060680527,-1.5125282510655673,0.4983277591973244
20,939,0.2504693875442148,0.3925669344339836,-1.7187475623274362,0.522689075630252
21,800,0.2529131932470359,-0.6163840951725479,-1.7484576783928494,0.46291053921568626
22,925,0.2491080260186097,0.8790413889231976,-1.7378967493489876,0.5492991873555506
23,352,0.2543141769835924,-0.5318656736702068,-1.7123823672449399,0.4679054054054054
24,96,0.24976142705007304,0.6072859501053396,-1.5896168379467872,0.5421874999999999
25,279,0.25903025978899985,-1.2912880619739528,-1.6679781285293027,0.41183056540399327
26,868,0.2488666150480865,1.257574590192355,-1.7055315215669256,0.5352820827579152
