model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,11,0,0,1,827,120,0.4923444130127299,0.493452380952381,1.0170568227767944,-0.017056822776794434
shared,11,0,1,1,321,39,0.7935533733406074,0.5185488270594654,0.9979534149169922,0.0020465850830078125
shared,11,0,14,1,748,112,0.4164139712488769,0.44305929919137466,1.0492439270019531,-0.049243927001953125
shared,11,0,15,1,940,141,0.5435340274634073,0.5221109720483939,0.9977296590805054,0.002270340919494629
shared,11,0,23,1,958,145,0.5414895873096662,0.5303855452347627,0.9989559054374695,0.0010440945625305176
shared,11,0,29,1,860,130,0.4732349841938883,0.4790305584826133,1.0272881984710693,-0.027288198471069336
shared,11,0,32,1,781,120,0.5201903681290974,0.5367498739283914,1.0132114887237549,-0.013211488723754883
shared,11,0,34,1,416,60,0.5199906367041198,0.5245318352059924,1.0090194940567017,-0.00901949405670166
shared,11,1,2,1,965,145,0.48855340622371746,0.48793103448275865,1.0166915655136108,-0.01669156551361084
shared,11,1,6,2,1717,259,0.5308483086260865,0.5154334228408303,1.005391240119934,-0.005391240119934082
shared,11,1,7,1,901,132,0.5195206289159475,0.4870158017102101,1.0034427642822266,-0.0034427642822265625
shared,11,1,17,1,828,119,0.6013499899254483,0.5424434936174751,0.9760826826095581,0.023917317390441895
shared,11,1,19,1,855,131,0.6612859010585803,0.5418792965290372,0.9736882448196411,0.026311755180358887
shared,11,1,21,1,936,141,0.5391007627458853,0.5416031045095677,0.9985710978507996,0.0014289021492004395
shared,11,1,33,1,97,23,0.4732667450058754,0.5475910693301997,1.01215660572052,-0.01215660572052002
shared,11,2,5,1,963,147,0.5369105975723623,0.5419042617046819,0.998318076133728,0.0016819238662719727
shared,11,2,12,1,740,110,0.4962987012987013,0.4873015873015873,1.0199642181396484,-0.019964218139648438
shared,11,2,26,1,669,104,0.574710687542546,0.5456007488087133,0.9864978790283203,0.013502120971679688
shared,11,2,27,1,776,124,0.5188254502275875,0.48451415000989506,1.0382187366485596,-0.03821873664855957
shared,11,2,30,1,508,74,0.4227799227799228,0.4442645410387346,1.0810413360595703,-0.08104133605957031
shared,11,2,31,1,811,120,0.45523396044380127,0.48244693680656053,1.0485203266143799,-0.04852032661437988
shared,11,2,35,1,797,120,0.5332348596750369,0.5311238306253077,1.0099421739578247,-0.009942173957824707
shared,11,3,8,1,967,141,0.5180954098191747,0.5140598973090859,1.0032777786254883,-0.0032777786254882812
shared,11,3,9,1,580,91,0.47768489179532125,0.47923548843794245,1.0132073163986206,-0.013207316398620605
shared,11,3,10,1,785,116,0.5217578990773671,0.49755811556105356,1.0083318948745728,-0.008331894874572754
shared,11,3,11,1,467,69,0.49663170927099265,0.47878887189571046,1.0167521238327026,-0.016752123832702637
shared,11,3,20,2,1170,179,0.5179436154440241,0.5243532575300611,1.0085827112197876,-0.008582711219787598
shared,11,3,24,2,491,67,0.5202231765699803,0.4731237679526894,1.018833875656128,-0.01883387565612793
shared,11,3,28,1,88,10,0.6461538461538462,0.5525641025641026,0.9721211791038513,0.02787882089614868
shared,11,4,3,1,866,131,0.5580775821779094,0.5503609077218674,0.9943294525146484,0.0056705474853515625
shared,11,4,4,1,786,128,0.53855195668693,0.5357261588145896,0.9966455698013306,0.0033544301986694336
shared,11,4,13,1,960,142,0.6139717276765728,0.5900340920830607,0.9800459146499634,0.01995408535003662
shared,11,4,16,1,888,137,0.5111141349247232,0.5226510637884281,1.005028247833252,-0.005028247833251953
shared,11,4,18,2,1416,199,0.4713481127907409,0.4873669910769955,1.0143710374832153,-0.014371037483215332
shared,11,4,22,1,879,138,0.5284769895753878,0.5410579123393768,1.0013492107391357,-0.0013492107391357422
shared,11,4,25,1,659,99,0.4797619047619048,0.47867063492063494,1.0097393989562988,-0.009739398956298828
shared,22,0,7,1,901,132,0.49098593214327924,0.49269515703195804,1.004049301147461,-0.0040493011474609375
shared,22,0,17,1,828,119,0.5655438480046462,0.5591613232034705,0.9882735013961792,0.0117264986038208
shared,22,0,20,2,1170,179,0.547097057878448,0.5131800731725191,0.9941810369491577,0.005818963050842285
shared,22,0,21,1,936,141,0.5359516481555824,0.5262277532450155,0.9992170929908752,0.0007829070091247559
shared,22,0,29,1,860,130,0.47041622760800844,0.4679662802950474,1.0241460800170898,-0.024146080017089844
shared,22,0,30,1,508,74,0.4822829742184581,0.4901918047079338,1.0384632349014282,-0.03846323490142822
shared,22,0,31,1,811,120,0.4791546068499759,0.4803545586107091,1.0365580320358276,-0.03655803203582764
shared,22,0,34,1,416,60,0.45646067415730335,0.474625468164794,1.0283784866333008,-0.02837848663330078
shared,22,1,10,1,785,116,0.49986469769599506,0.4982346270810783,1.0136516094207764,-0.013651609420776367
shared,22,1,12,1,740,110,0.5282106782106781,0.5409812409812409,1.0178078413009644,-0.017807841300964355
shared,22,1,14,1,748,112,0.5301198899371069,0.5344227313566936,1.0061050653457642,-0.00610506534576416
shared,22,1,15,1,940,141,0.5681570047665965,0.531706299541093,0.9882604479789734,0.011739552021026611
shared,22,1,24,2,491,67,0.5443361025063362,0.5394607152914672,1.0173579454421997,-0.017357945442199707
shared,22,1,27,1,776,124,0.506778151593113,0.4876063724520087,1.0104564428329468,-0.010456442832946777
shared,22,1,28,1,88,10,0.5737179487179487,0.5961538461538461,0.9973011612892151,0.002698838710784912
shared,22,2,1,1,321,39,0.5119567194035279,0.47913256955810146,1.0151774883270264,-0.015177488327026367
shared,22,2,5,1,963,147,0.4925928704815259,0.4916216486594638,1.0170650482177734,-0.017065048217773438
shared,22,2,8,1,967,141,0.5155581886559167,0.5499544931568011,1.0155010223388672,-0.015501022338867188
shared,22,2,9,1,580,91,0.5660127193869524,0.5386750264050877,0.9937452673912048,0.006254732608795166
shared,22,2,13,1,960,142,0.5952770412204278,0.5699318158338786,0.9775241613388062,0.022475838661193848
shared,22,2,16,1,888,137,0.5066286314111599,0.5115029109605684,1.0121538639068604,-0.012153863906860352
shared,22,2,33,1,97,23,0.48266745005875444,0.4997062279670975,1.0192621946334839,-0.019262194633483887
shared,22,3,4,1,786,128,0.5169369775835867,0.47995820668693007,1.0028454065322876,-0.0028454065322875977
shared,22,3,18,2,1416,199,0.5009125330844857,0.5049693826569164,1.0066208839416504,-0.006620883941650391
shared,22,3,19,1,855,131,0.6166178145164691,0.5191630466871916,0.9856806397438049,0.014319360256195068
shared,22,3,22,1,879,138,0.5167224080267558,0.509358680983395,1.0012212991714478,-0.001221299171447754
shared,22,3,23,1,958,145,0.5441319930440685,0.5503965729312466,0.9966531991958618,0.0033468008041381836
shared,22,3,26,1,669,104,0.5321051735874744,0.5599727705922397,1.0036647319793701,-0.003664731979370117
shared,22,3,32,1,781,120,0.4949697428139183,0.4882753403933434,1.0113557577133179,-0.011355757713317871
shared,22,4,0,1,827,120,0.5049622819424799,0.4900695426685525,1.0131018161773682,-0.013101816177368164
