candidate,ci_high,ci_low,gain_MAE,interval,loo_max,loo_min,meaning,n_identity_groups,n_nonzero_paired_differences,reference,repetitions,scope,seed,status
M4s,0.30267980144688444,-1.540529308658286,-0.5250706796057046,percentile,-0.15738700787954285,-0.659012084768879,corrected method vs original clinical numbers,52,48,M0_C,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4s,0.4358448817007889,-0.24657206843291632,0.1092160966773358,percentile,0.1822800344151961,0.06439706277527191,corrected EEG increment beyond the acquisition summary,52,48,M1_CQ,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4s,0.010040601180572968,-0.020564797371469372,-0.0050909909281511975,percentile,-0.0025207831776220655,-0.008187019267448104,corrected learning-order comparison,52,47,M3s,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4s,4.7768365815870215,1.3081536468860138,3.042257075927991,percentile,3.335329569123723,2.7936915645772205,corrected objective vs the original M4,52,51,M4_MLP_THEN_MEAN,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M3s,4.777803807071815,1.2955331314734202,3.041942919915864,percentile,3.3339907174787418,2.7916170079065954,corrected objective vs the original M3,52,51,M3_MEAN_THEN_MLP,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4s_amplitude,0.4834663014329652,-0.11785119108345955,0.18665289610622587,percentile,0.26511198575209055,0.1455903093289804,amplitude-adjusted corrected increment,52,49,M1_CQ_amplitude,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4s_amplitude,0.13912824089080392,-1.6908150049365842,-0.7056473600548825,percentile,-0.33391633515905605,-0.8364451707442291,amplitude-adjusted corrected method vs original clinical,52,49,M0_C,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
M4s,0.7680708395114956,-0.2304056705089994,0.2805496636590845,percentile,0.3848452336878968,0.17859958944906967,"real correspondence vs mismatched training, corrected",52,49,M4s_mismatch,2000,fixed_oof_group_paired_not_pipeline_refit,20260919,PASS
