outer_fold,model,selected_penalty,inner_MAE,n_train,n_test
0,M3s,0.1,5.262467731615314,41,11
0,M4s,0.1,5.265957685869811,41,11
1,M3s,0.1,5.30941227335092,41,11
1,M4s,0.1,5.304155285704085,41,11
2,M3s,0.1,6.258941193105924,42,10
2,M4s,0.1,6.235553098506882,42,10
3,M3s,0.1,5.947695477513674,42,10
3,M4s,0.1,5.908466591265457,42,10
4,M3s,0.1,6.063126394399044,42,10
4,M4s,0.1,6.060001548766361,42,10
