clinical_coefficient_norm,clinical_intercept,clinical_solves,eeg_output_abs_max,final_gradient_norm,final_mse,final_neural_term,final_objective,final_ridge_term,initial_objective,model,nonfinite,outer_fold,seed,status,steps_run
0.25289800085767006,0.8932251827172892,401,0.08786796826245516,0.12937051296418675,0.004042926164314356,0.08767425132192702,0.09327711404326104,0.00155993655701966,0.836368878408001,M3s,False,0,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.25133064346569256,0.8941608220853051,401,0.09024704413737838,0.14701272814628277,0.003897338238102346,0.11215082880261379,0.11758882782961562,0.0015406607888994895,0.8599272016681485,M3s,False,0,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.2546475788571903,0.8941386564149172,401,0.08467291156011494,0.12941031674044043,0.0041385095412288225,0.0875858942749414,0.09330599868001971,0.0015815948638494865,0.836368878408001,M4s,False,0,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.25379871936216,0.8953170273317073,401,0.08603217153612597,0.1470654738280262,0.0040256475922019214,0.1120436025703925,0.11764031821015229,0.0015710680475578638,0.8599272016681485,M4s,False,0,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.47839060370823644,0.8890522806233525,401,0.029872084311939037,0.13036750665408486,0.0031624236338820733,0.08593737560334123,0.08965798843165339,0.0005581891944300754,0.832231491367598,M3s,False,1,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.4784083280328816,0.8904445745771506,401,0.037157338804711934,0.14782391084649654,0.0028573878968106196,0.11067046312577077,0.1140860815794868,0.0005582305569054079,0.8557898146277455,M3s,False,1,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.47821866848804695,0.8901274802730547,401,0.027892336163360107,0.13037905711316836,0.0031851956982453544,0.08591439623958944,0.08965737997415303,0.0005577880363182452,0.832231491367598,M4s,False,1,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.4781586400649936,0.8904090015659117,401,0.03609475964353736,0.1478422793559877,0.0028986358713969833,0.1106317375626841,0.11408802144644402,0.0005576480123629368,0.8557898146277455,M4s,False,1,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.41373544426170933,0.8752512024099287,401,0.04127758881050953,0.12996559663613336,0.0035139199573554305,0.08665488412244964,0.09057636840799181,0.0004075643281867476,0.8332324482699007,M3s,False,2,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.4190986340582357,0.8767026421707437,401,0.05720987367345742,0.14753869302067846,0.0033333413269091925,0.1111693382731282,0.11492087880258377,0.00041819920254637855,0.8567907715300482,M3s,False,2,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.4140778269837963,0.8756528587026862,401,0.0405221327482716,0.12998232691442302,0.003551283913035431,0.08662205439742866,0.09058157746951082,0.00040823915904672085,0.8332324482699007,M4s,False,2,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.419033508593738,0.8770624335008592,401,0.0565292499828193,0.14756192776579993,0.003387678966893411,0.11112894083385594,0.11493468904199787,0.00041806924124851967,0.8567907715300482,M4s,False,2,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.4639767588243178,0.866236429387738,401,0.061279736733418674,0.1298536492434297,0.0027481009476912946,0.08684466528270068,0.09010532440355655,0.0005125581731645694,0.8329715401766699,M3s,False,3,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.4699825528988077,0.8590635605642506,401,0.04774457968911334,0.14799184974434723,0.0036012641542460195,0.11074343930304763,0.1148706167906967,0.0005259133334030489,0.8565298634368174,M3s,False,3,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.46432431990251516,0.8669689871158061,401,0.05924473937840907,0.12987467696080834,0.0028037059379871394,0.08680120176745804,0.09011823407223787,0.0005133263667926982,0.8329715401766699,M4s,False,3,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.4662762611310976,0.865967517496294,401,0.057192526502774295,0.14761792923916764,0.002891486289479449,0.11117447114234885,0.11458360874538638,0.0005176513135580846,0.8565298634368174,M4s,False,3,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.24147794883112017,0.8842855398162842,401,0.09219920917260667,0.12977266385826694,0.0037130420539767013,0.08692088443811236,0.09202229791522441,0.0013883714231353592,0.8351972328162716,M3s,False,4,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.2393090249447323,0.8846555026137786,401,0.09129938666513238,0.1474190159976319,0.003700179680786314,0.11133734659633006,0.11640106935854491,0.0013635430814285354,0.8587555560764191,M3s,False,4,23,OPTIMIZATION_BUDGET_COMPLETE,400
0.24170399104596313,0.8834086272014087,401,0.09191685865534135,0.12977874022973981,0.003734885163776789,0.08690296170483719,0.09202881875641272,0.0013909718877987386,0.8351972328162716,M4s,False,4,11,OPTIMIZATION_BUDGET_COMPLETE,400
0.23952919941005563,0.8836811798973715,401,0.0908361169530339,0.14742648854783877,0.0037175802378749115,0.11133334276487539,0.11641697627346512,0.0013660532707148142,0.8587555560764191,M4s,False,4,23,OPTIMIZATION_BUDGET_COMPLETE,400
