target,model,n,MAE,RMSE
MUSS,original_clinical,50,7.047993236597496,10.17787905320401
MUSS,corrected_clinical,50,6.692766930734875,9.989689121909905
MUSS,original_clinical_plus_fixed_amplitude,50,7.365749113156491,10.517559341811763
MUSS,corrected_clinical_plus_fixed_amplitude,50,6.959179382698777,10.297646968955618
MUSS,original_clinical_plus_poststim_pattern,50,13.579013449337866,18.728188038210476
MUSS,corrected_clinical_plus_poststim_pattern,50,13.232694844431855,18.14830105055648
MUSS,original_clinical_plus_prestim_pattern,50,11.528798610390353,15.204789398950098
MUSS,corrected_clinical_plus_prestim_pattern,50,11.738215417926273,15.629454322472583
MUSS,corrected_post_separate,50,6.704505081343401,10.001078392852047
MUSS,corrected_pre_separate,50,7.058963848276634,10.363761505688315
MUSS,age_duration_only,50,6.84212740911924,9.84693768010967
age,original_clinical,50,28.843172773098708,37.27308269844478
age,corrected_clinical,50,28.622132486099215,37.38130121303904
age,original_clinical_plus_fixed_amplitude,50,29.427759554761167,38.15060151668183
age,corrected_clinical_plus_fixed_amplitude,50,29.531036315184252,38.49661682852543
age,original_clinical_plus_poststim_pattern,50,28.738635135861028,37.59206217038498
age,corrected_clinical_plus_poststim_pattern,50,28.86009777097054,37.61732164141578
age,original_clinical_plus_prestim_pattern,50,29.511813201648923,37.81196240431506
age,corrected_clinical_plus_prestim_pattern,50,29.422817183062726,38.104991661944524
log_duration,original_clinical,50,1.4293543925233312,1.6370834171366797
log_duration,corrected_clinical,50,1.4371105547937804,1.647107409689394
log_duration,original_clinical_plus_fixed_amplitude,50,1.4549761494810765,1.6620381967779465
log_duration,corrected_clinical_plus_fixed_amplitude,50,1.4642776693684165,1.6726344953494745
log_duration,original_clinical_plus_poststim_pattern,50,1.5072555488443422,1.70396470243004
log_duration,corrected_clinical_plus_poststim_pattern,50,1.5078734212277467,1.7028971048127766
log_duration,original_clinical_plus_prestim_pattern,50,1.4980296732119354,1.6987189194639678
log_duration,corrected_clinical_plus_prestim_pattern,50,1.4949163090330633,1.6901877404229768
