budget,split,available_candidates,common_candidates
32,odd_even,53,43
32,early_late,53,43
64,odd_even,56,43
64,early_late,55,43
128,odd_even,55,43
128,early_late,55,43
256,odd_even,51,43
256,early_late,51,43
