bank,budget,split,n_common_candidates,valid_features,median_correlation,q25,q75,fraction_positive,median_spearman_brown_heuristic,status
HJORTH,32,odd_even,43,60,0.8943624732351023,0.8417028096863801,0.9490460173658257,1.0,0.9442356990054307,ESTIMATED
POST,32,odd_even,43,320,0.13636856643765524,-0.026228306762608778,0.29909778726324715,0.7125,0.2400076211581343,ESTIMATED
CONTRAST,32,odd_even,43,160,0.07408883985598468,-0.081728822046084,0.18391196087862155,0.60625,0.1379566025666758,ESTIMATED
PRE,32,odd_even,43,160,-0.024573114093123932,-0.13269494309869773,0.0942454261501123,0.4625,-0.05039884289436307,ESTIMATED
SPATIAL,32,odd_even,43,210,0.824257901046128,0.7301932605107085,0.8832549213263383,1.0,0.9036637803449462,ESTIMATED
HJORTH,32,early_late,43,60,0.8191630514434651,0.7489012831131698,0.8977348042063762,1.0,0.9005933255472073,ESTIMATED
POST,32,early_late,43,320,0.15599313101240117,-0.008853057802652185,0.29414505054185974,0.725,0.2698858650354543,ESTIMATED
CONTRAST,32,early_late,43,160,0.08625134186780217,-0.0345814802831652,0.20830016649625907,0.64375,0.15880549018516987,ESTIMATED
PRE,32,early_late,43,160,-0.022391272929305518,-0.10764604915253118,0.08954889513014613,0.4125,-0.045809574114388754,ESTIMATED
SPATIAL,32,early_late,43,210,0.7792458239775515,0.6687957467008419,0.8428124106282517,1.0,0.8759282250816705,ESTIMATED
HJORTH,64,odd_even,43,60,0.9346521980267573,0.9002426036565754,0.9660035461320682,1.0,0.9662220722493328,ESTIMATED
POST,64,odd_even,43,320,0.24920563871267878,0.10358187953876391,0.3609292360491737,0.89375,0.3989766856011161,ESTIMATED
CONTRAST,64,odd_even,43,160,-0.003532610249888454,-0.11916528818669067,0.15646335432617947,0.49375,-0.007093502518432951,ESTIMATED
PRE,64,odd_even,43,160,0.03586995631967331,-0.12649922452792917,0.20385357540896054,0.58125,0.06925516878557375,ESTIMATED
SPATIAL,64,odd_even,43,210,0.9012346571459975,0.8488506355258831,0.9356912316995565,1.0,0.9480519968233376,ESTIMATED
HJORTH,64,early_late,43,60,0.8607101288107647,0.7948435595559558,0.9083786687930181,1.0,0.9251413630427918,ESTIMATED
POST,64,early_late,43,320,0.17658155622335553,0.0583587493321648,0.36227040475977057,0.825,0.3001594711988662,ESTIMATED
CONTRAST,64,early_late,43,160,0.02209262415258375,-0.11005434376870542,0.18333587259782236,0.55625,0.04322958269016809,ESTIMATED
PRE,64,early_late,43,160,0.057907985445543306,-0.09333061077143373,0.2188836588335996,0.64375,0.1094757008242658,ESTIMATED
SPATIAL,64,early_late,43,210,0.8415661559244283,0.7682382275829027,0.8931860551672584,1.0,0.9139678696768059,ESTIMATED
HJORTH,128,odd_even,43,60,0.9710942589569134,0.947021804287514,0.9831933016937293,1.0,0.985335107828032,ESTIMATED
POST,128,odd_even,43,320,0.33901513819639595,0.1487036360960501,0.46916738117295365,0.8875,0.5063643040899841,ESTIMATED
CONTRAST,128,odd_even,43,160,-0.02234648244024694,-0.12613323177545727,0.11371652236582858,0.4375,-0.04571453764902999,ESTIMATED
PRE,128,odd_even,43,160,0.03409839847837566,-0.09777566176311267,0.20023548169637634,0.56875,0.06594796767614929,ESTIMATED
SPATIAL,128,odd_even,43,210,0.9457862159018374,0.9108861749312219,0.9642034083338863,1.0,0.9721378470719473,ESTIMATED
HJORTH,128,early_late,43,60,0.887662021985862,0.847840914885955,0.9291174861299325,1.0,0.940488298626257,ESTIMATED
POST,128,early_late,43,320,0.26916548633777765,0.166681847870566,0.4279011599069543,0.9125,0.42415998261225346,ESTIMATED
CONTRAST,128,early_late,43,160,0.028326084457300334,-0.09473628702100323,0.15686685786880364,0.55,0.05508928316142423,ESTIMATED
PRE,128,early_late,43,160,0.05468413746039996,-0.11431995122280848,0.15218341183140427,0.6125,0.10368708800132666,ESTIMATED
SPATIAL,128,early_late,43,210,0.8921769166221725,0.8384077209304817,0.929226382370893,1.0,0.9430163626337689,ESTIMATED
HJORTH,256,odd_even,43,60,0.9837064787457149,0.9735750232000765,0.9932875251528472,1.0,0.9917862978019054,ESTIMATED
POST,256,odd_even,43,320,0.5149527703260554,0.34963019453394284,0.7053130119152915,0.984375,0.6798219219462434,ESTIMATED
CONTRAST,256,odd_even,43,160,0.06192167787198376,-0.04327905819679827,0.1597022351248613,0.625,0.11660981881277471,ESTIMATED
PRE,256,odd_even,43,160,0.13379627330327265,-0.011307417552868704,0.2243563977534911,0.71875,0.23601441896506148,ESTIMATED
SPATIAL,256,odd_even,43,210,0.972053011222072,0.9564166820503368,0.9821683609919831,1.0,0.9858284799443743,ESTIMATED
HJORTH,256,early_late,43,60,0.8986722361820529,0.8529499606689427,0.9468642793482185,1.0,0.94663013865872,ESTIMATED
POST,256,early_late,43,320,0.3687147142895746,0.16085892019581238,0.587759655224823,0.915625,0.5387749764323948,ESTIMATED
CONTRAST,256,early_late,43,160,-0.03902943264472787,-0.16144048921734427,0.12923877826725436,0.4125,-0.08123569484908473,ESTIMATED
PRE,256,early_late,43,160,0.09455536617552401,-0.03372889532367583,0.2324295200026243,0.6625,0.17267496495149726,ESTIMATED
SPATIAL,256,early_late,43,210,0.9094210875817956,0.864909341976733,0.9424007183472366,1.0,0.9525621042192116,ESTIMATED
