model,seed,fold,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
adapt_zero_shot,11,0,odd_even_blocks,0,12,1,295,57,0.5867241633495504,0.5745614035087719,0.9835318922996521,0.0164681077003479
adapt_finetuned,11,0,odd_even_blocks,0,12,1,295,57,0.5879035824856258,0.5724605631726375,0.9829565286636353,0.017043471336364746
adapt_zero_shot,11,0,odd_even_blocks,0,14,1,295,55,0.4991287878787878,0.5246212121212122,1.009854793548584,-0.009854793548583984
adapt_finetuned,11,0,odd_even_blocks,0,14,1,295,55,0.5014015151515151,0.515530303030303,1.0094592571258545,-0.009459257125854492
adapt_zero_shot,11,0,odd_even_blocks,0,21,1,279,55,0.6099431818181819,0.5735795454545455,0.9802706241607666,0.0197293758392334
adapt_finetuned,11,0,odd_even_blocks,0,21,1,279,55,0.6102678571428571,0.5804383116883116,0.9807314872741699,0.019268512725830078
adapt_zero_shot,11,0,odd_even_blocks,0,23,1,300,57,0.5252689336509999,0.524907948884557,1.0116461515426636,-0.011646151542663574
adapt_finetuned,11,0,odd_even_blocks,0,23,1,300,57,0.546278247057974,0.5573965778644141,1.0040067434310913,-0.004006743431091309
adapt_zero_shot,11,0,odd_even_blocks,0,24,2,549,104,0.4991897147796024,0.514304235090752,1.0077356100082397,-0.007735610008239746
adapt_finetuned,11,0,odd_even_blocks,0,24,2,549,104,0.5036408815903197,0.530347882454624,1.008294701576233,-0.00829470157623291
adapt_zero_shot,11,0,odd_even_blocks,0,30,1,300,56,0.6274151053864168,0.5929449648711944,0.9762235879898071,0.02377641201019287
adapt_finetuned,11,0,odd_even_blocks,0,30,1,300,56,0.6261709601873536,0.5929449648711944,0.9766296148300171,0.02337038516998291
adapt_zero_shot,11,0,odd_even_blocks,0,33,1,295,56,0.48991332934847576,0.490847280334728,1.022031545639038,-0.022031545639038086
adapt_finetuned,11,0,odd_even_blocks,0,33,1,295,56,0.49051105797967726,0.4881948595337716,1.0209078788757324,-0.020907878875732422
adapt_zero_shot,11,0,odd_even_blocks,0,37,1,230,46,0.42361767485822305,0.4538043478260869,1.0245153903961182,-0.024515390396118164
adapt_finetuned,11,0,odd_even_blocks,0,37,1,230,46,0.42674858223062373,0.4565217391304348,1.0278652906417847,-0.027865290641784668
adapt_zero_shot,11,0,odd_even_blocks,0,42,1,286,54,0.4893438697318007,0.45992975734355046,1.0139095783233643,-0.013909578323364258
adapt_finetuned,11,0,odd_even_blocks,0,42,1,286,54,0.4985233077905491,0.4814814814814815,1.0114874839782715,-0.011487483978271484
adapt_zero_shot,11,0,odd_even_blocks,0,48,1,229,43,0.6445361340335084,0.6579769942485622,0.9688720703125,0.0311279296875
adapt_finetuned,11,0,odd_even_blocks,0,48,1,229,43,0.6439109777444362,0.6552888222055514,0.9687169790267944,0.031283020973205566
adapt_zero_shot,11,0,odd_even_blocks,0,49,1,301,56,0.5877915451895044,0.5487244897959184,0.9872079491615295,0.012792050838470459
adapt_finetuned,11,0,odd_even_blocks,0,49,1,301,56,0.5880830903790086,0.5548469387755102,0.9872938394546509,0.012706160545349121
adapt_zero_shot,11,0,odd_even_blocks,0,57,1,299,56,0.5702527924750148,0.5476925338036449,0.9927490949630737,0.0072509050369262695
adapt_finetuned,11,0,odd_even_blocks,0,57,1,299,56,0.5724206349206349,0.5545634920634921,0.9927023649215698,0.007297635078430176
adapt_zero_shot,11,0,odd_even_blocks,0,66,1,254,52,0.6548457730388424,0.5984386900228484,0.9601907730102539,0.039809226989746094
adapt_finetuned,11,0,odd_even_blocks,0,66,1,254,52,0.6498476770753998,0.5888233054074639,0.9648302793502808,0.03516972064971924
adapt_zero_shot,11,1,odd_even_blocks,0,5,1,299,56,0.5363389182833627,0.5224500293944738,0.9997373819351196,0.0002626180648803711
adapt_finetuned,11,1,odd_even_blocks,0,5,1,299,56,0.5593033509700177,0.5725308641975309,0.995792031288147,0.004207968711853027
adapt_zero_shot,11,1,odd_even_blocks,0,8,1,289,53,0.5409338023664855,0.5455308602494403,0.9998544454574585,0.0001455545425415039
