model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
film_age_shuffled,11,0,2,1,847,172,0.5023255813953489,0.5149741602067184,1.0062081813812256,-0.006208181381225586
film_age_shuffled,11,0,17,1,740,143,0.43209637933256023,0.4626571083857516,1.0188266038894653,-0.018826603889465332
film_age_shuffled,11,0,25,2,1776,356,0.5887521759772116,0.5724165216015192,0.986789882183075,0.013210117816925049
film_age_shuffled,11,0,27,1,991,199,0.4678474442921679,0.4835795137302675,1.0148324966430664,-0.014832496643066406
film_age_shuffled,11,0,31,2,1776,355,0.5628936178648244,0.5431257495713195,0.9936262369155884,0.006373763084411621
film_age_shuffled,11,0,32,1,1000,200,0.6772625000000001,0.6275,0.9627805352210999,0.037219464778900146
film_age_shuffled,11,0,51,2,1989,397,0.5936515069048012,0.5752384403123932,0.9864429235458374,0.013557076454162598
film_age_shuffled,11,0,55,1,655,131,0.5120768020511626,0.5257633587786259,1.0055394172668457,-0.005539417266845703
film_age_shuffled,11,0,61,1,932,186,0.5423621320879818,0.5209288246994724,0.9961775541305542,0.0038224458694458008
film_age_shuffled,11,0,62,1,922,190,0.6257873166522865,0.5890135174000575,0.9748598337173462,0.02514016628265381
film_age_shuffled,11,0,66,1,865,175,0.6353126293995859,0.5794409937888199,0.9710958003997803,0.028904199600219727
film_age_shuffled,11,0,69,1,969,194,0.5467575656800798,0.5370768207515797,1.0027122497558594,-0.002712249755859375
film_age_shuffled,11,1,7,1,558,95,0.4690690007957259,0.4868591565306355,1.0152242183685303,-0.015224218368530273
film_age_shuffled,11,1,11,1,892,182,0.5270585048754063,0.5186503637207862,1.005669116973877,-0.005669116973876953
film_age_shuffled,11,1,23,1,988,200,0.5812087563451775,0.561497461928934,0.9878593683242798,0.012140631675720215
film_age_shuffled,11,1,28,1,526,106,0.4673629829290207,0.4779649595687332,1.0168421268463135,-0.016842126846313477
film_age_shuffled,11,1,40,1,780,155,0.5456722580645161,0.5304,0.9990014433860779,0.0009985566139221191
film_age_shuffled,11,1,54,1,985,196,0.5206506556995422,0.5155744807428675,1.0084295272827148,-0.008429527282714844
film_age_shuffled,11,1,57,1,998,200,0.5949718045112782,0.562593984962406,0.9838763475418091,0.016123652458190918
film_age_shuffled,11,1,59,2,1837,372,0.5591214356490146,0.5410455429557048,0.9930163621902466,0.006983637809753418
film_age_shuffled,11,1,60,1,598,90,0.5284230096237971,0.49886264216972875,1.0041313171386719,-0.004131317138671875
film_age_shuffled,11,1,65,1,985,197,0.6152310031178334,0.5812182741116751,0.977324366569519,0.022675633430480957
film_age_shuffled,11,1,71,1,951,190,0.5092053392350785,0.5003734698111902,1.0110325813293457,-0.011032581329345703
film_age_shuffled,11,1,72,1,711,148,0.5241767077912726,0.5089770054246076,1.0027246475219727,-0.0027246475219726562
film_age_shuffled,11,2,0,1,871,170,0.624225895779139,0.5905639003104808,0.9704849720001221,0.02951502799987793
film_age_shuffled,11,2,6,1,772,155,0.5429654415224552,0.5267945835729597,1.004849910736084,-0.004849910736083984
film_age_shuffled,11,2,13,1,993,200,0.5763965952080706,0.5571847414880202,0.9908488988876343,0.009151101112365723
film_age_shuffled,11,2,24,2,1831,366,0.480716723549488,0.4868712583226096,1.0133519172668457,-0.013351917266845703
film_age_shuffled,11,2,29,1,438,84,0.5547988969599139,0.5167473769168685,0.9919592142105103,0.008040785789489746
film_age_shuffled,11,2,39,1,994,197,0.5048882548134184,0.5157538739817462,1.0076409578323364,-0.007640957832336426
film_age_shuffled,11,2,41,1,990,198,0.49336802367105403,0.5107323232323232,1.0149164199829102,-0.014916419982910156
film_age_shuffled,11,2,46,1,867,178,0.5338709414393112,0.5163973190261085,0.996692419052124,0.0033075809478759766
film_age_shuffled,11,2,47,1,999,200,0.4974374217772216,0.48903629536921156,1.0091428756713867,-0.009142875671386719
film_age_shuffled,11,2,48,1,766,155,0.6330763951216937,0.577224011403833,0.9770616292953491,0.02293837070465088
