packet,mode,first,second,estimate,ci_lower,ci_upper,n_groups,n_trials,units,ci_scope
N3,R_SIM,H,HP,0.0,0.0,0.0,60,24527,bits_per_trial,fixed_predictions_identity_bootstrap_no_refit
N3,R_SIM,H,Hnoise,0.0,0.0,0.0,60,24527,bits_per_trial,fixed_predictions_identity_bootstrap_no_refit
N3,R_SIM,H,Hdup,0.00034449426005178456,-0.004184248214738717,0.003068330299944917,60,24527,bits_per_trial,fixed_predictions_identity_bootstrap_no_refit
N3,R_SIM,Hnoise,HP,0.0,0.0,0.0,60,24527,bits_per_trial,fixed_predictions_identity_bootstrap_no_refit
N3,R_SIM,Hdup,HP,-0.00034449426005178456,-0.003068330299944917,0.004184248214738716,60,24527,bits_per_trial,fixed_predictions_identity_bootstrap_no_refit
