task,model,n,MAE
A,C_BEST,57,3.738791055562765
A,BEST_CZ,57,3.891085502168915
A,C_Q,57,3.7613767942669094
A,BEST_CQZ,57,4.153116796691492
A,TECH_Q,57,3.754490181662813
A,TECH_QZ,57,4.109044641729736
A,AMP_Q,57,3.701565892280669
A,AMP_QZ,57,3.946493249498474
A,KERNEL_CZ,57,3.667453675809118
V_given_A,C_BEST,57,6.165048330286375
V_given_A,BEST_CZ,57,5.875869966269758
V_given_A,C_Q,57,5.684476440373309
V_given_A,BEST_CQZ,57,5.8746062349468335
V_given_A,TECH_Q,57,5.593422781213707
V_given_A,TECH_QZ,57,6.184493121434052
V_given_A,AMP_Q,57,6.0169407229871075
V_given_A,AMP_QZ,57,6.18146572252383
V_given_A,KERNEL_CZ,57,6.229515563077111
