mode,branch,window,probability,candidates,trials,max_error,ce_bits,J_bits,bacc,auroc,brier,auroc_definition
L0,all,post,raw,58,43963,5.551115123125783e-17,0.9988505050795872,0.0011494949204128302,0.5246289829691019,0.5325569463967026,0.49918872371350065,candidate-macro; multiclass one-vs-rest macro
L0,all,post,calibrated,58,43963,1.1102230246251565e-16,0.9988023399452383,0.00119766005476174,0.5246289829691019,0.5325569463967026,0.49916345061639367,candidate-macro; multiclass one-vs-rest macro
L0,all,pre,raw,58,43963,0.0,0.9999526065627492,4.739343725079781e-05,0.5053319079962925,0.5062380690570379,0.4999671637019116,candidate-macro; multiclass one-vs-rest macro
L0,all,pre,calibrated,58,43963,0.0,0.999955848164407,4.4151835593031485e-05,0.5053319079962925,0.5062380690570379,0.4999694112609615,candidate-macro; multiclass one-vs-rest macro
R_RAND,all,post,raw,58,43963,1.1102230246251565e-16,0.9973874870293643,0.002612512970635694,0.5252104558273203,0.5341618511347971,0.49819241318783924,candidate-macro; multiclass one-vs-rest macro
R_RAND,all,post,calibrated,58,43963,9.84455572616838e-17,0.997509395146845,0.0024906048531549985,0.5252104558273203,0.5341618511347971,0.49827596527916246,candidate-macro; multiclass one-vs-rest macro
R_RAND,all,pre,raw,58,43963,9.516584568991515e-17,1.0001627996622442,-0.00016279966224419518,0.5068876238903076,0.5084286751899886,0.5001124564836507,candidate-macro; multiclass one-vs-rest macro
R_RAND,all,pre,calibrated,58,43963,0.0,1.0000469003481478,-4.690034814780475e-05,0.5068876238903076,0.5084286751899886,0.5000324208679043,candidate-macro; multiclass one-vs-rest macro
R_SUP,all,post,raw,58,43963,4.5102810375396984e-17,1.0092881369560724,-0.009288136956072446,0.5226025068305528,0.5339922643199895,0.5059231195780951,candidate-macro; multiclass one-vs-rest macro
R_SUP,all,post,calibrated,58,43963,7.45931094670027e-17,1.0075493597715002,-0.007549359771500175,0.5226025068305528,0.5339922643199895,0.5048278370138204,candidate-macro; multiclass one-vs-rest macro
R_SUP,all,pre,raw,58,43963,9.511163558129088e-17,1.0001004361171757,-0.00010043611717569512,0.5063865520338209,0.5073855642714805,0.5000693971019329,candidate-macro; multiclass one-vs-rest macro
R_SUP,all,pre,calibrated,58,43963,7.330561938717617e-17,1.0001085125408318,-0.00010851254083177331,0.5063865520338209,0.5073855642714805,0.5000750666495235,candidate-macro; multiclass one-vs-rest macro
R_SIM,all,post,raw,58,43963,1.1102230246251565e-16,0.9981892715410369,0.001810728458963129,0.5235718589300212,0.5293956467850723,0.4987455319893035,candidate-macro; multiclass one-vs-rest macro
R_SIM,all,post,calibrated,58,43963,1.1102230246251565e-16,0.9982613341990337,0.0017386658009662659,0.5235718589300212,0.5293956467850723,0.49879372969763663,candidate-macro; multiclass one-vs-rest macro
R_SIM,all,pre,raw,58,43963,0.0,1.0000220332686518,-2.2033268651799887e-05,0.5021795491538567,0.5018934081347901,0.5000152620347551,candidate-macro; multiclass one-vs-rest macro
R_SIM,all,pre,calibrated,58,43963,3.957337929572091e-18,1.0001785729015733,-0.00017857290157330397,0.5021795491538567,0.5018934081347901,0.5001234776193507,candidate-macro; multiclass one-vs-rest macro
L0,left,post,raw,60,47175,2.3418766925686896e-17,0.9977398972903482,0.0022601027096518234,0.5258472454781712,0.5361582215181522,0.4984245414645129,candidate-macro; multiclass one-vs-rest macro
L0,left,post,calibrated,60,47175,1.1102230246251565e-16,0.9979745128046379,0.002025487195362108,0.5258472454781712,0.5361582215181522,0.49859391494300326,candidate-macro; multiclass one-vs-rest macro
L0,left,pre,raw,60,47175,8.169463369678276e-17,0.99984158412333,0.0001584158766699817,0.5054806771330935,0.5094655839005056,0.4998902653454519,candidate-macro; multiclass one-vs-rest macro
L0,left,pre,calibrated,60,47175,5.551115123125783e-17,0.999965878093294,3.412190670604165e-05,0.5054806771330935,0.5094655839005056,0.49997641497643663,candidate-macro; multiclass one-vs-rest macro
R_RAND,left,post,raw,60,47175,6.396792817664476e-17,0.9982398135991812,0.001760186400818764,0.5228400472579644,0.5302680814842401,0.4987803541299335,candidate-macro; multiclass one-vs-rest macro
R_RAND,left,post,calibrated,60,47175,1.1102230246251565e-16,0.9984713522225993,0.0015286477774006935,0.5228400472579644,0.5302680814842401,0.49894004346701837,candidate-macro; multiclass one-vs-rest macro
R_RAND,left,pre,raw,60,47175,1.1102230246251565e-16,0.9999215977991099,7.840220089005978e-05,0.5043750635012847,0.5073229833451832,0.49994565315462175,candidate-macro; multiclass one-vs-rest macro
R_RAND,left,pre,calibrated,60,47175,3.3881317890172014e-21,1.0000254391672998,-2.5439167299801113e-05,0.5043750635012847,0.5073229833451832,0.5000175997633136,candidate-macro; multiclass one-vs-rest macro
R_SUP,left,post,raw,60,47175,3.8163916471489756e-17,1.00934159272497,-0.009341592724970038,0.5137369183718109,0.5192857114566868,0.5061315555390201,candidate-macro; multiclass one-vs-rest macro
R_SUP,left,post,calibrated,60,47175,7.45931094670027e-17,1.00913566849076,-0.009135668490759974,0.5137369183718109,0.5192857114566868,0.5060083890135803,candidate-macro; multiclass one-vs-rest macro
R_SUP,left,pre,raw,60,47175,1.1102230246251565e-16,0.9999049749476595,9.502505234049163e-05,0.5068521634852766,0.5090630050713141,0.4999341393053893,candidate-macro; multiclass one-vs-rest macro
R_SUP,left,pre,calibrated,60,47175,5.551115123125783e-17,0.9999467707629334,5.3229237066632074e-05,0.5068521634852766,0.5090630050713141,0.49996311632640505,candidate-macro; multiclass one-vs-rest macro
R_SIM,left,post,raw,60,47175,1.1102230246251565e-16,0.9987406087996397,0.001259391200360338,0.5130858979596017,0.5234660888094685,0.49912804600424726,candidate-macro; multiclass one-vs-rest macro
R_SIM,left,post,calibrated,60,47175,5.551115123125783e-17,0.9988480781563956,0.0011519218436043532,0.5130858979596017,0.5234660888094685,0.49920211690601063,candidate-macro; multiclass one-vs-rest macro
R_SIM,left,pre,raw,60,47175,5.551115123125783e-17,0.9999450285610012,5.497143899879653e-05,0.5063639287283442,0.5072714954749895,0.49996189548822306,candidate-macro; multiclass one-vs-rest macro
R_SIM,left,pre,calibrated,60,47175,0.0,1.0000651042867332,-6.510428673323077e-05,0.5063639287283442,0.5072714954749895,0.5000450514633649,candidate-macro; multiclass one-vs-rest macro
L0,right,post,raw,60,47175,9.172350379227368e-17,0.9990377760655098,0.0009622239344901917,0.5262781607146675,0.5338201092378,0.49931326962674494,candidate-macro; multiclass one-vs-rest macro
L0,right,post,calibrated,60,47175,1.1102230246251565e-16,0.9986251159678173,0.001374884032182666,0.5262781607146675,0.5338201092378,0.4990414158199245,candidate-macro; multiclass one-vs-rest macro
L0,right,pre,raw,60,47175,5.551115123125783e-17,1.000143069646622,-0.00014306964662202937,0.4974701115361554,0.49616154952946295,0.50009911791131,candidate-macro; multiclass one-vs-rest macro
L0,right,pre,calibrated,60,47175,2.220446049250313e-16,1.0000244566599805,-2.4456659980520712e-05,0.4974701115361554,0.49616154952946295,0.5000169514803894,candidate-macro; multiclass one-vs-rest macro
R_RAND,right,post,raw,60,47175,3.7513395167998453e-17,0.9988447571845032,0.0011552428154968375,0.5171880933660573,0.5259152889316285,0.4991992547765863,candidate-macro; multiclass one-vs-rest macro
R_RAND,right,post,calibrated,60,47175,1.1102230246251565e-16,0.9990682690048447,0.000931730995155311,0.5171880933660573,0.5259152889316285,0.49935228388004826,candidate-macro; multiclass one-vs-rest macro
R_RAND,right,pre,raw,60,47175,3.278356319053044e-17,1.000120025423574,-0.00012002542357403279,0.497091318623814,0.4934094696662673,0.5000831923074671,candidate-macro; multiclass one-vs-rest macro
R_RAND,right,pre,calibrated,60,47175,2.220446049250313e-16,1.0000246545353417,-2.4654535341728234e-05,0.497091318623814,0.4934094696662673,0.5000170891882773,candidate-macro; multiclass one-vs-rest macro
R_SUP,right,post,raw,60,47175,7.632783294297951e-17,1.009122262735791,-0.009122262735790976,0.5149545493927388,0.5279247551913908,0.5059194034505502,candidate-macro; multiclass one-vs-rest macro
