outer_fold,mode,role,candidates,trials,ce_bits_stable,ce_bits,J_bits,bacc,auroc,brier,auroc_definition
0,R_SUP_ORIGINAL_HEAD,TRAIN_DIAGNOSTIC,46,34182,0.9833225562112436,0.9833225562112439,0.01667744378875613,0.5608197397617379,0.594922259131263,0.48855992266015563,candidate-macro; multiclass one-vs-rest macro
0,R_SUP_ORIGINAL_HEAD,OUTER_SHARED,12,9781,1.0055532444849589,1.0055532444849586,-0.0055532444849586415,0.5184335535132054,0.531630309429911,0.5036500641253762,candidate-macro; multiclass one-vs-rest macro
1,R_SUP_ORIGINAL_HEAD,TRAIN_DIAGNOSTIC,47,35456,0.9793549398924871,0.9793549398924869,0.020645060107513102,0.5651797745243284,0.5960652821721979,0.48588380663275177,candidate-macro; multiclass one-vs-rest macro
1,R_SUP_ORIGINAL_HEAD,OUTER_SHARED,11,8507,1.007805463454801,1.0078054634548008,-0.007805463454800821,0.5114387556247821,0.5220984490697153,0.5051961766401113,candidate-macro; multiclass one-vs-rest macro
2,R_SUP_ORIGINAL_HEAD,TRAIN_DIAGNOSTIC,47,35639,0.976132836841738,0.9761328368417381,0.023867163158261873,0.5756753379472264,0.6057823613729959,0.4836755777970758,candidate-macro; multiclass one-vs-rest macro
2,R_SUP_ORIGINAL_HEAD,OUTER_SHARED,11,8324,0.9978967143219892,0.9978967143219889,0.002103285678011102,0.5366427595114845,0.5500958268617133,0.4984193239117646,candidate-macro; multiclass one-vs-rest macro
3,R_SUP_ORIGINAL_HEAD,TRAIN_DIAGNOSTIC,46,35010,0.986654133910019,0.9866541339100192,0.013345866089980785,0.5512382408822525,0.5911279875916721,0.4908434433881625,candidate-macro; multiclass one-vs-rest macro
3,R_SUP_ORIGINAL_HEAD,OUTER_SHARED,12,8953,1.0053856155228704,1.0053856155228702,-0.005385615522870202,0.5158964133698111,0.5322896850061525,0.5036165388565301,candidate-macro; multiclass one-vs-rest macro
4,R_SUP_ORIGINAL_HEAD,TRAIN_DIAGNOSTIC,46,35565,0.977782086798661,0.9777820867986611,0.022217913201338924,0.5728085158903687,0.60107108458839,0.4847976297508622,candidate-macro; multiclass one-vs-rest macro
4,R_SUP_ORIGINAL_HEAD,OUTER_SHARED,12,8398,1.010329128693136,1.0103291286931362,-0.01032912869313618,0.5140455281457575,0.518338267509971,0.5068625013141261,candidate-macro; multiclass one-vs-rest macro
