task,mode,branch,stage,outer_fold,inner_fold,selected_epochs,first_loss,last_loss,final_gradient_norm,encoder_effective_rank,encoder_variance,projector_variance,fit_groups,monitor_epochs,original_head_available
outer0_all_R_RAND,R_RAND,all,outer,0,,,,,,30.687036514282227,0.04046788066625595,,46,0,False
outer0_all_R_SUP,R_SUP,all,outer,0,,1.0,0.6863978454999835,0.6863978454999835,0.774445334104734,28.056407928466797,0.03946392238140106,,46,13,True
outer0_all_R_SIM,R_SIM,all,outer,0,,100.0,1.671402076287056,1.1293863556278285,1.2206883136905842,45.74434280395508,0.23679190874099731,0.015588786453008652,46,0,False
outer0_left_R_RAND,R_RAND,left,outer,0,,,,,,27.953771591186523,0.04057314991950989,,48,0,False
outer0_left_R_SUP,R_SUP,left,outer,0,,3.0,0.6893714532539222,0.6867518246894467,0.4482763938232613,24.368467330932617,0.031148867681622505,,48,15,True
outer0_left_R_SIM,R_SIM,left,outer,0,,100.0,1.7428723775107284,1.1291150212287904,1.109754455089569,42.34918975830078,0.31229645013809204,0.015582647174596786,48,0,False
outer0_right_R_RAND,R_RAND,right,outer,0,,,,,,27.955345153808594,0.0400630384683609,,48,0,False
outer0_right_R_SUP,R_SUP,right,outer,0,,3.0,0.6884899525444742,0.6853399680274344,0.4780323522902111,21.20467758178711,0.03110690787434578,,48,15,True
outer0_right_R_SIM,R_SIM,right,outer,0,,100.0,1.7448419353057598,1.1297703241479808,1.1192115510332172,42.912208557128906,0.3137531876564026,0.015589925460517406,48,0,False
D_outer0_inner0_R_SUP,R_SUP,all,D_inner,0,0.0,1.0,0.6867917791589514,0.6867917791589514,0.7916776790247335,27.312875747680664,0.04850421100854874,,32,13,True
D_outer0_inner0_R_SIM,R_SIM,all,D_inner,0,0.0,100.0,1.8105549614664187,1.1305111374879748,1.4075031521406816,43.39723587036133,0.20787736773490906,0.015568802133202553,32,0,False
D_outer0_inner1_R_SUP,R_SUP,all,D_inner,0,1.0,1.0,0.6846176087856293,0.6846176087856293,0.847151906559707,28.656875610351562,0.04418080300092697,,33,13,True
D_outer0_inner1_R_SIM,R_SIM,all,D_inner,0,1.0,100.0,1.8173977981799494,1.131199941433296,1.4192872142034865,43.262996673583984,0.2076883614063263,0.015578086487948895,33,0,False
D_outer0_inner2_R_SUP,R_SUP,all,D_inner,0,2.0,1.0,0.6870989810308644,0.6870989810308644,0.779695166052932,24.038219451904297,0.04648785665631294,,33,13,True
D_outer0_inner2_R_SIM,R_SIM,all,D_inner,0,2.0,100.0,1.8143504728307378,1.1303655619448332,1.4018322476451262,44.00873947143555,0.20510333776474,0.015558424405753613,33,0,False
outer1_all_R_RAND,R_RAND,all,outer,1,,,,,,29.74059295654297,0.04090374708175659,,47,0,False
outer1_all_R_SUP,R_SUP,all,outer,1,,1.0,0.6865544227701662,0.6865544227701662,0.7639698421696893,27.674057006835938,0.04475770890712738,,47,13,True
outer1_all_R_SIM,R_SIM,all,outer,1,,100.0,1.660691077098089,1.128907020771977,1.2011425736148436,45.32174301147461,0.23636943101882935,0.015589694492518902,47,0,False
outer1_left_R_RAND,R_RAND,left,outer,1,,,,,,28.074161529541016,0.0409158319234848,,48,0,False
outer1_left_R_SUP,R_SUP,left,outer,1,,5.0,0.6896350151571817,0.6803962479755408,0.35992795686295626,12.533262252807617,0.039917320013046265,,48,17,True
outer1_left_R_SIM,R_SIM,left,outer,1,,100.0,1.7364387476083003,1.1287878065398245,1.086423310567233,42.39048385620117,0.3246196508407593,0.015578742139041424,48,0,False
outer1_right_R_RAND,R_RAND,right,outer,1,,,,,,27.99339485168457,0.03985443711280823,,48,0,False
outer1_right_R_SUP,R_SUP,right,outer,1,,4.0,0.6896156771187034,0.6803307061854743,0.4238939654666296,14.306658744812012,0.03392927348613739,,48,16,True
outer1_right_R_SIM,R_SIM,right,outer,1,,100.0,1.7416188403813526,1.1294677141138199,1.0814658939236341,43.75879669189453,0.33041179180145264,0.01558940950781107,48,0,False
D_outer1_inner0_R_SUP,R_SUP,all,D_inner,1,0.0,1.0,0.6833276253504058,0.6833276253504058,0.8835617209163805,26.12540054321289,0.05067114531993866,,33,13,True
