child,n_dev,slope_sd_per_step,slope_se,slope_shrunk,shrinkage_factor
0,119,0.04519936533004725,0.045905555904466974,0.02849072793705717,0.0004743112858421402
2,144,0.059655825902773435,0.038953742571850275,0.028503329342328885,0.0006585905636161878
3,130,0.0738419181311422,0.04341260683843118,0.028506853922817654,0.000530319862833961
4,127,0.09319672656953158,0.049970899257213576,0.02850870443570558,0.00040030570985592225
5,146,0.07061349571593482,0.04660082442453874,0.028502190585355556,0.0004602702039054636
6,257,0.05900433370227231,0.03203668125803469,0.02851250810514864,0.0009733791073280165
7,131,-0.029678145295781583,0.047477499375131835,0.028457008379740186,0.0004434367694831945
8,140,-0.018788116918584185,0.043111245966344414,0.028457378863567903,0.0005377559736103847
9,90,-0.05654168306510243,0.05826127388315519,0.0284577578245387,0.00029451818880814687
10,115,-0.0010235675613468114,0.05280239144311948,0.0284722198814475,0.00035853955539338775
11,68,0.06435817595242886,0.07688922040946225,0.028488866333991756,0.00016912025729442267
12,109,-0.026602155066081445,0.050262446700127465,0.028461003228197314,0.00039567706218301106
13,141,0.08781723316361525,0.04617165982035298,0.028510618762806653,0.0004688623429558768
14,111,0.060725800346923875,0.049687465575357415,0.028495853750952913,0.00040488383263472975
15,140,-0.010220112313546588,0.045178051376223806,0.02846384617022648,0.0004897024568778784
16,136,-0.0012031355959590513,0.04167495723050636,0.028465716620739136,0.0005754395295775632
17,118,0.04360373521109605,0.03902615264124968,0.028492720690875217,0.000656150503192541
18,197,0.04767885650312449,0.034032800069054875,0.028499358377200117,0.000862640479306125
19,130,-0.02205352153085151,0.04706068012481443,0.02845999087280407,0.00045132308693041496
20,177,0.031831973659550365,0.03722608847117816,0.02848521415087185,0.000721094045860686
21,140,0.09136203665686836,0.044003084988299364,0.028515256709162815,0.0005161899124323246
22,137,0.0627327858478675,0.04341383132613457,0.02850096150526615,0.0005302899637615356
23,144,0.009682313069919984,0.0428580198577005,0.02847256924911575,0.0005441259286030219
24,65,-0.03915101225837707,0.06473056875550429,0.02846666139063344,0.00023860388867200517
25,98,0.050393963705688986,0.05547097432250949,0.02848991765095359,0.0003248832296594134
26,103,-0.01696552907029912,0.04915214468578187,0.028463994951163293,0.00041374744960528693
27,123,0.043355514337350014,0.04641720124536698,0.02848969879103619,0.0004639173071324105
29,129,0.020411887781592898,0.04344183244326067,0.028478524670448827,0.0005296069325162937
30,73,-0.0027553645410895943,0.06314215681833985,0.02847496590737098,0.0002507565344911854
31,119,-0.039095761142365,0.052085677012322966,0.028457898341041885,0.00036847100471703404
32,119,0.015612258363946916,0.044244637052660137,0.0284762277442647,0.0005105719258019719
34,59,-0.10801393145064808,0.0731376553375441,0.02845728622962064,0.0001869118132332609
35,119,0.06021795253756681,0.04812908179045637,0.028496493323220237,0.00043151649524114183
