model,seed,fold,child,n,n_class1,auc,bacc,ce_bal_bits,j_bits
riemann_post,11,0,0,686,109,0.45947879732243657,0.4788688725295343,1.0271531215648975,-0.027153121564897464
riemann_post,11,0,1,956,143,0.5075736072046035,0.5167470905478286,1.0145399106490773,-0.014539910649077337
riemann_post,11,0,6,865,131,0.5375231399629761,0.5358383426586517,1.0073725305970815,-0.007372530597081539
riemann_post,11,0,13,913,139,0.5083375160336847,0.5210761623259532,1.01399601134931,-0.013996011349310056
riemann_post,11,0,16,96,14,0.5,0.5348432055749129,1.0214738084191817,-0.021473808419181672
riemann_post,11,0,20,939,140,0.5125067048095834,0.49416234578937956,1.0081764509968147,-0.008176450996814744
riemann_post,11,1,3,473,71,0.47484408941209455,0.5056583280779203,1.022778816284332,-0.022778816284332093
riemann_post,11,1,9,865,131,0.5241175614119018,0.5291459533664746,1.0060304514935852,-0.006030451493585165
riemann_post,11,1,14,869,129,0.4981143934632307,0.5127121307353866,1.0199175529541549,-0.01991755295415487
riemann_post,11,1,18,908,136,0.4890467845169156,0.5039622066443158,1.0286799837597367,-0.028679983759736682
riemann_post,11,1,21,800,120,0.5066053921568627,0.4950980392156863,1.0160012435937376,-0.016001243593737557
riemann_post,11,1,25,279,46,0.5174472849412204,0.5120824780742675,0.9995056920805916,0.0004943079194084099
riemann_post,11,2,4,960,145,0.49357309075523587,0.49779987306960016,1.0163609551341153,-0.016360955134115285
riemann_post,11,2,5,757,115,0.4882703508059054,0.4749898415278342,1.0165568998767824,-0.016556899876782438
riemann_post,11,2,15,964,144,0.5318343495934958,0.521019647696477,1.0056383103273054,-0.00563831032730544
riemann_post,11,2,17,330,50,0.5603571428571429,0.5117857142857143,0.9885919433123639,0.011408056687636114
riemann_post,11,2,19,127,23,0.6178929765886287,0.5150501672240803,0.9799325965651794,0.020067403434820608
riemann_post,11,3,8,882,127,0.5516191270793138,0.5194712415914898,1.0116070411304023,-0.01160704113040234
riemann_post,11,3,10,931,144,0.4939644218551461,0.5033310391077227,1.0207380266919381,-0.02073802669193814
riemann_post,11,3,12,1435,209,0.5145257850246259,0.5167444601419016,1.006067335665883,-0.006067335665882911
riemann_post,11,3,23,352,56,0.5065757722007722,0.4888996138996139,1.009829270639443,-0.009829270639442944
riemann_post,11,3,26,868,133,0.5313794690808654,0.5176512710347296,1.0080354849590976,-0.00803548495909756
riemann_post,11,4,2,960,144,0.5150292755991286,0.5061274509803921,1.0098239298041747,-0.00982392980417468
riemann_post,11,4,7,977,150,0.4814993954050787,0.4818057234985893,1.0264532204207502,-0.026453220420750156
riemann_post,11,4,11,660,112,0.464383472367049,0.490810740354536,1.023027052418422,-0.023027052418421956
riemann_post,11,4,22,925,136,0.483830984865429,0.504738872735406,1.0342699447943926,-0.034269944794392604
riemann_post,11,4,24,96,16,0.44921875,0.4125,1.047809199254823,-0.047809199254823076
