run,kind,status,receipt_status,scientific_status,notes
probe_001,other,COMPLETE,PRESENT,PASS,receipt present
tests_001,other,FAILED,PRESENT,NOT_EVALUATED,receipt reports failure
tests_002,other,FAILED,PRESENT,NOT_EVALUATED,receipt reports failure
tests_003,other,FAILED,PRESENT,NOT_EVALUATED,receipt reports failure
tests_004,other,COMPLETE,PRESENT,PASS,receipt present
tests_005,other,COMPLETE,PRESENT,PASS,receipt present
tests_006,other,COMPLETE,PRESENT,PASS,receipt present
tests_007,other,COMPLETE,PRESENT,PASS,receipt present
tests_008,other,COMPLETE,PRESENT,PASS,receipt present
tests_009,other,COMPLETE,PRESENT,PASS,receipt present
input_preflight_001,input_preflight,FAILED,PRESENT,NOT_EVALUATED,receipt reports failure
input_preflight_002,input_preflight,COMPLETE,PRESENT,BLOCKED,receipt present
stage0_001,stage0,COMPLETE,PRESENT,STAGE0_RECORDED,receipt present
development_001,development,COMPLETE,PRESENT,DEVELOPMENT_COMPLETE,receipt present
launch_review_001,launch_review,COMPLETE,PRESENT,LAUNCH_REVIEW_COMPLETE,receipt present
input_preflight_003,input_preflight,COMPLETE,PRESENT,PASS,receipt present
n2_design_001,n2_design,COMPLETE,PRESENT,N2_METADATA_DESIGN_COMPLETE,receipt present
n2_inputs_001,n2_inputs,COMPLETE,PRESENT,N2_INPUTS_BLOCKED,receipt present
closure_001,closure,COMPLETE,PRESENT,CLOSURE_AUDIT_COMPLETE,receipt present
closure_002,closure,COMPLETE,PRESENT,CLOSURE_AUDIT_COMPLETE,receipt present
closure_003,closure,COMPLETE,PRESENT,CLOSURE_AUDIT_COMPLETE,receipt present
hash_diagnosis_001,other,COMPLETE,PRESENT,HASH_DIAGNOSIS_COMPLETE,receipt present
figures_001,other,COMPLETE,PRESENT,FIGURES_COMPLETE,receipt present
figures_002,other,COMPLETE,PRESENT,FIGURES_COMPLETE,receipt present
evaluation_N1_R_SIM_001,evaluation,COMPLETE,PRESENT,PASS,all finite capability worlds completed
evaluation_N1_L0_001,evaluation,COMPLETE,PRESENT,PASS,all finite capability worlds completed
evaluation_N3_R_SIM_001,evaluation,COMPLETE,PRESENT,PASS,all finite capability worlds completed
evaluation_N3_L0_001,evaluation,COMPLETE,PRESENT,PASS,all finite capability worlds completed
real_N1_R_SIM_001,real,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,receipt present
real_N1_L0_001,real,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,receipt present
real_N3_R_SIM_001,real,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,receipt present
real_N3_L0_001,real,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,receipt present
