route_axis,packet,mode,run,status,receipt_status,scientific_status,primary,capability_status,support_status,fit_attempts,fit_failures,notes
other,,,probe_001,COMPLETE,PRESENT,PASS,False,PASS,,0,0,receipt present
other,,,tests_001,FAILED,PRESENT,NOT_EVALUATED,False,FAILED,,0,0,receipt reports failure
other,,,tests_002,FAILED,PRESENT,NOT_EVALUATED,False,FAILED,,0,0,receipt reports failure
other,,,tests_003,FAILED,PRESENT,NOT_EVALUATED,False,FAILED,,0,0,receipt reports failure
other,,,tests_004,COMPLETE,PRESENT,PASS,False,PASS,,0,0,receipt present
other,,,tests_005,COMPLETE,PRESENT,PASS,False,PASS,,0,0,receipt present
other,,,tests_006,COMPLETE,PRESENT,PASS,False,PASS,,0,0,receipt present
other,,,tests_007,COMPLETE,PRESENT,PASS,False,PASS,,0,0,receipt present
other,,,tests_008,COMPLETE,PRESENT,PASS,False,PASS,,0,0,receipt present
other,,,tests_009,COMPLETE,PRESENT,PASS,False,PASS,,0,0,receipt present
input_preflight,,,input_preflight_001,FAILED,PRESENT,NOT_EVALUATED,False,FAILED,,0,0,receipt reports failure
input_preflight,,,input_preflight_002,COMPLETE,PRESENT,BLOCKED,False,BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED BLOCKED ,BLOCKED,0,0,receipt present
stage0,,,stage0_001,COMPLETE,PRESENT,STAGE0_RECORDED,False,STAGE0_RECORDED EXISTING_ARTIFACTS_REVIEW_COMPLETE N2_METADATA_AUDIT_COMPLETE NECESSARY_SUPPORT_ONLY NECESSARY_SUPPORT_ONLY,,0,0,receipt present
development,,,development_001,COMPLETE,PRESENT,DEVELOPMENT_COMPLETE,False,DEVELOPMENT_COMPLETE NOT_EVALUATED_INDEPENDENTLY,,572,0,receipt present
launch_review,,,launch_review_001,COMPLETE,PRESENT,LAUNCH_REVIEW_COMPLETE,False,LAUNCH_REVIEW_COMPLETE NOT_EVALUATED,,0,0,receipt present
input_preflight,,,input_preflight_003,COMPLETE,PRESENT,PASS,False,PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS PASS,,0,0,receipt present
n2_design,,,n2_design_001,COMPLETE,PRESENT,N2_METADATA_DESIGN_COMPLETE,False,N2_METADATA_DESIGN_COMPLETE DESIGN_SUPPORT_PRESENT,,50,0,receipt present
n2_inputs,,,n2_inputs_001,COMPLETE,PRESENT,N2_INPUTS_BLOCKED,False,N2_INPUTS_BLOCKED BLOCKED BLOCKED BLOCKED PASS BLOCKED BLOCKED,BLOCKED,0,0,receipt present
closure,,,closure_001,COMPLETE,PRESENT,CLOSURE_AUDIT_COMPLETE,False,CLOSURE_AUDIT_COMPLETE,,0,0,receipt present
closure,,,closure_002,COMPLETE,PRESENT,CLOSURE_AUDIT_COMPLETE,False,CLOSURE_AUDIT_COMPLETE,,0,0,receipt present
closure,,,closure_003,COMPLETE,PRESENT,CLOSURE_AUDIT_COMPLETE,False,CLOSURE_AUDIT_COMPLETE,,0,0,receipt present
other,,,hash_diagnosis_001,COMPLETE,PRESENT,HASH_DIAGNOSIS_COMPLETE,False,HASH_DIAGNOSIS_COMPLETE,,0,0,receipt present
other,,,figures_001,COMPLETE,PRESENT,FIGURES_COMPLETE,False,FIGURES_COMPLETE,,0,0,receipt present
other,,,figures_002,COMPLETE,PRESENT,FIGURES_COMPLETE,False,FIGURES_COMPLETE,,0,0,receipt present
capability,N1,R_SIM,evaluation_N1_R_SIM_001,COMPLETE,PRESENT,PASS,False,PASS SOURCE_PROFILES_PASS,,4560,0,all finite capability worlds completed
capability,N1,L0,evaluation_N1_L0_001,COMPLETE,PRESENT,PASS,False,PASS SOURCE_PROFILES_PASS,,4560,0,all finite capability worlds completed
capability,N3,R_SIM,evaluation_N3_R_SIM_001,COMPLETE,PRESENT,PASS,False,PASS SOURCE_PROFILES_PASS,,2400,0,all finite capability worlds completed
capability,N3,L0,evaluation_N3_L0_001,COMPLETE,PRESENT,PASS,False,PASS SOURCE_PROFILES_PASS,,2400,0,all finite capability worlds completed
real,N1,R_SIM,real_N1_R_SIM_001,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,True,PASS PASS REAL_COMPARISON_COMPLETE NO_CONTROLLED_INCREMENT_ESTABLISHED,,95,0,receipt present
real,N1,L0,real_N1_L0_001,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,False,PASS PASS REAL_COMPARISON_COMPLETE NO_CONTROLLED_INCREMENT_ESTABLISHED,,95,0,receipt present
real,N3,R_SIM,real_N3_R_SIM_001,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,True,PASS PASS REAL_COMPARISON_COMPLETE NO_CONTROLLED_INCREMENT_ESTABLISHED,,60,0,receipt present
real,N3,L0,real_N3_L0_001,COMPLETE,PRESENT,NO_CONTROLLED_INCREMENT_ESTABLISHED,False,PASS PASS REAL_COMPARISON_COMPLETE NO_CONTROLLED_INCREMENT_ESTABLISHED,,60,0,receipt present
