trained_on,seed,fold,child,auc_own,auc_cross,auc_high_vs_low_by_score
high,11,0,2,0.5119123306006358,0.5470600162206002,0.4655487289000916
high,11,0,3,0.5221761876083849,0.5517560570259239,0.4702533842415828
high,11,0,8,0.5304319170123293,0.5657133233303733,0.4605403787781626
high,11,1,5,0.4893932481751825,0.5193147582748651,0.47133039674250343
high,11,1,10,0.5121672840537731,0.5481061772638613,0.4631564954188482
high,11,1,12,0.49227364239190385,0.5225107792553836,0.46895158367761103
high,11,2,6,0.5798667205169629,0.6055033986649191,0.4629380053908356
high,11,2,7,0.5084795194042009,0.5960755308040375,0.41066756799466225
high,11,2,11,0.5253427163969036,0.5306693921080696,0.4934399326741006
high,11,3,0,0.5482071980037179,0.5306958589670683,0.5156409471320678
high,11,3,4,0.5019643456759975,0.5554537841515754,0.44756643228928866
high,11,3,9,0.5309025033601305,0.5948512478115451,0.43292939936775554
high,11,4,1,0.5033219537815126,0.513145896656535,0.48698894451397573
high,11,4,13,0.5043548387096775,0.5176542952731816,0.48740924177989836
high,11,4,14,0.5146493712365263,0.5638366469639978,0.4512752584281336
high,22,0,1,0.4663515406162465,0.5004348193177981,0.46625990821860663
high,22,0,3,0.525871614218649,0.5878431278334897,0.44071502950364455
high,22,0,10,0.5130376606134879,0.5465248807757277,0.4657606620855148
high,22,1,7,0.49024553441554664,0.5063493444715164,0.4837541481572525
high,22,1,9,0.5117944355232491,0.5308579998619469,0.4806299864519042
high,22,1,12,0.5108204843348235,0.5064169876220236,0.5040932811480756
high,22,2,0,0.5197116109259601,0.49350324837581205,0.5252857726066544
high,22,2,5,0.4881399325914403,0.5050112976929454,0.483144876859967
high,22,2,14,0.5116770977458311,0.5500459343745124,0.46184873513064256
high,22,3,2,0.4985262952428755,0.5348144061562836,0.46420673680034075
high,22,3,4,0.46476082908513683,0.5349012629232579,0.4287005752899279
high,22,3,6,0.5139337641357027,0.56770658700887,0.4519878706199461
high,22,4,8,0.5338792294411371,0.5453829631800664,0.48895301611731007
high,22,4,11,0.525435960591133,0.5349608958407395,0.4905869976856722
high,22,4,13,0.5027993992425231,0.5007487491918021,0.5023493413546313
high,33,0,3,0.5172051749033152,0.5097405625713672,0.5081785838250608
high,33,0,8,0.5072134224533804,0.5214035640284225,0.48637937668333975
high,33,0,9,0.5099375544290798,0.5558136032480124,0.4518515730844498
high,33,1,5,0.5199377517849308,0.5628778534888893,0.4595878176891755
high,33,1,10,0.5056736946672609,0.5594447322003528,0.4421936354712042
high,33,1,12,0.5012696478647005,0.5637535426204491,0.43670181923606577
high,33,2,0,0.5147209056957679,0.556626858984301,0.45769544805062257
high,33,2,11,0.5091477832512316,0.504054034838251,0.504376183463076
high,33,2,14,0.48333017502234615,0.5338720510998249,0.450562308451509
high,33,3,1,0.49820553221288516,0.525548801080716,0.47947955778055906
high,33,3,2,0.49723755879017717,0.5539264226032177,0.4440010035767007
high,33,3,13,0.5101129685255322,0.5285112670372445,0.4816720257234727
high,33,4,4,0.5037180622119112,0.5502475354215799,0.45074422427175603
high,33,4,6,0.5170493884144934,0.5708156795805773,0.4440279649595687
high,33,4,7,0.5153131727468435,0.5865841454925165,0.4294418204484399
low,11,0,2,0.5536326599898149,0.5083844552265164,0.546039081143844
low,11,0,3,0.6164034324089044,0.5403703408093223,0.5787790697674419
low,11,0,8,0.5898903028155562,0.5330954888349202,0.5612415031422342
low,11,1,5,0.6237887205046808,0.5420942024649994,0.5856871471171459
low,11,1,10,0.6372508189377607,0.5316306446821152,0.6086387434554974
low,11,1,12,0.6489998909962937,0.5264741418037959,0.6249873160832065
low,11,2,6,0.6552412594873045,0.5883048696053542,0.5795990566037735
low,11,2,7,0.6730986773407587,0.5369378018269622,0.6435569680262672
low,11,2,11,0.5441400639886242,0.5284229415904294,0.5160046286555859
low,11,3,0,0.56749211601096,0.5366724724087688,0.5280159216166564
low,11,3,4,0.5883938522546044,0.5277755731249427,0.5636106291662862
low,11,3,9,0.6142677853149179,0.5365945895606913,0.5826057504139696
low,11,4,1,0.5507725430597771,0.49191614145658263,0.5553295786399667
low,11,4,13,0.5314902083306212,0.5188174219668278,0.5137330152473809
low,11,4,14,0.6439789135220398,0.5515897120399141,0.5967573113085035
low,22,0,1,0.5350515028706517,0.5188637955182074,0.5151491447642886
low,22,0,3,0.5943707532984364,0.532655149144893,0.5642962513016314
low,22,0,10,0.5335752816119308,0.49409478516785504,0.5403475403577662
low,22,1,7,0.5918994372897087,0.5389967708151511,0.5505197267922672
low,22,1,9,0.5716915894301546,0.5270981309116902,0.5461952431130513
low,22,1,12,0.5570613206404573,0.5132673082313369,0.5457309560049286
low,22,2,0,0.5407813334711954,0.5369739244025389,0.5050010206164524
low,22,2,5,0.6422011798127667,0.574061540225759,0.5745084237773035
low,22,2,14,0.6471230347887885,0.557694986765379,0.5897031323048153
low,22,3,2,0.5214781493426884,0.5189058055880876,0.5028152660353469
low,22,3,4,0.546208151427639,0.5291553466223022,0.5171308556296228
low,22,3,6,0.6081705123906483,0.515628606046619,0.5886960916442048
low,22,4,8,0.5954349464929126,0.5134883620967569,0.5839852934889487
low,22,4,11,0.5382587984358336,0.5352160450387051,0.5035451293919629
low,22,4,13,0.5445133672667943,0.5466736319707457,0.497441914739135
low,33,0,3,0.6045239737255657,0.5519442166900066,0.5559137452273517
low,33,0,8,0.5583941020447742,0.5044997026943769,0.554337138215553
low,33,0,9,0.6110103602557747,0.5144108067836881,0.602596718350143
low,33,1,5,0.624077481448531,0.5483445764030155,0.5766995141001771
low,33,1,10,0.6235878573228435,0.5254132547905526,0.60264302465096
low,33,1,12,0.6627949155826853,0.5327369486726932,0.6318728709139668
low,33,2,0,0.5784607696151924,0.5122799819128804,0.5667738313941622
low,33,2,11,0.5270479914681834,0.5306685432793807,0.4973869135282979
low,33,2,14,0.6515630687628919,0.5503415302319585,0.6038023998753312
low,33,3,1,0.5054542384329619,0.44978991596638657,0.5599707968293701
low,33,3,2,0.5998698579754427,0.48890422545684387,0.609314008647097
low,33,3,13,0.538252166404138,0.5396811196726308,0.49908852816097915
low,33,4,4,0.5710140331648204,0.5201395036478524,0.5515934617843119
low,33,4,6,0.6781860578535068,0.5605094622663283,0.6344760781671159
low,33,4,7,0.6581854043392504,0.5471257345668238,0.613172264849964
