packet,analysis_id,primary_or_secondary,representation,population_id,overlap_definition_hash,unit,model_base,model_augmented,readout_family,calibration,n_candidates,n_records,n_trials,n_bags,coverage_numerator,coverage_denominator,estimate,ci_lower,ci_upper,bootstrap_scope,raw_effect,capacity_control_margin,support_status,implementation_status,control_status,scientific_status,source_run,code_hash,descriptive_screen,notes
A2,post_delta_cosine,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,cosine_difference,different_identity,matched_identity,matching,,49.0,,,,,,0.0025168828362052,-0.0488507000525582,0.0497840469983276,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,MIXED,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,post_minus_pre_cosine,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,cosine_difference,different_identity,matched_identity,matching,,49.0,,,,,,0.0110875447865749,-0.0561528840416652,0.077695680224311,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,MIXED,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,pre_delta_cosine,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,cosine_difference,different_identity,matched_identity,matching,,49.0,,,,,,-0.0085706619503696,-0.0547189643671152,0.0423046433486136,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,NEGATIVE_SCREEN,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,common_response_cosine,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,cosine_difference,different_identity,matched_identity,matching,,49.0,,,,,,0.2598104943406987,0.1998361739932096,0.325444489644916,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,SUPPORTED_SIGNAL,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,post_delta_inner_product,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,projected_inner_product,different_identity,matched_identity,matching,,49.0,,,,,,-5.566202544904247,-70.80494664155157,44.64697632366381,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,SCALE_DIAGNOSTIC,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,post_minus_pre_inner_product,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,projected_inner_product,different_identity,matched_identity,matching,,49.0,,,,,,20.790926379589795,-24.223360064212525,67.55194202787219,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,SCALE_DIAGNOSTIC,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,pre_delta_inner_product,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,projected_inner_product,different_identity,matched_identity,matching,,49.0,,,,,,-26.35712892449404,-74.28441674738413,10.182401489708749,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,SCALE_DIAGNOSTIC,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,common_response_inner_product,secondary,L0,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,projected_inner_product,different_identity,matched_identity,matching,,49.0,,,,,,121.59154833469772,87.64387416148254,160.60845590088962,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,SCALE_DIAGNOSTIC,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,post_delta_cosine,secondary,R_RAND,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,cosine_difference,different_identity,matched_identity,matching,,49.0,,,,,,0.0421325580939894,-0.0040717483827635,0.0853205505884201,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,MIXED,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
A2,post_minus_pre_cosine,secondary,R_RAND,common_Omega_equal_candidate,6376915de8d1886c07a30d411b98a912f9bb9ff33d2f31f7077ebaca76b50887,cosine_difference,different_identity,matched_identity,matching,,49.0,,,,,,0.0329603563684754,-0.0320465163815237,0.0952191614333687,fixed_oof_no_refit; shared identity draws within original folds,,,SUFFICIENT_FOR_SCREEN,PASS,MISSING,NOT_EVALUABLE,A2_core_001,ba5679e19c3d058ac1a8adfbe17b112cd58509f90ba46f55c4f59f993614f0ef,MIXED,未由源聚合提供的记录/试次/覆盖计数保留空值；不从trial推算人数。
