packet,source_run,mode,population,family,window,calibration,first,second,n_candidates,estimate,leave_one_out_min,leave_one_out_max,all_leave_one_out_positive,positive_candidates,negative_candidates,max_absolute_share,scope
N1,N1_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HB,HPB,59,-7.743969980734508e-05,-0.0007475560681241,0.0002876380497755,False,26,33,0.1034902751334387,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HPP,HPB,59,-0.0017541201503801,-0.0023765493256822,-0.001541492408042,False,15,44,0.1528853282517089,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HPBnoise,HPB,59,-0.0013352210836806,-0.0015362355349185,-0.0011127047904541,False,24,35,0.0573324902155801,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HP,HPB,59,-0.0019643321045368,-0.0020867249833677,-0.001785290902366,False,15,44,0.0768167610375104,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HB,HPB,59,8.046888989628023e-05,-0.0001722813274985,0.0003926370980358,False,31,28,0.0622536644928504,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HPP,HPB,59,-0.0016686285516187,-0.0017955807490134,-0.0014690487562696,False,20,39,0.0815908638860097,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,raw,HPBnoise,HPB,59,-0.0013000413528724,-0.0014584169687132,-0.0010283672862554,False,23,36,0.0813169511807684,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HP,HPB,59,-0.0020314642566159,-0.0028759905576026,-0.0018210589972648,False,9,50,0.1778554630727269,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HB,HPB,59,-7.743969980734508e-05,-0.0007475560681241,0.0002876380497755,False,26,33,0.1034902751334387,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HPP,HPB,59,-0.0017541201503801,-0.0023765493256822,-0.001541492408042,False,15,44,0.1528853282517089,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,logistic,,temperature,HPBnoise,HPB,59,-0.0013352210836806,-0.0015362355349185,-0.0011127047904541,False,24,35,0.0573324902155801,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HP,HPB,59,-0.0461014608278114,-0.0485329895054079,-0.0454498816187098,False,1,58,0.0326228188153986,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HB,HPB,59,-0.047053413037895,-0.051604476416171,-0.046318616242765,False,1,58,0.0675733434085973,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HPP,HPB,59,-0.0290348498557376,-0.031165251720653,-0.0285810445307884,False,2,57,0.0491121625902563,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HPBnoise,HPB,59,0.0089850732394735,0.0082661862355084,0.0099387633760886,True,42,17,0.0441794539421945,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,raw,HP,HPB,59,-0.1126173307723094,-0.1141871057298626,-0.104637485310937,False,0,59,0.0866062274311683,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,raw,HB,HPB,59,-0.1178214969805399,-0.1192090076768732,-0.1099238957662391,False,0,59,0.0828432700469486,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,raw,HPP,HPB,59,-0.0807429761344251,-0.0819059411753398,-0.075879360577551,False,0,59,0.0761639799340863,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,raw,HPBnoise,HPB,59,0.0291660302673013,0.0271726538341905,0.0312849962007662,True,42,17,0.0495488422271801,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,temperature,HP,HPB,59,-0.0461014608278114,-0.0485329895054079,-0.0454498816187098,False,1,58,0.0326228188153986,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,temperature,HB,HPB,59,-0.047053413037895,-0.051604476416171,-0.046318616242765,False,1,58,0.0675733434085973,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,temperature,HPP,HPB,59,-0.0290348498557376,-0.031165251720653,-0.0285810445307884,False,2,57,0.0491121625902563,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_bal,mlp32,,temperature,HPBnoise,HPB,59,0.0089850732394735,0.0082661862355084,0.0099387633760886,True,42,17,0.0441794539421945,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,mixture_diagnostic,HP,HPB,59,-0.0013737095970137,-0.0015953641256086,-0.0011378575851117,False,15,44,0.1015263856614843,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,mixture_diagnostic,HB,HPB,59,-0.0001516991568706,-0.0003614792229034,0.0002067350663406,False,29,30,0.0854487818310073,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,mixture_diagnostic,HPP,HPB,59,-0.0010786040188642,-0.0012692859478469,-0.0008511374005883,False,21,38,0.0979934285813499,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,mixture_diagnostic,HPBnoise,HPB,59,-0.0011142333622013,-0.0012550783619327,-0.0006886250421318,False,27,32,0.1520860672878159,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,raw,HP,HPB,59,-0.0011943352242518,-0.0012835634517122,-0.0008781168944022,False,17,42,0.1609107560793135,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,raw,HB,HPB,59,-5.4558038663129415e-05,-0.0002396615313384,0.0003007621620063,False,31,28,0.0948778038433646,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,raw,HPP,HPB,59,-0.0009284036745136,-0.0010320027532295,-0.0006589507125287,False,20,39,0.1371585392995135,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,raw,HPBnoise,HPB,59,-0.0010069201404792,-0.0011230845972025,-0.0005861050152854,False,25,34,0.1683427226252357,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,temperature,HP,HPB,59,-0.0013737095970137,-0.0015953641256086,-0.0011378575851117,False,15,44,0.1015263856614843,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,temperature,HB,HPB,59,-0.0001516991568706,-0.0003614792229034,0.0002067350663406,False,29,30,0.0854487818310073,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,temperature,HPP,HPB,59,-0.0010786040188642,-0.0012692859478469,-0.0008511374005883,False,21,38,0.0979934285813499,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,logistic,,temperature,HPBnoise,HPB,59,-0.0011142333622013,-0.0012550783619327,-0.0006886250421318,False,27,32,0.1520860672878159,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,mixture_diagnostic,HP,HPB,59,-0.0229266062791714,-0.0232975084536514,-0.0224030585660544,False,0,59,0.0393979186962947,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,mixture_diagnostic,HB,HPB,59,-0.0219782651049566,-0.022622150958987,-0.0214830362898166,False,2,57,0.0380699645288428,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,mixture_diagnostic,HPP,HPB,59,-0.0112171619844175,-0.0115158666118857,-0.0106829032415884,False,5,54,0.0611003941997607,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,mixture_diagnostic,HPBnoise,HPB,59,0.0052622558223706,0.0047930096864051,0.0071848904949592,True,46,13,0.1400480358714612,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,raw,HP,HPB,59,-0.033306138200745,-0.0338408910830965,-0.0287766809909486,False,0,59,0.1506388262528417,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,raw,HB,HPB,59,-0.0332458326562548,-0.0338053947879039,-0.0285738286183399,False,0,59,0.1550963175204644,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,raw,HPP,HPB,59,-0.0178761776515024,-0.0183466935178199,-0.0155059770109732,False,7,52,0.137919005851009,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,raw,HPBnoise,HPB,59,0.0085128900827135,0.007838137899679,0.0118312085367967,True,46,13,0.1461276301388812,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,temperature,HP,HPB,59,-0.0249566826589322,-0.0253625861503046,-0.0239655921160524,False,0,59,0.0559884916805252,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,temperature,HB,HPB,59,-0.0241528137667634,-0.0248341918391009,-0.0231021243189315,False,2,57,0.0582788586712697,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,temperature,HPP,HPB,59,-0.0119874380903146,-0.0122994233402983,-0.0114664599700011,False,3,56,0.0573565625525357,descriptive fixed predictions; no candidate removed from any reported effect
N1,N1_core_001,R_SIM,P_nat,mlp32,,temperature,HPBnoise,HPB,59,0.0048861212460929,0.0044103900312261,0.0068022708397802,True,46,13,0.1290350606762846,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,mixture_diagnostic,H,HP,60,-0.0002907880390358,-0.0009858547155211,0.0004547764580186,False,28,32,0.0700312803711366,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,mixture_diagnostic,HB,HBP,60,-0.000147547251189,-0.0006966694921729,0.0004492525056376,False,27,33,0.06314615664019,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,mixture_diagnostic,H,Hnoise,60,-0.0009706904193525,-0.0012454252131674,-0.0007539451841419,False,24,36,0.0571622504888171,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,raw,H,HP,60,8.597947466990978e-05,-0.000459872615749,0.0008104581991656,False,28,32,0.0696511502785085,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,raw,HB,HBP,60,-4.798482387601463e-05,-0.0005097263288265,0.0006313039005829,False,27,33,0.0669973719459241,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,raw,H,Hnoise,60,-0.000807172341527,-0.0010238514527902,-0.0005030855294519,False,28,32,0.0738072400978427,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,temperature,H,HP,60,-0.0002907880390358,-0.0009858547155211,0.0004547764580186,False,28,32,0.0700312803711366,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,temperature,HB,HBP,60,-0.000147547251189,-0.0006966694921729,0.0004492525056376,False,27,33,0.06314615664019,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_bal,logistic,,temperature,H,Hnoise,60,-0.0009706904193525,-0.0012454252131674,-0.0007539451841419,False,24,36,0.0571622504888171,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,mixture_diagnostic,H,HP,60,-7.710452777243693e-05,-0.0003777827669769,0.0005953256928617,False,29,31,0.0817310056339278,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,mixture_diagnostic,HB,HBP,60,-0.0001570778722709,-0.0004460260314813,0.0004504312079418,False,26,34,0.0789306690586581,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,mixture_diagnostic,H,Hnoise,60,-0.0006131753662245,-0.00076201311422,-0.000428406781472,False,26,34,0.0620140049978316,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,raw,H,HP,60,1.1541577988658884e-05,-0.0002967017268276,0.0007092264773793,False,30,30,0.0851424411213181,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,raw,HB,HBP,60,-0.0001105226560077,-0.0004056385257832,0.000542635524846,False,27,33,0.0831170465096175,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,raw,H,Hnoise,60,-0.0005593271357031,-0.0007229400329316,-0.0003743017091214,False,26,34,0.0613959984227421,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,temperature,H,HP,60,-7.710452777243693e-05,-0.0003777827669769,0.0005953256928617,False,29,31,0.0817310056339278,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,temperature,HB,HBP,60,-0.0001570778722709,-0.0004460260314813,0.0004504312079418,False,26,34,0.0789306690586581,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,L0,P_nat,logistic,,temperature,H,Hnoise,60,-0.0006131753662245,-0.00076201311422,-0.000428406781472,False,26,34,0.0620140049978316,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,H,HP,60,-0.0013154530558033,-0.0017569409005434,-0.0009055307804503,False,29,31,0.0475461179494836,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,HB,HBP,60,-0.0005156762023284,-0.0009143685811697,-0.0001690617495215,False,31,29,0.0464664312543269,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,mixture_diagnostic,H,Hnoise,60,-0.0018928055205546,-0.0023561675020625,-0.0016833727942513,False,22,38,0.0794654919109509,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,raw,H,HP,60,-0.0009229926850695,-0.0013386828093257,-0.0004468659774553,False,30,30,0.0535903593006866,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,raw,HB,HBP,60,-0.0007695696988203,-0.0012131624657401,-0.0003632569835555,False,32,28,0.0468905014173832,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,raw,H,Hnoise,60,-0.0016684744103423,-0.0018686309312789,-0.0013985334326483,False,22,38,0.0581906131892292,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,temperature,H,HP,60,-0.0013154530558033,-0.0017569409005434,-0.0009055307804503,False,29,31,0.0475461179494836,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,temperature,HB,HBP,60,-0.0005156762023284,-0.0009143685811697,-0.0001690617495215,False,31,29,0.0464664312543269,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,logistic,,temperature,H,Hnoise,60,-0.0018928055205546,-0.0023561675020625,-0.0016833727942513,False,22,38,0.0794654919109509,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,H,HP,60,-0.2173702348607361,-0.2386123468451551,-0.2154754176577664,False,2,58,0.0602842841662097,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,HB,HBP,60,-0.0081935937327816,-0.0093866407554788,-0.0078408238909901,False,11,49,0.085946757632501,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,mixture_diagnostic,H,Hnoise,60,-0.2185377898618062,-0.2401271039161103,-0.2168027928246315,False,2,58,0.061132930928164,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,raw,H,HP,60,-0.3314094720312259,-0.3385426145183572,-0.3295425113794211,False,1,59,0.0220081753734254,descriptive fixed predictions; no candidate removed from any reported effect
N3,N3_core_001,R_SIM,P_bal,mlp32,,raw,HB,HBP,60,-0.2533180825923388,-0.2585300630609708,-0.2499185537867113,False,1,59,0.0296515691317051,descriptive fixed predictions; no candidate removed from any reported effect
